,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Well,INTJ,24.918338775634766,17260,Bueno,INTJ,33.255245208740234,17260
1,",",PUNCT,19.01715660095215,17260,",",PUNCT,29.80118179321289,17260
2,that,DET,18.963970184326172,17260,una,DET,34.450923919677734,17260
3,'s,AUX,23.261489868164062,17260,hay,AUX,34.82325744628906,17260
4,kind,ADV,21.352540969848633,17260,arriba,ADV,33.5744743347168,17260
5,of,ADV,21.607913970947266,17260,allí,ADV,33.87684631347656,17260
6,an,DET,22.05596351623535,17260,esa,DET,34.86366271972656,19260
7,obvious,ADJ,22.528657913208008,17260,obvia,ADJ,33.768123626708984,17260
8,statement,NOUN,19.369117736816406,17260,declaración,NOUN,32.67365264892578,17260
9,up,ADV,20.729103088378906,17260,Empecé,PROPN,33.151268005371094,19260
10,there,ADV,21.55084228515625,17260,frase,NOUN,33.88005065917969,19260
11,.,PUNCT,22.099376678466797,17260,.,PUNCT,33.302059173583984,17260
12,I,PRON,24.788570404052734,19260,unos,PRON,31.064193725585938,19260
13,started,VERB,25.632436752319336,19260,hace,AUX,33.19338607788086,19260
14,with,ADP,23.272235870361328,19260,con,ADP,33.16851806640625,19260
15,that,DET,20.149202346801758,19260,el,DET,31.808780670166016,22260
16,sentence,NOUN,20.526103973388672,19260,años,NOUN,35.63294219970703,19260
17,about,ADV,21.537343978881836,19260,y,CONJ,34.42512893676758,22260
18,12,NUM,24.199373245239258,19260,12,NUM,35.99814224243164,19260
19,years,NOUN,24.773839950561523,19260,contexto,NOUN,30.600353240966797,22260
20,ago,ADV,20.697107315063477,19260,empecé,AUX,33.61992263793945,22260
21,",",PUNCT,21.767765045166016,19260,",",PUNCT,31.217058181762695,19260
22,and,CCONJ,19.27712631225586,22260,en,ADP,32.04252624511719,22260
23,I,PRON,26.62432289123535,22260,de,ADP,32.42378616333008,25260
24,started,VERB,24.283061981201172,22260,pero,CONJ,34.403892517089844,27260
25,in,ADP,23.19999885559082,22260,en,ADP,33.50672912597656,25260
26,the,DET,22.275022506713867,22260,los,DET,34.88496017456055,25260
27,context,NOUN,19.591787338256836,22260,desarrollo,NOUN,31.072898864746094,25260
28,of,ADP,20.255775451660156,25260,de,ADP,28.99575424194336,27260
29,developing,VERB,21.287817001342773,25260,vienen,VERB,35.31875228881836,27260
30,countries,NOUN,20.191871643066406,25260,países,NOUN,36.51460647583008,25260
31,",",PUNCT,20.812849044799805,25260,Uds.,PROPN,33.40040969848633,27260
32,but,CCONJ,21.677810668945312,27260,todos,DET,31.423643112182617,27260
33,you,PRON,22.802976608276367,27260,los,DET,34.909664154052734,27260
34,'re,AUX,22.902671813964844,27260,rincones,NOUN,33.47548294067383,27260
35,sitting,VERB,26.583742141723633,27260,piensan,VERB,36.50394058227539,30260
36,here,ADV,23.63551902770996,27260,Así,ADV,35.6733512878418,30260
37,from,ADP,21.462984085083008,27260,del,ADP,33.89773941040039,27260
38,every,DET,22.726192474365234,27260,que,SCONJ,30.787132263183594,30260
39,corner,NOUN,19.907480239868164,27260,planeta,NOUN,30.081050872802734,27260
40,of,ADP,23.222217559814453,27260,en,ADP,33.92622756958008,30260
41,the,DET,22.606943130493164,27260,el,DET,33.45499801635742,30260
42,world,NOUN,18.089689254760742,27260,mapa,NOUN,28.688325881958008,30260
43,.,PUNCT,21.668115615844727,27260,.,PUNCT,32.630210876464844,27260
44,So,CCONJ,20.684432983398438,30260,si,SCONJ,33.29664611816406,30260
45,if,SCONJ,21.37044906616211,30260,que,SCONJ,33.156917572021484,33260
46,you,PRON,24.234827041625977,30260,se,PRON,32.407012939453125,33260
47,think,VERB,22.80661392211914,30260,creo,VERB,35.73347091674805,33260
48,of,ADP,22.387603759765625,30260,de,ADP,31.35395050048828,30260
49,a,DET,21.917373657226562,30260,sus,DET,33.556297302246094,30260
50,map,NOUN,20.72268295288086,30260,países,NOUN,36.13960647583008,30260
51,of,ADP,24.66628646850586,30260,para,ADP,32.9962158203125,35260
52,your,DET,22.210533142089844,30260,cada,DET,35.58759307861328,35260
53,country,NOUN,19.061004638671875,30260,país,NOUN,31.69080352783203,35260
54,",",PUNCT,21.22703742980957,30260,que,SCONJ,32.09490966796875,35260
55,I,PRON,25.33443832397461,33260,mundo,NOUN,31.221813201904297,35260
56,think,VERB,23.471935272216797,33260,cuenta,VERB,30.31674575805664,33260
57,you,PRON,23.803735733032227,33260,se,PRON,33.03718566894531,37260
58,'ll,VERB,22.754257202148438,33260,darán,VERB,36.17982864379883,33260
59,realize,VERB,22.607004165649414,33260,dibujar,VERB,37.61134719848633,37260
60,that,SCONJ,18.842554092407227,35260,pueden,AUX,35.72679901123047,37260
61,for,ADP,20.375947952270508,35260,del,ADP,34.71280288696289,35260
62,every,DET,22.87830924987793,35260,pequeños,ADJ,35.64666748046875,37260
63,country,NOUN,21.029802322387695,35260,círculos,NOUN,35.81522750854492,37260
64,on,ADP,20.518535614013672,35260,que,PRON,32.35321044921875,37260
65,Earth,PROPN,21.144779205322266,35260,:,PUNCT,30.967092514038086,37260
66,",",PUNCT,22.49718475341797,35260,"""",PUNCT,31.362470626831055,39260
67,you,PRON,23.97093391418457,37260,Estos,PRON,28.650897979736328,39260
68,could,VERB,25.486974716186523,37260,digan,VERB,35.62379837036133,37260
69,draw,VERB,25.8511962890625,37260,son,AUX,34.10955047607422,39260
70,little,ADJ,21.931194305419922,37260,buenos,ADJ,36.525062561035156,39260
71,circles,NOUN,21.011091232299805,37260,lugares,NOUN,35.55038070678711,39260
72,to,PART,20.74747657775879,37260,donde,PRON,33.92023468017578,39260
73,say,VERB,23.569599151611328,37260,llegan,VERB,34.79698181152344,39260
74,",",PUNCT,20.855329513549805,37260,"""",PUNCT,32.549530029296875,39260
75,"""",PUNCT,20.997573852539062,39260,.,PUNCT,33.49590301513672,39260
76,These,DET,20.65201187133789,39260,los,DET,35.260990142822266,39260
77,are,AUX,23.037023544311523,39260,no,ADV,33.821571350097656,39260
78,places,NOUN,23.685457229614258,39260,maestros,NOUN,35.85919189453125,39260
79,where,ADV,23.46561622619629,39260,Además,ADV,34.838356018066406,43260
80,good,ADJ,20.077739715576172,39260,de,ADP,31.602235794067383,43260
81,teachers,NOUN,22.412654876708984,39260,eso,PRON,32.86650085449219,43260
82,wo,VERB,24.604530334472656,39260,son,AUX,33.169761657714844,45260
83,n't,PART,28.322860717773438,39260,esos,PRON,31.47254753112793,45260
84,go,VERB,22.985305786132812,39260,generan,VERB,37.40182876586914,45260
85,.,PUNCT,18.612878799438477,39260,",",PUNCT,29.238187789916992,43260
86,"""",PUNCT,22.573135375976562,39260,los,DET,36.87428665161133,45260
87,On,ADP,22.915973663330078,43260,donde,PRON,34.833526611328125,45260
88,top,NOUN,20.482759475708008,43260,lugares,NOUN,36.45713806152344,45260
89,of,ADP,23.31180763244629,43260,se,PRON,31.06416130065918,45260
90,that,DET,19.996917724609375,43260,los,DET,36.6633186340332,45260
91,",",PUNCT,20.935989379882812,43260,.,PUNCT,32.858089447021484,45260
92,those,DET,21.98673439025879,45260,Los,DET,34.6236686706543,50260
93,are,AUX,24.978214263916016,45260,que,SCONJ,30.6777400970459,48260
94,the,DET,22.767467498779297,45260,un,DET,39.08281326293945,48260
95,places,NOUN,21.2021484375,45260,problemas,NOUN,34.80913543701172,45260
96,from,ADP,21.519376754760742,45260,irónico,ADJ,35.33636474609375,48260
97,where,ADV,20.485599517822266,45260,Así,ADV,35.7516975402832,48260
98,trouble,NOUN,20.079364776611328,45260,problema,NOUN,34.075584411621094,48260
99,comes,VERB,21.74924659729004,45260,tenemos,VERB,34.939910888671875,48260
100,.,PUNCT,20.417673110961914,45260,.,PUNCT,32.740989685058594,48260
101,So,CCONJ,19.527019500732422,48260,buenos,ADJ,36.28435516357422,50260
