,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,My,DET,23.214540481567383,21117,Mi,DET,33.29331588745117,21117
1,suede,NOUN,20.040754318237305,21117,chaqueta,NOUN,32.19459915161133,21117
2,Starters,PROPN,21.425870895385742,21117,Raiders,PROPN,36.1547966003418,21117
3,jacket,NOUN,21.22380828857422,21117,',SYM,30.54671859741211,21117
4,says,VERB,23.211774826049805,21117,dice,VERB,35.20967483520508,21117
5,Raiders,NOUN,21.064655303955078,21117,',SYM,33.070796966552734,21117
6,on,ADP,21.25811195373535,21117,atrás,ADV,32.960445404052734,21117
7,the,DET,22.25429916381836,21117,0,0,0.0,0
8,back,NOUN,20.420379638671875,21117,0,0,0.0,0
9,.,PUNCT,21.553064346313477,21117,.,PUNCT,31.589584350585938,21117
10,I,PRON,24.340906143188477,25665,Estoy,VERB,32.20370101928711,25665
11,'m,AUX,22.863096237182617,25665,a,ADP,32.258567810058594,25665
12,stylin,PROPN,18.59299659729004,25665,la,DET,31.94219207763672,25665
13,',PUNCT,19.68451499938965,25665,moda,NOUN,29.83863067626953,25665
14,",",PUNCT,20.262495040893555,25665,",",PUNCT,29.792314529418945,25665
15,smilin,PROPN,20.066598892211914,25665,sonrío,PROPN,33.391021728515625,25665
16,',PUNCT,21.008155822753906,25665,",",PUNCT,32.13075256347656,25665
17,",",PUNCT,19.38094711303711,25665,0,0,0.0,0
18,lookin,PROPN,19.163536071777344,25665,luzco,PROPN,33.68046951293945,25665
19,',PART,20.34983253479004,25665,en,ADP,34.4734992980957,25665
20,real,ADJ,22.220245361328125,25665,malo,ADJ,33.029354095458984,25665
21,mean,NOUN,18.562341690063477,25665,verdad,NOUN,29.666715621948242,25665
22,",",PUNCT,21.567859649658203,25665,;,PUNCT,30.437345504760742,25665
23,because,SCONJ,22.17754364013672,28655,no,ADV,34.53859329223633,28655
24,it,PRON,23.879291534423828,28655,se,PRON,34.91838073730469,28655
25,ai,VERB,21.722322463989258,28655,trata,VERB,37.275821685791016,28655
26,n't,PART,22.38813591003418,28655,sino,CONJ,35.983123779296875,28655
27,about,ADP,22.352205276489258,28655,de,ADP,31.920495986938477,28655
28,being,AUX,22.335582733154297,28655,ser,AUX,39.21778869628906,28655
29,heard,VERB,23.03860092163086,28655,escuchado,VERB,33.23680877685547,28655
30,",",PUNCT,22.12439727783203,28655,",",PUNCT,33.412567138671875,28655
