,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,For,ADP,21.393972396850586,12550,Durante,ADP,35.567909240722656,12550
1,the,DET,22.81271743774414,12550,los,DET,36.47960662841797,12550
2,past,ADJ,17.998783111572266,12550,últimos,ADJ,35.34125518798828,12550
3,few,ADJ,22.379749298095703,12550,0,0,0.0,0
4,years,NOUN,20.7113094329834,12550,años,NOUN,36.89678955078125,12550
5,",",PUNCT,20.78614616394043,12550,",",PUNCT,30.538660049438477,12550
6,I,PRON,24.105253219604492,14040,0,0,0.0,0
7,'ve,AUX,22.090845108032227,14040,estado,AUX,35.558441162109375,14040
8,been,AUX,25.682125091552734,14040,he,AUX,34.81737518310547,14040
9,spending,VERB,25.08148765563965,14040,pasando,VERB,33.1662712097168,14040
10,my,DET,21.54657745361328,14040,mis,DET,33.3738899230957,14040
11,summers,NOUN,21.4056453704834,14040,laboratorio,NOUN,31.87984275817871,14040
12,in,ADP,21.298749923706055,14040,en,ADP,31.768653869628906,14040
13,the,DET,21.872636795043945,14040,el,DET,33.56500244140625,14040
14,marine,PROPN,18.351146697998047,14040,biológico,ADJ,34.48093795776367,14040
15,biological,PROPN,18.18372344970703,14040,veranos,PROPN,33.450992584228516,14040
16,laboratory,NOUN,17.853219985961914,14040,marino,NOUN,31.603708267211914,14040
17,in,ADP,19.053752899169922,18393,en,ADP,32.7092399597168,18393
18,Woods,PROPN,20.871450424194336,18393,Woods,PROPN,36.70610809326172,18393
19,Hole,PROPN,20.70685386657715,18393,Hole,PROPN,36.03208541870117,18393
20,",",PUNCT,21.729473114013672,18393,",",PUNCT,29.327983856201172,18393
21,Massachusetts,PROPN,21.214624404907227,18393,Massachusetts,PROPN,34.44392395019531,18393
22,.,PUNCT,19.69210433959961,18393,.,PUNCT,32.77200698852539,18393
23,And,CCONJ,20.78651237487793,20931,Y,CONJ,33.86909484863281,20931
24,there,ADV,18.429676055908203,20931,allí,ADV,34.53242492675781,20931
25,",",PUNCT,22.049501419067383,20931,",",PUNCT,30.105693817138672,20931
26,what,PRON,20.38445281982422,20931,0,0,0.0,0
27,I,PRON,24.866016387939453,20931,",",PUNCT,30.711711883544922,20931
28,'ve,AUX,22.61546516418457,20931,he,AUX,36.328521728515625,20931
29,been,AUX,25.208114624023438,20931,0,0,0.0,0
30,doing,VERB,24.12166976928711,20931,alquilado,VERB,34.94532012939453,20931
31,is,AUX,22.747283935546875,20931,0,0,0.0,0
32,essentially,ADV,24.71186065673828,20931,básicamente,ADV,34.1453742980957,20931
33,renting,VERB,23.470664978027344,20931,0,0,0.0,0
34,a,DET,22.854656219482422,20931,un,DET,36.34433364868164,20931
35,boat,NOUN,21.549909591674805,20931,barco,NOUN,31.708375930786133,20931
36,.,PUNCT,22.83116340637207,20931,.,PUNCT,31.686399459838867,20931
37,What,PRON,21.65760040283203,25117,Y,CONJ,34.12269973754883,25117
38,I,PRON,25.324085235595703,25117,esta,DET,34.29591369628906,25117
39,would,VERB,27.008445739746094,25117,noche,NOUN,32.85391616821289,25117
40,like,VERB,22.331958770751953,25117,quisiera,VERB,30.303956985473633,25117
41,to,PART,22.577987670898438,25117,invitarlos,NOUN,34.0687141418457,25117
42,do,AUX,24.821529388427734,25117,0,0,0.0,0
43,is,AUX,20.391992568969727,25117,0,0,0.0,0
44,ask,VERB,23.80520248413086,25117,0,0,0.0,0
45,you,PRON,21.717147827148438,25117,0,0,0.0,0
46,to,PART,21.131967544555664,27741,que,SCONJ,33.54376983642578,27741
47,come,VERB,23.749608993530273,27741,vengan,VERB,35.8280143737793,27741
48,on,ADP,20.106735229492188,27741,a,ADP,34.073097229003906,27741
49,a,DET,23.093549728393555,27741,0,0,0.0,0
50,boat,NOUN,20.351831436157227,27741,barco,NOUN,28.960533142089844,27741
51,ride,NOUN,21.27613639831543,27741,0,0,0.0,0
52,with,ADP,21.479000091552734,27741,al,ADP,37.13521957397461,27741
53,me,PRON,23.167680740356445,27741,conmigo,PRON,33.26486587524414,27741
54,tonight,NOUN,21.248546600341797,27741,0,0,0.0,0
55,.,PUNCT,21.965852737426758,27741,.,PUNCT,32.99020767211914,27741
56,So,ADV,20.077444076538086,31836,0,0,0.0,0
57,",",PUNCT,20.026762008666992,31836,de,ADP,30.1804141998291,31836
58,we,PRON,24.8360538482666,31836,Eel,PROPN,35.5654411315918,31836
59,ride,VERB,24.185251235961914,31836,Salimos,VERB,33.05915832519531,31836
60,off,ADV,21.491186141967773,31836,0,0,0.0,0
61,from,ADP,20.226938247680664,31836,a,ADP,30.640596389770508,31836
62,Eel,PROPN,21.990276336669922,31836,Sound,PROPN,36.39590072631836,31836
63,Pond,PROPN,21.059335708618164,31836,Vineyard,PROPN,37.098365783691406,31836
64,into,ADP,20.991472244262695,31836,0,0,0.0,0
65,Vineyard,PROPN,21.295019149780273,31836,Pond,PROPN,33.65386199951172,31836
66,Sound,PROPN,20.27284049987793,31836,0,0,0.0,0
67,",",PUNCT,19.626502990722656,31836,",",PUNCT,30.718530654907227,31836
68,right,ADV,19.00295639038086,36753,justo,ADV,34.6942253112793,36753
69,off,ADP,19.9596004486084,36753,en,ADP,33.2125244140625,36753
70,the,DET,22.819137573242188,36753,la,DET,32.858612060546875,36753
71,coast,NOUN,19.90195655822754,36753,costa,NOUN,31.128978729248047,36753
72,of,ADP,21.905710220336914,36753,de,ADP,31.494117736816406,36753
73,Martha,PROPN,22.106313705444336,36753,Martha,PROPN,36.665584564208984,36753
74,'s,PART,21.485801696777344,36753,'s,PROPN,29.733638763427734,36753
75,Vineyard,PROPN,20.115345001220703,36753,Vineyard,PROPN,36.7939453125,36753
76,",",PUNCT,21.573524475097656,36753,",",PUNCT,30.478343963623047,36753
77,equipped,VERB,21.025815963745117,39288,dron,VERB,31.530527114868164,39288
78,with,ADP,20.911314010620117,39288,con,ADP,34.08481979370117,39288
79,a,DET,19.542964935302734,39288,un,DET,33.55698013305664,39288
80,drone,NOUN,21.44493865966797,39288,para,ADP,35.66691970825195,39288
81,to,PART,25.07618522644043,39288,0,0,0.0,0
82,identify,VERB,26.090961456298828,39288,identificar,VERB,37.22243881225586,39288
83,potential,ADJ,21.731637954711914,39288,potenciales,ADJ,36.87148666381836,39288
84,spots,NOUN,20.967805862426758,39288,puntos,NOUN,37.15487289428711,39288
85,from,ADP,21.940052032470703,42649,para,ADP,36.4398193359375,42649
86,which,DET,21.506126403808594,42649,el,DET,33.073551177978516,42649
87,to,PART,21.230382919311523,42649,0,0,0.0,0
88,peer,VERB,23.480375289916992,42649,mirar,VERB,37.01300811767578,42649
89,into,ADP,21.219289779663086,42649,hacia,ADP,34.87693786621094,42649
90,the,DET,21.6019229888916,42649,0,0,0.0,0
91,Atlantic,PROPN,19.439651489257812,42649,Atlántico,PROPN,34.77627944946289,42649
92,.,PUNCT,20.151517868041992,42649,.,PUNCT,31.904579162597656,42649
93,Earlier,ADV,21.911245346069336,45150,Antes,ADV,35.585853576660156,45150
94,",",PUNCT,21.45869255065918,45150,",",PUNCT,30.160484313964844,45150
95,I,PRON,24.249967575073242,45150,a,ADP,34.092857360839844,45150
96,was,AUX,25.638504028320312,45150,iba,AUX,36.14137268066406,45150
97,going,VERB,24.328083038330078,45150,decir,VERB,35.8339729309082,45150
98,to,PART,21.469249725341797,45150,0,0,0.0,0
99,say,VERB,24.870075225830078,45150,0,0,0.0,0
100,into,ADP,21.49660873413086,45150,hacia,ADP,33.29677963256836,45150
101,the,DET,21.61285400390625,45150,las,DET,32.103981018066406,45150
102,depths,NOUN,20.699703216552734,45150,profundidades,NOUN,36.0157470703125,45150
103,of,ADP,23.393253326416016,45150,del,ADP,33.69035720825195,45150
104,the,DET,21.922542572021484,45150,0,0,0.0,0
105,Atlantic,PROPN,18.55988311767578,45150,Atlántico,PROPN,35.559879302978516,45150
106,",",PUNCT,19.81226921081543,45150,",",PUNCT,30.296297073364258,45150
107,but,CCONJ,21.566402435302734,48453,pero,CONJ,32.762245178222656,48453
108,we,PRON,25.999483108520508,48453,no,ADV,33.048831939697266,48453
109,do,AUX,23.253612518310547,48453,hay,AUX,35.17787170410156,48453
110,n't,PART,25.51541519165039,48453,que,SCONJ,33.568416595458984,48453
111,have,AUX,23.646886825561523,48453,0,0,0.0,0
112,to,PART,22.55116844177246,48453,para,ADP,35.73099899291992,48453
113,go,VERB,24.29078483581543,48453,ir,VERB,34.93894958496094,48453
114,too,ADV,22.87500762939453,48453,demasiado,ADV,35.987098693847656,48453
115,deep,ADJ,22.744470596313477,48453,profundo,ADJ,35.72193145751953,48453
116,to,PART,24.87225914001465,48453,a,ADP,32.78175735473633,48453
117,reach,VERB,25.574922561645508,48453,llegar,VERB,37.08626937866211,48453
118,the,DET,19.942522048950195,48453,lo,DET,31.083263397216797,48453
119,unknown,NOUN,19.01862335205078,48453,desconocido,ADJ,33.31080627441406,48453
120,.,PUNCT,22.581636428833008,48453,.,PUNCT,33.59116744995117,48453
121,Here,ADV,21.709680557250977,52311,Aquí,ADV,33.91313552856445,52311
