,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,25.113187789916992,12944,poco,PRON,33.330631256103516,12405
1,want,VERB,24.022371292114258,12944,quiero,VERB,32.82948303222656,12405
2,to,PART,24.40260887145996,12944,Hoy,ADV,34.0404052734375,12405
3,talk,VERB,25.409086227416992,12944,hablar,VERB,38.6029052734375,12405
4,a,DET,21.132352828979492,12944,un,DET,32.02259063720703,12405
5,little,ADJ,20.131296157836914,12944,sobre,ADP,32.41136169433594,14108
6,bit,NOUN,20.855323791503906,12944,esfuerzo,NOUN,30.80647850036621,14108
7,today,NOUN,21.930952072143555,12944,y,CONJ,33.52352523803711,14108
8,about,ADP,21.920433044433594,12944,sobre,ADP,35.07087707519531,18006
9,labor,NOUN,19.663198471069336,12944,trabajo,NOUN,32.5916633605957,14108
10,and,CCONJ,23.107410430908203,12944,Cuando,SCONJ,31.82969856262207,18006
11,work,NOUN,20.078981399536133,12944,modo,NOUN,29.514860153198242,18006
12,.,PUNCT,22.016271591186523,12944,.,PUNCT,31.1062068939209,14108
13,When,ADV,22.984182357788086,18500,el,DET,35.48747634887695,18006
14,we,PRON,25.821531295776367,18500,que,PRON,31.022884368896484,18006
15,think,VERB,22.962562561035156,18500,reflexionamos,VERB,37.7692756652832,18006
16,about,ADP,22.707988739013672,18500,en,ADP,32.173988342285156,18006
17,how,ADV,22.132923126220703,18500,trabajamos,VERB,34.495826721191406,18006
18,people,NOUN,22.128223419189453,18500,percepción,NOUN,32.35818862915039,21170
19,work,VERB,20.2709903717041,18500,tenemos,VERB,34.00620651245117,21170
20,",",PUNCT,21.134532928466797,18500,la,DET,34.499691009521484,21170
21,the,DET,20.353382110595703,21246,las,DET,34.42851257324219,23639
22,naive,ADJ,19.093080520629883,21246,simplista,ADJ,33.10719680786133,21170
23,intuition,NOUN,19.92577362060547,21246,personas,NOUN,35.86564636230469,23639
24,we,PRON,24.653186798095703,21246,que,PRON,31.24407196044922,21170
25,have,AUX,23.77164077758789,21246,es,AUX,33.69794464111328,23639
26,is,AUX,21.18145751953125,23639,son,AUX,35.273250579833984,23639
27,that,SCONJ,19.88175392150879,23639,que,SCONJ,34.06429672241211,23639
28,people,NOUN,21.084531784057617,23639,ratas,NOUN,33.541908264160156,23639
29,are,AUX,23.64590072631836,23639,se,PRON,32.23714828491211,25805
30,like,SCONJ,21.343204498291016,23639,como,SCONJ,36.69473648071289,23639
31,rats,NOUN,21.554780960083008,23639,laberinto,NOUN,33.4725456237793,23639
32,in,ADP,20.056625366210938,23639,en,ADP,33.272647857666016,23639
33,a,DET,22.41684341430664,23639,un,DET,37.76850509643555,23639
34,maze,NOUN,20.04633903503418,23639,no,ADV,34.394203186035156,25805
35,--,PUNCT,21.750072479248047,23639,:,PUNCT,31.10515785217285,23639
36,that,SCONJ,19.82172966003418,26027,que,SCONJ,34.53287887573242,25805
37,all,DET,21.97233772277832,26027,el,DET,33.163204193115234,25805
38,people,NOUN,21.462684631347656,26027,dinero,NOUN,29.804410934448242,25805
39,care,VERB,20.897232055664062,26027,interesan,VERB,38.4231071472168,25805
40,about,ADP,21.156641006469727,26027,por,ADP,31.0980224609375,25805
41,is,AUX,21.621305465698242,26027,sino,CONJ,32.25856018066406,25805
42,money,NOUN,17.359973907470703,26027,tan,NOUN,33.46989059448242,28184
43,",",PUNCT,21.52517318725586,26027,y,CONJ,32.1590461730957,28184
44,and,CCONJ,18.60207748413086,28020,pronto,NOUN,35.22252655029297,28184
45,the,DET,21.902069091796875,28020,su,DET,35.058311462402344,29496
46,moment,NOUN,17.330167770385742,28020,dinero,NOUN,32.40532684326172,28184
