,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,denotes,VERB,22.41322898864746,19065,denota,VERB,33.754669189453125,19065
1,opportunity,NOUN,17.616865158081055,19065,oportunidades,NOUN,32.86811447143555,19065
2,and,CCONJ,23.31882667541504,19065,que,SCONJ,32.61738204956055,19065
3,possibilities,NOUN,22.124181747436523,19065,posibilidades,NOUN,33.666839599609375,19065
4,.,PUNCT,20.84796714782715,19065,y,CONJ,33.22801971435547,19065
5,Open,ADV,18.411523818969727,22144,Preguntas,NOUN,32.91385269165039,22144
6,-,PUNCT,19.81768226623535,22144,.,PUNCT,32.865562438964844,19065
7,ended,ADJ,20.75690269470215,22144,abiertas,ADJ,32.744876861572266,22144
8,",",PUNCT,20.75186538696289,22144,",",PUNCT,30.57505226135254,22144
9,open,ADJ,18.442075729370117,22144,abierto,ADJ,32.69923400878906,22144
10,hearth,NOUN,19.526779174804688,22144,corazón,NOUN,32.884159088134766,22144
11,",",PUNCT,20.454580307006836,22144,",",PUNCT,29.96763038635254,22144
12,open,ADJ,19.228107452392578,24184,código,PROPN,32.19304275512695,24184
13,source,NOUN,18.073835372924805,24184,abierto,PROPN,32.85849380493164,24184
14,",",PUNCT,21.252641677856445,24184,",",PUNCT,28.828899383544922,24184
15,open,ADJ,17.61457061767578,24184,abiertas,ADJ,33.79649353027344,24184
16,door,NOUN,18.690383911132812,24184,política,NOUN,28.636377334594727,24184
17,policy,NOUN,21.079965591430664,24184,puertas,NOUN,34.348968505859375,24184
18,",",PUNCT,21.696853637695312,24184,de,ADP,31.576383590698242,24184
19,open,ADJ,18.065237045288086,27537,abierto,ADJ,34.27784729003906,27537
20,bar,NOUN,19.917797088623047,27537,bar,PROPN,32.63817596435547,27537
21,.,PUNCT,21.93486976623535,27537,",",PUNCT,30.155744552612305,24184
22,(,PUNCT,20.410694122314453,27537,.,PUNCT,31.440547943115234,27537
23,Laughter,NOUN,19.954418182373047,27537,partes,NOUN,35.066898345947266,31073
24,),PUNCT,20.985868453979492,27537,(,PUNCT,27.992521286010742,27537
25,And,CCONJ,20.8392333984375,31073,Risas,PROPN,34.56559371948242,27537
26,everywhere,ADV,21.382265090942383,31073,),PUNCT,32.33204650878906,27537
27,the,DET,21.37676239013672,31073,todas,DET,34.365081787109375,31073
28,world,NOUN,18.938875198364258,31073,mundo,NOUN,31.945592880249023,31073
29,is,AUX,23.838050842285156,31073,está,AUX,37.95344161987305,31073
30,opening,VERB,19.22193717956543,31073,abriendo,VERB,35.3783073425293,31073
31,up,ADP,20.635894775390625,31073,En,ADP,33.17156219482422,31073
32,",",PUNCT,21.459609985351562,31073,.,PUNCT,33.00098419189453,33593
33,and,CCONJ,20.453771591186523,33593,y,CONJ,33.92716979980469,33593
34,it,PRON,24.46101188659668,33593,se,PRON,32.35391616821289,31073
35,'s,AUX,21.55571746826172,33593,es,AUX,35.379520416259766,33593
36,a,DET,23.1182918548584,33593,el,DET,33.706520080566406,31073
37,good,ADJ,20.08538055419922,33593,bueno,ADJ,34.012413024902344,33593
38,thing,NOUN,21.43402671813965,33593,Por,ADP,32.70366287231445,35093
39,.,PUNCT,22.336181640625,33593,¿,PUNCT,30.789005279541016,35093
40,Why,ADV,21.395360946655273,35093,algo,ADV,33.233116149902344,33593
41,is,AUX,20.41558837890625,35093,qué,PRON,34.545658111572266,35093
42,this,DET,23.157400131225586,35093,sucede,VERB,34.46464538574219,35093
43,happening,NOUN,21.527711868286133,35093,esto,PRON,34.74200439453125,35093
44,?,PUNCT,21.628389358520508,35093,?,PUNCT,32.960079193115234,35093
45,The,DET,20.654909133911133,36869,La,DET,34.94137954711914,36869
46,technology,NOUN,18.58262062072754,36869,revolución,NOUN,30.908666610717773,36869
47,revolution,NOUN,21.35322380065918,36869,tecnológica,ADJ,34.20042419433594,36869
48,is,AUX,25.008373260498047,36869,está,AUX,37.145599365234375,36869
49,opening,VERB,23.68831443786621,36869,abriendo,VERB,35.052730560302734,36869
50,the,DET,23.587915420532227,36869,el,DET,34.830894470214844,36869
51,world,NOUN,19.15859031677246,36869,mundo,NOUN,31.722349166870117,36869
52,.,PUNCT,21.920061111450195,36869,.,PUNCT,31.775785446166992,36869
53,Yesterday,NOUN,20.431184768676758,39833,El,DET,34.057106018066406,39833
54,'s,PART,19.025197982788086,39833,de,ADP,28.883955001831055,39833
55,Internet,NOUN,22.2480411529541,39833,internet,NOUN,30.031709671020508,39833
56,was,AUX,21.84210968017578,39833,era,AUX,34.6367073059082,39833
57,a,DET,23.17255210876465,39833,una,DET,35.043888092041016,39833
58,platform,NOUN,21.887414932250977,39833,antes,ADV,35.26490020751953,39833
59,for,ADP,20.9938907623291,42378,para,ADP,35.17753219604492,42378
60,the,DET,22.801406860351562,42378,la,DET,31.457273483276367,42378
61,presentation,NOUN,18.691177368164062,42378,plataforma,NOUN,32.09323501586914,39833
62,of,ADP,22.596694946289062,42378,de,ADP,30.589773178100586,42378
63,content,NOUN,18.593889236450195,42378,presentación,NOUN,30.92599868774414,42378
64,.,PUNCT,21.969341278076172,42378,.,PUNCT,33.36158752441406,42378
65,The,DET,20.103742599487305,44970,El,DET,34.1063117980957,44970
66,Internet,NOUN,21.359970092773438,44970,contenidos,NOUN,32.36486053466797,42378
67,of,ADP,22.497426986694336,44970,de,ADP,30.681941986083984,44970
68,today,NOUN,22.469223022460938,44970,internet,NOUN,30.114933013916016,44970
69,is,AUX,22.969783782958984,44970,es,AUX,33.44192886352539,44970
70,a,DET,22.543720245361328,44970,una,DET,34.22456359863281,44970
71,platform,NOUN,22.450143814086914,44970,plataforma,NOUN,33.62751388549805,44970
72,for,ADP,22.90139389038086,44970,de,ADP,31.882923126220703,44970
73,computation,NOUN,20.618764877319336,44970,computación,NOUN,30.67851448059082,44970
74,.,PUNCT,21.650638580322266,44970,hoy,ADV,31.4636287689209,44970
75,The,DET,19.91404914855957,48225,y,CONJ,32.51198959350586,48225
76,Internet,NOUN,21.050125122070312,48225,se,PRON,32.44196319580078,48225
77,is,AUX,24.72794532775879,48225,está,AUX,37.179508209228516,48225
78,becoming,VERB,26.4964542388916,48225,convirtiendo,VERB,34.58341598510742,48225
79,a,DET,20.524362564086914,48225,un,DET,36.976009368896484,48225
80,giant,NOUN,21.11115837097168,48225,en,ADP,34.80031967163086,48225
81,global,ADJ,19.513534545898438,49832,gigante,ADJ,31.06009292602539,49832
82,computer,NOUN,17.864368438720703,49832,computador,NOUN,32.52018737792969,48225
83,",",PUNCT,20.928508758544922,49832,;,PUNCT,30.690170288085938,49832
84,and,CCONJ,20.081098556518555,49832,mundial,PROPN,32.05670166015625,49832
85,every,DET,21.360698699951172,49832,cada,DET,34.72052764892578,49832
86,time,NOUN,20.438785552978516,49832,vez,NOUN,34.104042053222656,49832
87,you,PRON,24.68623924255371,49832,que,SCONJ,32.123714447021484,49832
88,go,VERB,22.224395751953125,49832,entramos,VERB,34.320125579833984,49832
89,on,ADP,20.088329315185547,49832,en,ADP,33.09938049316406,52433
90,it,PRON,21.495141983032227,49832,subimos,VERB,32.50645065307617,52433
91,",",PUNCT,21.91030502319336,49832,",",PUNCT,30.132280349731445,49832
92,you,PRON,23.51024055480957,52433,video,NOUN,32.49368667602539,52433
93,upload,VERB,21.062793731689453,52433,hacemos,VERB,32.847511291503906,52433
94,a,DET,22.712535858154297,52433,un,DET,35.826377868652344,52433
95,video,NOUN,19.075462341308594,52433,búsquedas,NOUN,33.483612060546875,52433
96,",",PUNCT,21.724712371826172,52433,",",PUNCT,32.69601058959961,52433
97,you,PRON,24.06888771057129,52433,o,CONJ,33.004722595214844,55090
98,do,AUX,22.621461868286133,52433,hacemos,VERB,34.25082778930664,55090
99,a,DET,24.52345848083496,52433,alguna,DET,34.558135986328125,55090
100,Google,PROPN,22.03847312927246,52433,Google,PROPN,35.592037200927734,52433
101,search,NOUN,19.813932418823242,52433,mezcla,NOUN,32.863521575927734,55090
102,",",PUNCT,21.682680130004883,52433,",",PUNCT,30.671348571777344,55090
103,you,PRON,23.476097106933594,55090,estamos,AUX,34.640106201171875,56744
104,remix,VERB,23.570331573486328,55090,programando,VERB,35.30268859863281,56744
105,something,PRON,22.26258087158203,55090,este,DET,34.597808837890625,56744
106,",",PUNCT,22.20102882385254,55090,.,PUNCT,32.811248779296875,59291
107,you,PRON,22.84238624572754,56744,todos,PRON,34.47663116455078,59291
108,'re,AUX,23.045413970947266,56744,computador,NOUN,31.802963256835938,56744
109,programming,VERB,23.754899978637695,56744,compartimos,VERB,32.72224044799805,59291
110,this,DET,20.542680740356445,56744,La,DET,34.95496368408203,60531
111,big,ADJ,20.722822189331055,56744,mundial,ADJ,35.08208084106445,56744
112,global,ADJ,20.073286056518555,56744,gran,ADJ,35.82847213745117,56744
113,computer,NOUN,19.43968391418457,56744,humanidad,NOUN,33.55556869506836,60531
114,that,SCONJ,20.625213623046875,59291,que,SCONJ,30.964675903320312,59291
115,we,PRON,24.424518585205078,59291,esto,PRON,34.52104949951172,63765
116,all,DET,21.780763626098633,59291,una,DET,33.72901153564453,60531
117,share,VERB,20.797054290771484,59291,construyendo,VERB,34.64048385620117,60531
118,.,PUNCT,21.71415138244629,59291,y,CONJ,33.84958267211914,63765
119,Humanity,NOUN,21.267087936401367,60531,máquina,NOUN,31.47716522216797,60531
120,is,AUX,24.2258243560791,60531,está,AUX,36.929988861083984,60531
121,building,VERB,25.55855941772461,60531,permite,VERB,37.36643600463867,63765
