,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,When,ADV,22.14059829711914,12902,Cuando,SCONJ,34.20196533203125,12902
1,0,0,0.0,0,la,DET,34.12120819091797,12902
2,people,NOUN,24.650644302368164,12902,gente,NOUN,30.86288070678711,12902
3,find,VERB,22.647130966186523,12902,descubre,VERB,33.11022186279297,12902
4,I,PRON,23.42147445678711,12902,que,SCONJ,31.318960189819336,12902
5,write,VERB,19.467464447021484,12902,escribo,VERB,34.6677360534668,12902
6,about,ADP,21.474088668823242,12902,sobre,ADP,31.85976219177246,12902
7,",",PUNCT,20.721790313720703,12902,el,DET,34.97913360595703,12902
8,management,NOUN,18.05219078063965,12902,manejo,NOUN,30.524484634399414,12902
9,out,ADP,20.809276580810547,12902,del,ADP,34.42845153808594,12902
10,time,NOUN,18.242902755737305,12902,tiempo,NOUN,31.475122451782227,12902
11,they,PRON,25.462535858154297,16588,0,0,0.0,0
12,assume,VERB,25.21662712097168,16588,asumen,VERB,32.695987701416016,16588
13,two,NUM,23.60344123840332,16588,dos,NUM,35.404136657714844,16588
14,things,NOUN,22.759668350219727,16588,cosas,NOUN,34.95170593261719,16588
15,.,PUNCT,22.40438461303711,16588,:,PUNCT,31.36115264892578,16588
16,One,NUM,23.07939338684082,19564,Una,PRON,30.035762786865234,19564
17,is,AUX,22.301883697509766,19564,",",PUNCT,31.2454891204834,19564
18,that,SCONJ,20.20770835876465,19564,0,0,0.0,0
19,I,PRON,23.743249893188477,19564,que,PRON,33.40415573120117,19564
20,'m,AUX,22.600521087646484,19564,soy,AUX,34.36804962158203,19564
21,always,ADV,23.495389938354492,19564,siempre,ADV,34.6182746887207,19564
22,on,ADP,19.33196449279785,19564,puntual,ADJ,32.89291763305664,19564
23,time,NOUN,17.009748458862305,19564,0,0,0.0,0
24,",",PUNCT,21.515758514404297,19564,",",PUNCT,30.654569625854492,19564
25,and,CCONJ,20.115327835083008,23747,cosa,NOUN,33.85304641723633,23747
26,I,PRON,25.018274307250977,23747,que,PRON,35.31412887573242,23747
27,0,0,0.0,0,no,ADV,33.870391845703125,23747
28,'m,AUX,22.587570190429688,23747,es,AUX,34.28010940551758,23747
29,not,PART,20.702898025512695,23747,cierto,ADJ,36.41056823730469,23747
30,.,PUNCT,22.439128875732422,23747,.,PUNCT,32.833648681640625,23747
31,I,PRON,25.13304901123047,25525,Tengo,VERB,32.62540817260742,25525
32,have,AUX,23.58527183532715,25525,0,0,0.0,0
33,four,NUM,23.553089141845703,25525,cuatro,NUM,36.23219680786133,25525
34,small,ADJ,23.437780380249023,25525,pequeños,ADJ,36.05543518066406,25525
35,children,NOUN,22.55084800720215,25525,niños,NOUN,35.08678436279297,25525
36,",",PUNCT,21.153133392333984,25525,0,0,0.0,0
37,and,CCONJ,19.070518493652344,26894,y,CONJ,31.98333740234375,26894
38,I,PRON,25.724889755249023,26894,me,PRON,31.404077529907227,26894
39,would,VERB,27.13807487487793,26894,gustaría,VERB,33.52771759033203,26894
40,like,VERB,22.06317710876465,26894,culparlos,ADJ,33.15587615966797,26894
41,to,PART,23.006935119628906,26894,0,0,0.0,0
42,blame,VERB,25.71246337890625,26894,0,0,0.0,0
43,them,PRON,24.12759780883789,26894,0,0,0.0,0
44,for,ADP,22.571197509765625,26894,por,ADP,32.838233947753906,26894
45,my,DET,22.034902572631836,26894,mis,DET,34.669593811035156,26894
46,occasional,ADJ,19.376548767089844,26894,ocasionales,ADJ,35.646697998046875,26894
47,tardiness,NOUN,19.89603042602539,26894,tardanzas,NOUN,35.04705810546875,26894
48,",",PUNCT,20.4213809967041,26894,",",PUNCT,30.350040435791016,26894
49,but,CCONJ,21.6884765625,29734,pero,CONJ,32.9181022644043,29734
50,sometimes,ADV,20.899545669555664,29734,a,ADP,32.76453399658203,29734
51,it,PRON,23.915035247802734,29734,veces,NOUN,33.276512145996094,29734
52,'s,AUX,21.03061294555664,29734,es,AUX,32.93824005126953,29734
53,just,ADV,26.156343460083008,29734,no,ADV,32.335453033447266,29734
54,not,PART,22.482036590576172,29734,0,0,0.0,0
55,their,DET,21.75016212463379,29734,su,DET,34.364986419677734,29734
56,fault,NOUN,21.394588470458984,29734,culpa,NOUN,30.556034088134766,29734
57,.,PUNCT,21.290639877319336,29734,.,PUNCT,32.29750442504883,29734
58,I,PRON,24.115455627441406,32365,Una,DET,30.990877151489258,32095
59,was,AUX,22.98164939880371,32365,vez,NOUN,32.76505661010742,32095
60,once,ADV,23.07600212097168,32365,llegué,VERB,33.560672760009766,32095
61,late,ADV,23.061674118041992,32365,tarde,ADV,34.119476318359375,32095
62,to,ADP,22.223779678344727,32365,a,ADP,33.2389030456543,32095
63,my,DET,23.26069450378418,32365,mi,DET,31.71373176574707,32095
64,own,ADJ,20.456363677978516,32365,propio,DET,33.762611389160156,32095
65,speech,NOUN,19.799880981445312,32365,charla,NOUN,32.28778839111328,32095
66,on,ADP,20.521743774414062,32365,de,ADP,33.15724563598633,32095
67,time,NOUN,18.099376678466797,32365,gestión,NOUN,29.839134216308594,32095
68,0,0,0.0,0,del,ADP,33.73785400390625,32095
69,management,NOUN,18.0139217376709,32365,tiempo,NOUN,31.994707107543945,32095
70,.,PUNCT,21.71108627319336,32365,.,PUNCT,31.356035232543945,32095
71,(,PUNCT,19.138301849365234,35136,(,PUNCT,28.748825073242188,35136
72,Laughter,PROPN,20.165264129638672,35136,Risas,PROPN,34.865478515625,35136
73,),PUNCT,20.96363067626953,35136,),PUNCT,32.331058502197266,35136
74,We,PRON,22.748437881469727,36200,Todos,PRON,30.565879821777344,36200
75,all,DET,21.0730037689209,36200,un,DET,37.14434814453125,36200
76,had,AUX,24.485332489013672,36200,0,0,0.0,0
77,to,PART,19.680387496948242,36200,y,CONJ,34.39479064941406,36200
78,just,ADV,24.918092727661133,36200,juntos,ADJ,30.591550827026367,36200
79,take,VERB,24.910425186157227,36200,tomamos,VERB,34.1611213684082,36200
80,a,DET,22.30647087097168,36200,esa,DET,33.85260009765625,36200
81,moment,NOUN,21.721803665161133,36200,momento,NOUN,32.7553596496582,36200
82,together,ADV,21.661373138427734,36200,0,0,0.0,0
83,and,CCONJ,22.96382713317871,36200,0,0,0.0,0
84,savor,VERB,19.605077743530273,36200,saboreemos,VERB,33.66886520385742,36200
85,that,DET,19.714561462402344,36200,0,0,0.0,0
86,irony,NOUN,20.81121253967285,36200,ironía,NOUN,33.08620071411133,36200
87,.,PUNCT,21.939512252807617,36200,.,PUNCT,34.3934326171875,36200
88,The,DET,21.445812225341797,40972,Lo,DET,31.042194366455078,40972
89,second,ADJ,18.40267562866211,40972,segundo,ADJ,30.54388999938965,40972
90,thing,NOUN,19.963666915893555,40972,asumen,VERB,33.26365661621094,40972
91,they,PRON,25.45638084411621,40972,que,PRON,34.052982330322266,40972
92,assume,VERB,23.157215118408203,40972,tengo,VERB,34.67416763305664,40972
93,is,AUX,22.772384643554688,40972,es,AUX,31.885658264160156,40972
94,that,SCONJ,20.587543487548828,40972,que,SCONJ,33.807098388671875,40972
95,I,PRON,23.77564239501953,40972,un,DET,34.90753173828125,40972
96,have,AUX,23.8057918548584,40972,0,0,0.0,0
97,lots,NOUN,21.617733001708984,40972,montón,NOUN,31.396549224853516,40972
98,of,ADP,23.292011260986328,40972,de,ADP,31.41660499572754,40972
99,tips,NOUN,22.245460510253906,40972,y,CONJ,34.08901596069336,40972
100,and,CCONJ,23.393640518188477,40972,trucos,ADJ,34.598167419433594,40972
101,tricks,NOUN,20.72818946838379,40972,consejos,NOUN,32.22211456298828,40972
102,for,ADP,21.98337745666504,44215,para,ADP,35.93187713623047,44215
103,saving,VERB,23.238040924072266,44215,ahorrar,VERB,36.41666793823242,44215
104,bits,NOUN,21.109638214111328,44215,pizcas,NOUN,34.85597610473633,44215
105,of,ADP,20.334033966064453,44215,de,ADP,32.43873977661133,44215
106,time,NOUN,18.371034622192383,44215,tiempo,NOUN,32.41923904418945,44215
107,here,ADV,18.817039489746094,44215,0,0,0.0,0
108,and,CCONJ,22.025741577148438,44215,0,0,0.0,0
109,there,ADV,18.466594696044922,44215,0,0,0.0,0
110,.,PUNCT,22.358457565307617,44215,.,PUNCT,32.08260726928711,44215
111,Sometimes,ADV,20.261474609375,46132,A,ADP,34.99077224731445,46132
112,I,PRON,23.92324447631836,46132,que,PRON,35.84987258911133,46132
113,'ll,VERB,24.337923049926758,46132,escucho,ADJ,30.953214645385742,46132
114,hear,VERB,22.447357177734375,46132,veces,NOUN,34.125797271728516,46132
115,from,ADP,22.364566802978516,46132,de,ADP,30.26109504699707,46132
116,magazines,NOUN,23.53548240661621,46132,revistas,NOUN,34.79042434692383,46132
117,that,DET,22.312570571899414,46132,0,0,0.0,0
118,are,AUX,25.725997924804688,46132,0,0,0.0,0
119,doing,VERB,26.4743595123291,46132,hacen,VERB,36.91728210449219,46132
120,a,DET,22.621429443359375,46132,estos,DET,36.38304901123047,46132
121,story,NOUN,21.593097686767578,46132,temas,NOUN,33.7160530090332,46132
122,along,ADP,20.92045783996582,46132,sobre,ADP,35.03323745727539,46132
123,these,DET,22.724884033203125,46132,0,0,0.0,0
124,lines,NOUN,20.425146102905273,46132,historias,NOUN,35.256622314453125,46132
125,",",PUNCT,20.58022117614746,46132,",",PUNCT,32.14926528930664,46132
126,generally,ADV,21.172780990600586,49870,cómo,PRON,35.902713775634766,49870
127,on,ADP,19.257644653320312,49870,sobre,ADP,31.65617561340332,49870
128,how,ADV,22.919967651367188,49870,a,ADP,34.028038024902344,49870
129,to,PART,20.63829803466797,49870,a,ADP,33.79158020019531,49870
130,help,VERB,24.728246688842773,49870,ayudar,VERB,35.44259262084961,49870
131,their,DET,25.455434799194336,49870,sus,DET,34.90303421020508,49870
132,readers,NOUN,23.636516571044922,49870,lectores,NOUN,35.60102081298828,49870
133,find,VERB,24.76136016845703,49870,encontrar,VERB,37.44451904296875,49870
134,an,DET,23.463544845581055,49870,una,DET,34.929073333740234,49870
135,extra,ADJ,22.117568969726562,49870,extra,ADJ,34.464927673339844,49870
136,hour,NOUN,23.28072738647461,49870,hora,NOUN,34.12853240966797,49870
137,in,ADP,19.915157318115234,49870,en,ADP,33.1580924987793,49870
