,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Allow,VERB,22.066286087036133,13267,Déjenme,PROPN,32.7930793762207,13267
1,me,PRON,23.45142936706543,13267,que,SCONJ,32.11722183227539,13267
2,to,PART,23.02422523498535,13267,0,0,0.0,0
3,start,VERB,24.110204696655273,13267,empiece,VERB,32.120235443115234,13267
4,this,DET,21.59511375427246,13267,esta,DET,34.01496124267578,13267
5,talk,NOUN,21.14362907409668,13267,charla,NOUN,34.32408905029297,13267
6,with,ADP,21.91623878479004,13267,con,ADP,32.455387115478516,13267
7,a,DET,22.01032257080078,13267,una,DET,32.84607696533203,13267
8,question,NOUN,22.99082374572754,13267,pregunta,NOUN,32.990623474121094,13267
9,to,ADP,20.891389846801758,13267,para,ADP,32.52190017700195,13267
10,everyone,PRON,21.124788284301758,13267,todos,PRON,33.371829986572266,13267
11,.,PUNCT,22.94331932067871,13267,.,PUNCT,31.22991371154785,13267
12,You,PRON,23.849998474121094,17795,0,0,0.0,0
13,know,VERB,23.139448165893555,17795,Saben,VERB,33.48551559448242,17795
14,that,SCONJ,18.787097930908203,17795,que,SCONJ,33.0956916809082,17795
15,all,DET,19.13718605041504,17795,todo,DET,35.10560607910156,17795
16,over,ADP,20.08795928955078,17795,en,ADP,33.033111572265625,17795
17,the,DET,21.975732803344727,17795,el,DET,35.900665283203125,17795
18,world,NOUN,17.699596405029297,17795,mundo,NOUN,31.06995391845703,17795
19,",",PUNCT,21.792238235473633,17795,",",PUNCT,29.5759220123291,17795
20,0,0,0.0,0,la,DET,34.21219253540039,20057
21,people,NOUN,22.03533172607422,20057,gente,NOUN,31.46984100341797,20057
22,fight,VERB,20.930538177490234,20057,lucha,VERB,33.81663131713867,20057
23,for,ADP,23.026500701904297,20057,por,ADP,33.5394401550293,20057
24,their,DET,23.617849349975586,20057,su,DET,35.082889556884766,20057
25,freedom,NOUN,18.618379592895508,20057,libertad,NOUN,31.830167770385742,20057
26,",",PUNCT,21.146041870117188,20057,",",PUNCT,30.43939781188965,20057
27,fight,VERB,21.976640701293945,22852,lucha,VERB,33.90288543701172,22852
28,for,ADP,23.37323570251465,22852,por,ADP,33.46187210083008,22852
29,their,DET,23.989826202392578,22852,sus,DET,31.65616226196289,22852
30,rights,NOUN,21.239927291870117,22852,derechos,NOUN,34.20970153808594,22852
31,.,PUNCT,21.090768814086914,22852,.,PUNCT,34.115875244140625,22852
32,Some,DET,22.74556541442871,25058,Algunos,PRON,33.615196228027344,25058
33,battle,NOUN,18.06086540222168,25058,luchan,VERB,34.99358367919922,25058
34,0,0,0.0,0,contra,ADP,31.902896881103516,25058
35,governments,NOUN,22.225374221801758,25058,gobiernos,NOUN,33.643314361572266,25058
36,oppressive,ADJ,18.604747772216797,25058,opresivos,ADJ,34.62358093261719,25058
37,.,PUNCT,20.224349975585938,25058,.,PUNCT,32.45808410644531,25058
38,Others,NOUN,21.357242584228516,28219,Otros,PRON,31.217945098876953,28219
39,battle,NOUN,20.37042236328125,28219,contra,ADP,32.272216796875,28219
40,oppressive,ADJ,19.02133560180664,28219,opresivas,ADJ,34.94192886352539,28219
41,societies,NOUN,21.044639587402344,28219,sociedades,NOUN,37.36567687988281,28219
42,.,PUNCT,20.57303237915039,28219,.,PUNCT,33.210838317871094,28219
43,Which,DET,23.06375503540039,32955,¿,PUNCT,30.86214828491211,32955
44,battle,NOUN,22.969221115112305,32955,que,SCONJ,33.436092376708984,32955
45,do,AUX,22.491300582885742,32955,es,AUX,35.04605484008789,32955
46,you,PRON,25.305171966552734,32955,Cuál,PRON,32.71324157714844,32955
47,think,VERB,22.098966598510742,32955,creen,VERB,37.4968147277832,32955
48,is,AUX,23.005666732788086,32955,más,ADV,37.5955810546875,32955
49,harder,ADJ,20.891895294189453,32955,difícil,ADJ,36.8831901550293,32955
50,?,PUNCT,22.240558624267578,32955,?,PUNCT,33.610172271728516,32955
51,Allow,VERB,22.09191131591797,36811,Déjenme,PROPN,33.49009704589844,36811
52,me,PRON,23.729379653930664,36811,que,SCONJ,32.29828643798828,36811
53,to,PART,22.567651748657227,36811,a,ADP,34.464447021484375,36811
54,try,VERB,25.593679428100586,36811,responda,VERB,33.50439453125,36811
55,to,PART,23.47760772705078,36811,0,0,0.0,0
56,answer,VERB,24.11188316345215,36811,0,0,0.0,0
57,this,DET,22.448040008544922,36811,esta,DET,31.73893165588379,36811
58,question,NOUN,21.718944549560547,36811,pregunta,NOUN,32.51844024658203,36811
59,in,ADP,20.959514617919922,39283,en,ADP,33.880210876464844,39283
60,the,DET,22.725284576416016,39283,los,DET,34.202144622802734,39283
61,few,ADJ,22.113250732421875,39283,siguientes,ADJ,37.611595153808594,39283
62,coming,VERB,21.111534118652344,39283,0,0,0.0,0
63,minutes,NOUN,21.791318893432617,39283,minutos,NOUN,35.750484466552734,39283
64,.,PUNCT,21.50605583190918,39283,.,PUNCT,33.5152702331543,39283
65,Let,VERB,23.6104679107666,42363,Permítanme,PROPN,32.096923828125,42363
66,me,PRON,25.78199005126953,42363,que,SCONJ,30.892488479614258,42363
67,take,VERB,25.03466033935547,42363,lleve,VERB,32.051544189453125,42363
68,you,PRON,20.96746063232422,42363,los,DET,32.62297439575195,42363
69,back,ADV,19.793214797973633,42363,0,0,0.0,0
70,two,NUM,24.341062545776367,42363,2,NUM,33.99787139892578,42363
71,years,NOUN,24.47904396057129,42363,años,NOUN,34.59969711303711,42363
72,ago,ADV,20.67344093322754,42363,atrás,ADV,33.97123336791992,42363
73,in,ADP,21.518346786499023,42363,en,ADP,34.36665725708008,42363
74,my,DET,23.572269439697266,42363,mi,DET,34.63425827026367,42363
75,life,NOUN,18.86190414428711,42363,vida,NOUN,30.841773986816406,42363
76,.,PUNCT,21.878713607788086,42363,.,PUNCT,33.26543045043945,42363
77,was,AUX,24.3832950592041,48179,Era,AUX,35.2758903503418,48179
78,the,DET,23.6712589263916,48179,la,DET,34.00576400756836,48179
79,bedtime,NOUN,18.869855880737305,48179,hora,NOUN,31.619548797607422,48179
80,It,PRON,23.9295654296875,48179,de,ADP,31.020849227905273,48179
81,0,0,0.0,0,acostarse,PROPN,31.287736892700195,48179
82,of,ADP,23.322973251342773,48179,de,ADP,31.880966186523438,48179
83,my,DET,21.755712509155273,48179,mi,DET,34.04336929321289,48179
84,son,NOUN,18.838056564331055,48179,hijo,NOUN,31.684465408325195,48179
85,",",PUNCT,19.779321670532227,48179,",",PUNCT,29.777467727661133,48179
86,Aboody,PROPN,23.49053192138672,48179,Aboody,PROPN,32.00353240966797,48179
87,.,PUNCT,20.943723678588867,48179,.,PUNCT,32.24359130859375,48179
88,He,PRON,23.866052627563477,51135,Tenía,VERB,32.83888244628906,51135
89,was,AUX,24.350872039794922,51135,0,0,0.0,0
90,five,NUM,23.703411102294922,51135,5,NUM,33.03948974609375,51135
91,at,ADP,22.18227195739746,51135,entonces,ADV,36.39607620239258,51135
92,the,DET,20.669822692871094,51135,0,0,0.0,0
93,time,NOUN,18.71385383605957,51135,años,NOUN,35.122657775878906,51135
94,.,PUNCT,21.375621795654297,51135,.,PUNCT,33.440155029296875,51135
95,After,ADP,22.873306274414062,53819,Al,ADP,35.01689529418945,53819
96,finishing,VERB,26.405155181884766,53819,acabar,VERB,36.02228927612305,53819
97,his,DET,24.99517822265625,53819,sus,DET,33.4029426574707,53819
98,bedtime,NOUN,19.335853576660156,53819,rituales,NOUN,35.94038391113281,53819
99,rituals,NOUN,20.415874481201172,53819,para,ADP,36.0169792175293,53819
100,0,0,0.0,0,acostarse,PROPN,31.27326011657715,53819
101,",",PUNCT,20.200075149536133,53819,",",PUNCT,31.129920959472656,53819
102,he,PRON,24.857755661010742,56259,me,PRON,32.8038444519043,56259
103,looked,VERB,24.750831604003906,56259,miró,VERB,33.60588073730469,56259
104,at,ADP,22.655990600585938,56259,y,CONJ,32.126625061035156,56259
105,me,PRON,23.651782989501953,56259,me,PRON,31.868783950805664,56259
106,and,CCONJ,19.34113121032715,56259,0,0,0.0,0
107,he,PRON,24.389318466186523,56259,0,0,0.0,0
108,asked,VERB,25.988374710083008,56259,preguntó,VERB,37.0916748046875,56259
109,a,DET,22.826074600219727,56259,0,0,0.0,0
110,question,NOUN,20.052364349365234,56259,0,0,0.0,0
111,:,PUNCT,18.25057029724121,56259,:,PUNCT,32.36433029174805,56259
112,"""",PUNCT,18.53498649597168,60341,"""",PUNCT,31.850805282592773,60341
