,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,At,ADP,20.81961441040039,12668,En,ADP,32.466270446777344,12668
1,every,DET,25.121736526489258,12668,cada,DET,36.42464828491211,12668
2,stage,NOUN,24.224586486816406,12668,etapa,NOUN,33.78145980834961,12668
3,of,ADP,24.58957290649414,12668,de,ADP,31.47355079650879,12668
4,our,DET,23.31341552734375,12668,nuestras,DET,33.01988220214844,12668
5,lives,NOUN,18.242238998413086,12668,vidas,NOUN,34.68706130981445,12668
6,we,PRON,24.25731086730957,14618,que,PRON,33.66743469238281,14618
7,make,VERB,24.769912719726562,14618,tomamos,VERB,30.166553497314453,14618
8,decisions,NOUN,23.031818389892578,14618,decisiones,NOUN,36.01728057861328,14618
9,that,DET,21.487211227416992,14618,0,0,0.0,0
10,will,VERB,24.835073471069336,14618,incidirán,VERB,34.149391174316406,14618
11,profoundly,ADV,23.86051368713379,14618,profundamente,ADV,37.411720275878906,14618
12,influence,VERB,21.425642013549805,14618,0,0,0.0,0
13,0,0,0.0,0,en,ADP,33.92233657836914,18186
14,the,DET,20.178672790527344,18186,las,DET,32.43719482421875,18186
15,lives,NOUN,19.780725479125977,18186,vidas,NOUN,33.31283187866211,18186
16,of,ADP,24.853925704956055,18186,de,ADP,33.426788330078125,18186
17,the,DET,23.040279388427734,18186,las,DET,34.388057708740234,18186
18,people,NOUN,20.872276306152344,18186,personas,NOUN,35.81936264038086,18186
19,0,0,0.0,0,en,ADP,33.31182098388672,18186
20,going,VERB,25.888219833374023,18186,las,DET,34.06370162963867,18186
21,to,PART,20.567655563354492,18186,que,PRON,33.47630310058594,18186
22,we,PRON,24.483570098876953,18186,nos,PRON,31.269866943359375,18186
23,'re,AUX,24.55056381225586,18186,vamos,AUX,34.97020721435547,18186
24,0,0,0.0,0,a,ADP,35.931732177734375,18186
25,become,VERB,24.057809829711914,18186,convertir,VERB,35.827369689941406,18186
26,0,0,0.0,0,y,CONJ,34.65971755981445,20071
27,",",PUNCT,20.197153091430664,18186,",",PUNCT,29.68962287902832,20071
28,0,0,0.0,0,luego,ADV,34.55099868774414,20071
29,0,0,0.0,0,",",PUNCT,31.013080596923828,20071
30,0,0,0.0,0,cuando,SCONJ,35.26850128173828,20071
31,0,0,0.0,0,nos,PRON,31.547149658203125,20071
32,0,0,0.0,0,volvemos,VERB,36.54002380371094,20071
33,0,0,0.0,0,esas,DET,35.19364547729492,20071
34,0,0,0.0,0,personas,NOUN,36.29378890991211,20071
35,we,PRON,24.038597106933594,21692,nos,PRON,32.72903060913086,21692
36,'re,AUX,22.96649742126465,21692,0,0,0.0,0
37,not,PART,22.41415786743164,21692,no,PART,33.06252670288086,21692
38,always,ADV,25.14691925048828,21692,siempre,ADV,34.988155364990234,21692
39,thrilled,VERB,21.565425872802734,21692,entusiasma,VERB,34.13712692260742,21692
40,with,ADP,22.75387191772461,21692,0,0,0.0,0
41,the,DET,21.695045471191406,21692,la,DET,33.42470169067383,21692
42,decisions,NOUN,20.849849700927734,21692,decisión,NOUN,33.49956130981445,21692
43,we,PRON,23.56948471069336,21692,que,PRON,32.39030838012695,21692
44,made,VERB,23.772308349609375,21692,tomamos,VERB,32.970924377441406,21692
45,.,PUNCT,20.922073364257812,21692,.,PUNCT,31.66364288330078,21692
46,So,ADV,18.041059494018555,24110,Así,ADV,33.996768951416016,24110
47,young,ADJ,22.62929916381836,24110,es,AUX,33.5111083984375,24110
48,0,0,0.0,0,como,SCONJ,34.50334930419922,24110
49,0,0,0.0,0,algunos,DET,34.2025032043457,24110
50,people,NOUN,22.116024017333984,24110,jóvenes,NOUN,33.927528381347656,24110
51,pay,VERB,24.191299438476562,24110,pagan,VERB,35.77249526977539,24110
52,good,ADJ,19.68352508544922,24110,buen,ADJ,35.01041030883789,24110
53,money,NOUN,18.898880004882812,24110,dinero,NOUN,31.33846092224121,24110
54,to,PART,22.374479293823242,26624,para,ADP,35.894927978515625,26624
55,removed,VERB,22.545034408569336,26624,borrar,VERB,35.139869689941406,26624
56,tattoos,PROPN,22.50619125366211,26624,tatuajes,NOUN,34.79592514038086,26624
57,that,SCONJ,22.944185256958008,26624,que,SCONJ,32.177040100097656,26624
58,get,AUX,24.548076629638672,26624,de,ADP,31.683551788330078,26624
59,teenagers,NOUN,18.887222290039062,26624,adolescentes,NOUN,35.05790328979492,26624
60,paid,VERB,21.046398162841797,29328,pagaron,VERB,33.486328125,29328
61,good,ADJ,18.658830642700195,29328,buen,ADJ,35.87451171875,29328
62,money,NOUN,17.60028076171875,29328,dinero,NOUN,31.56843376159668,29328
63,to,PART,22.75035858154297,29328,por,ADP,34.56553268432617,29328
64,get,AUX,24.533994674682617,29328,hacerse,PROPN,34.82803726196289,29328
65,.,PUNCT,20.662015914916992,29328,.,PUNCT,33.11611557006836,29328
66,Middle,ADJ,20.731637954711914,30698,Algunas,DET,32.95484161376953,30698
