,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,So,ADV,20.23881721496582,12917,0,0,0.0,0
1,",",PUNCT,19.70208740234375,12917,a,ADP,33.565086364746094,12917
2,I,PRON,24.965749740600586,12917,universitarios,ADJ,33.90827941894531,12917
3,teach,VERB,24.877681732177734,12917,Enseño,VERB,34.247772216796875,12917
4,college,NOUN,20.746793746948242,12917,desigualdad,NOUN,29.30225944519043,12917
5,students,NOUN,22.276824951171875,12917,estudiantes,NOUN,35.87671661376953,12917
6,about,ADP,20.9476261138916,12917,y,CONJ,34.0003662109375,12917
7,inequality,NOUN,20.464824676513672,12917,raza,NOUN,31.60736083984375,12917
8,and,CCONJ,22.133342742919922,12917,la,DET,33.26538848876953,12917
9,race,NOUN,18.472415924072266,12917,educación,NOUN,32.12989807128906,12917
10,in,ADP,21.9180965423584,12917,en,ADP,31.796249389648438,12917
11,education,NOUN,18.499536514282227,12917,0,0,0.0,0
12,",",PUNCT,21.266510009765625,12917,",",PUNCT,30.25480842590332,12917
13,and,CCONJ,19.364965438842773,17761,y,CONJ,31.162397384643555,17761
14,I,PRON,25.245960235595703,17761,me,PRON,33.62261962890625,17761
15,like,VERB,21.307994842529297,17761,gusta,VERB,35.640113830566406,17761
16,to,PART,23.485069274902344,17761,0,0,0.0,0
17,leave,VERB,24.05899429321289,17761,dejar,VERB,36.783199310302734,17761
18,my,DET,22.255983352661133,17761,mi,DET,32.52823257446289,17761
19,office,NOUN,20.096569061279297,17761,oficina,NOUN,30.43560791015625,17761
20,open,ADJ,17.946239471435547,17761,abierta,ADJ,33.871673583984375,17761
21,to,ADP,21.710763931274414,17761,para,ADP,32.36766815185547,17761
22,any,DET,21.17740821838379,17761,cualquiera,PRON,31.56417465209961,17761
23,of,ADP,22.079797744750977,17761,de,ADP,28.060380935668945,17761
24,my,DET,23.472572326660156,17761,mis,DET,31.99808120727539,17761
25,students,NOUN,17.995250701904297,17761,estudiantes,NOUN,35.7390022277832,17761
26,who,PRON,22.739025115966797,20850,que,SCONJ,32.91205596923828,20850
27,might,VERB,25.509153366088867,20850,tal,NOUN,34.58670425415039,20850
28,just,ADV,26.995712280273438,20850,vez,NOUN,33.24791717529297,20850
29,want,VERB,24.771657943725586,20850,quieran,VERB,32.075984954833984,20850
30,to,PART,22.74665069580078,20850,solo,ADJ,33.53666305541992,20850
31,see,VERB,25.503034591674805,20850,verme,VERB,34.212928771972656,20850
32,me,PRON,24.597959518432617,20850,para,ADP,34.14247131347656,20850
33,to,PART,20.605562210083008,20850,0,0,0.0,0
34,chat,VERB,22.65312957763672,20850,charlar,VERB,34.149478912353516,20850
35,.,PUNCT,22.29100799560547,20850,.,PUNCT,34.52393341064453,20850
36,And,CCONJ,20.334827423095703,23405,Y,CONJ,34.17245101928711,23405
37,few,ADJ,21.903711318969727,23405,hace,AUX,34.58418655395508,23405
38,a,DET,22.950481414794922,23405,unos,DET,31.663249969482422,23405
39,ago,ADV,21.335968017578125,23405,pocos,DET,34.96659469604492,23405
40,semesters,NOUN,20.89112663269043,23405,semestres,NOUN,34.673675537109375,23405
41,",",PUNCT,21.71653938293457,23405,",",PUNCT,31.562923431396484,23405
42,one,NUM,21.279218673706055,24976,uno,PRON,33.318607330322266,24976
43,of,ADP,22.532512664794922,24976,de,ADP,29.633865356445312,24976
44,my,DET,21.259265899658203,24976,mis,DET,33.02081298828125,24976
45,students,NOUN,21.824649810791016,24976,estudiantes,NOUN,35.039642333984375,24976
46,more,ADV,21.659854888916016,24976,más,ADV,36.883846282958984,24976
47,cheerful,ADJ,22.861738204956055,24976,alegres,ADJ,36.67066192626953,24976
48,",",PUNCT,21.778900146484375,24976,",",PUNCT,30.133726119995117,24976
49,Mahari,PROPN,19.8483829498291,24976,Mahari,PROPN,33.05555725097656,24976
50,",",PUNCT,20.616445541381836,24976,",",PUNCT,30.073894500732422,24976
51,actually,ADV,22.544919967651367,27905,en,ADP,34.30772018432617,27905
52,came,VERB,22.16987419128418,27905,realidad,NOUN,32.797080993652344,27905
53,see,VERB,23.425926208496094,27905,vino,VERB,29.947994232177734,27905
54,to,PART,19.252357482910156,27905,a,ADP,29.54025650024414,27905
55,me,PRON,22.9293155670166,27905,verme,PROPN,32.08028030395508,27905
56,and,CCONJ,20.90177345275879,29326,para,ADP,34.91493225097656,29326
57,mentioned,VERB,20.630531311035156,29326,0,0,0.0,0
58,that,SCONJ,19.220603942871094,29326,que,SCONJ,33.995296478271484,29326
59,he,PRON,23.943180084228516,29326,se,PRON,32.14005661010742,29326
60,was,AUX,24.77901268005371,29326,0,0,0.0,0
61,feeling,VERB,25.183889389038086,29326,sentía,VERB,34.64339065551758,29326
62,a,DET,20.258432388305664,29326,un,DET,31.413253784179688,29326
63,bit,NOUN,19.998558044433594,29326,decirme,NOUN,32.71144104003906,29326
64,like,SCONJ,20.71492576599121,29326,como,SCONJ,34.54469299316406,29326
65,an,DET,23.575286865234375,29326,un,DET,35.99256134033203,29326
66,outcast,NOUN,19.2152156829834,29326,paria,NOUN,30.77645492553711,29326
67,because,SCONJ,20.867130279541016,29326,por,ADP,33.77375411987305,29326
68,he,PRON,24.255001068115234,29326,poco,PRON,31.92683219909668,29326
69,'s,AUX,22.852846145629883,29326,ser,AUX,36.173667907714844,29326
70,black,ADJ,18.789806365966797,29326,negro,ADJ,32.21273422241211,29326
71,.,PUNCT,20.934246063232422,29326,.,PUNCT,33.74890899658203,29326
72,He,PRON,23.753610610961914,34001,de,ADP,30.5943660736084,34001
73,had,AUX,25.1677188873291,34001,Acababa,AUX,36.34457778930664,34001
74,just,ADV,25.31633186340332,34001,trasladarse,PROPN,33.298519134521484,34001
75,transferred,VERB,25.61722755432129,34001,0,0,0.0,0
76,to,ADP,19.507673263549805,34001,a,ADP,32.882049560546875,34001
77,NYU,PROPN,21.99834632873535,34001,NYU,PROPN,34.53791046142578,34001
78,from,ADP,21.358144760131836,34001,desde,ADP,32.73470687866211,34001
