,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,So,ADV,19.479385375976562,12580,Hace,AUX,35.4753532409668,12760
1,24,NUM,22.7997989654541,12580,24,NUM,36.47339630126953,12760
2,years,NOUN,24.665128707885742,12580,años,NOUN,35.682369232177734,12760
3,ago,ADV,20.732688903808594,12580,0,0,0.0,0
4,",",PUNCT,21.760700225830078,12580,",",PUNCT,31.141712188720703,12760
5,I,PRON,24.52712631225586,14380,me,PRON,33.44272232055664,14560
6,was,AUX,24.783061981201172,14380,0,0,0.0,0
7,brought,VERB,22.020023345947266,14380,trajeron,VERB,33.909305572509766,14560
8,to,ADP,18.55447769165039,14380,a,ADP,33.60940933227539,14560
9,The,DET,22.043394088745117,14380,The,PROPN,34.06745910644531,14560
10,New,PROPN,20.29761505126953,14380,Yorker,PROPN,35.32980728149414,14560
11,Yorker,PROPN,22.736125946044922,14380,New,PROPN,34.794132232666016,14560
12,as,SCONJ,20.881742477416992,16180,como,SCONJ,37.744346618652344,16360
13,art,NOUN,19.86754608154297,16180,editora,NOUN,32.74591827392578,16360
14,0,0,0.0,0,de,ADP,31.346540451049805,16360
15,editor,NOUN,19.821699142456055,16180,arte,NOUN,31.473588943481445,16360
16,to,PART,23.344207763671875,18300,para,ADP,36.45396041870117,18480
17,rejuvenate,VERB,22.343944549560547,18300,rejuvenecer,VERB,35.123016357421875,18480
18,0,0,0.0,0,lo,DET,33.72175216674805,22040
19,what,PRON,20.02631950378418,21860,que,PRON,33.5899772644043,22040
20,by,ADP,20.337749481201172,21860,para,ADP,33.52302169799805,22040
21,then,ADV,22.197330474853516,21860,entonces,ADV,35.60025405883789,22040
22,0,0,0.0,0,se,PRON,32.128658294677734,22040
23,had,AUX,21.601123809814453,21860,había,AUX,35.07453155517578,22040
24,become,VERB,21.006637573242188,21860,convertido,VERB,34.014434814453125,22040
25,0,0,0.0,0,en,ADP,35.0004768371582,22040
26,a,DET,22.410837173461914,21860,una,DET,35.028507232666016,22040
27,institution,NOUN,21.929752349853516,21860,institución,NOUN,31.971994400024414,22040
28,somewhat,ADV,26.724864959716797,21860,algo,ADV,33.426719665527344,22040
29,staid,ADJ,21.976566314697266,21860,formal,ADJ,34.33279800415039,22040
30,0,0,0.0,0,",",PUNCT,29.218442916870117,22040
31,and,CCONJ,22.29102897644043,26900,y,CONJ,30.91533851623535,27080
32,to,PART,21.043346405029297,26900,0,0,0.0,0
33,bring,VERB,22.841304779052734,26900,traer,VERB,37.48958206176758,27080
34,in,ADP,21.32130241394043,26900,para,ADP,36.20633316040039,27080
35,new,ADJ,22.520221710205078,26900,nuevos,ADJ,34.437705993652344,27080
36,artists,NOUN,20.649839401245117,26900,artistas,NOUN,36.529937744140625,27080
37,and,CCONJ,22.256717681884766,29420,y,CONJ,33.657047271728516,29600
38,to,PART,20.545978546142578,29420,así,ADV,36.40785598754883,29600
39,try,VERB,24.586030960083008,29420,tratar,AUX,34.0842170715332,29600
40,to,PART,21.791629791259766,29420,de,ADP,31.747966766357422,29600
41,bring,VERB,24.413759231567383,29420,sacar,VERB,35.67159652709961,29600
42,the,DET,21.876218795776367,29420,la,DET,34.816246032714844,29600
43,magazine,NOUN,17.116666793823242,29420,revista,NOUN,30.028053283691406,29600
44,from,ADP,21.640928268432617,29420,de,ADP,30.67257308959961,29600
45,its,DET,23.91046142578125,29420,su,DET,33.13325881958008,29600
46,ivory,NOUN,20.273330688476562,29420,torre,NOUN,29.472911834716797,29600
47,tower,NOUN,18.329082489013672,29420,de,ADP,31.48870277404785,29600
48,0,0,0.0,0,marfil,PROPN,31.346599578857422,29600
49,into,ADP,20.388240814208984,33140,0,0,0.0,0
50,engaging,VERB,22.196386337280273,33140,comprometiéndola,VERB,31.807537078857422,33320
51,with,ADP,21.164722442626953,33140,con,ADP,34.02973556518555,33320
52,its,DET,21.629718780517578,33140,su,DET,34.300575256347656,33320
53,time,NOUN,19.525833129882812,33140,tiempo,NOUN,33.42214584350586,33320
54,.,PUNCT,21.276853561401367,33140,.,PUNCT,31.415258407592773,33320
55,And,CCONJ,20.269512176513672,36500,Y,CONJ,32.092681884765625,36680
56,it,PRON,23.95448112487793,36500,mí,PRON,33.10602569580078,36680
57,was,AUX,24.47662925720215,36500,era,AUX,34.64704513549805,36680
58,just,ADV,25.771345138549805,36500,0,0,0.0,0
59,the,DET,21.74006462097168,36500,0,0,0.0,0
60,right,ADJ,20.054046630859375,36500,correcto,ADJ,34.275814056396484,36680
61,thing,NOUN,21.868392944335938,36500,hacerlo,NOUN,32.564754486083984,36680
62,for,ADP,21.657001495361328,36500,para,ADP,34.24724578857422,36680
63,me,PRON,24.157991409301758,36500,0,0,0.0,0
64,to,PART,20.413219451904297,36500,0,0,0.0,0
65,do,AUX,22.86904525756836,36500,0,0,0.0,0
66,because,SCONJ,19.427825927734375,39220,porque,SCONJ,35.61061477661133,39400
67,I,PRON,23.466182708740234,39220,me,PRON,30.806415557861328,39400
68,'ve,AUX,22.764768600463867,39220,he,AUX,33.53120422363281,39400
69,always,ADV,22.991395950317383,39220,siempre,ADV,36.32478332519531,39400
70,been,AUX,23.0078125,39220,cautivada,ADJ,34.180381774902344,39400
71,captivated,VERB,23.82818031311035,39220,sentido,VERB,35.04214096069336,39400
72,by,ADP,21.983654022216797,39220,por,ADP,32.86442184448242,39400
73,how,ADV,22.91214942932129,39220,cómo,PRON,36.063011169433594,39400
74,an,DET,23.505634307861328,39220,una,DET,33.369361877441406,39400
75,image,NOUN,22.79484748840332,39220,imagen,NOUN,31.92551040649414,39400
