,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,My,DET,23.814002990722656,12732,0,0,0.0,0
1,name,NOUN,20.721900939941406,12732,familia,NOUN,32.74506378173828,12732
2,is,AUX,23.425573348999023,12732,llamo,VERB,32.63153076171875,12732
3,Katrina,PROPN,21.840694427490234,12732,Spade,PROPN,36.08855056762695,12732
4,Spade,PROPN,20.888748168945312,12732,Katrina,PROPN,33.46332931518555,12732
5,",",PUNCT,22.403623580932617,12732,y,CONJ,32.88504409790039,12732
6,and,CCONJ,18.763751983642578,12732,0,0,0.0,0
7,I,PRON,26.378894805908203,12732,Me,PRON,28.40066909790039,12732
8,grew,VERB,25.20125961303711,12732,vengo,VERB,33.78791809082031,12732
9,up,ADP,18.8966007232666,12732,de,ADP,31.80368423461914,12732
10,in,ADP,22.03232765197754,12732,de,ADP,28.99327278137207,12732
11,a,DET,23.790353775024414,12732,una,DET,34.38251495361328,12732
12,medical,ADJ,21.024574279785156,12732,0,0,0.0,0
13,family,NOUN,20.456523895263672,12732,médicos,NOUN,33.7838249206543,12732
14,Instead,ADV,21.79309844970703,16300,En,ADP,33.546016693115234,16300
15,",",PUNCT,22.570878982543945,16300,",",PUNCT,30.018434524536133,16300
16,I,PRON,25.450098037719727,16300,estudié,PROPN,32.63771438598633,16300
17,went,VERB,24.174089431762695,16300,arquitectura,VERB,32.530296325683594,16300
18,to,ADP,20.436553955078125,16300,para,ADP,34.97361373901367,16300
19,architecture,NOUN,18.8798770904541,16300,cambio,NOUN,29.608139038085938,16300
20,school,NOUN,17.682167053222656,16300,0,0,0.0,0
21,to,PART,22.68355941772461,16300,a,ADP,34.58502960205078,16300
22,learn,VERB,23.767366409301758,16300,diseñar,VERB,34.88344955444336,16300
23,how,ADV,22.03618621826172,16300,0,0,0.0,0
24,to,PART,20.25551414489746,16300,0,0,0.0,0
25,design,VERB,24.62436866760254,16300,aprender,VERB,35.54851531982422,16300
26,.,PUNCT,22.763591766357422,16300,.,PUNCT,34.95730209350586,16300
27,And,CCONJ,21.201396942138672,29740,Y,CONJ,32.36206817626953,29740
28,while,SCONJ,19.31760025024414,29740,mientras,SCONJ,38.060184478759766,29740
29,I,PRON,24.198101043701172,29740,0,0,0.0,0
