,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,at,ADP,25.09946060180664,13359,En,ADP,32.581329345703125,13359
1,0,0,0.0,0,las,DET,32.32186508178711,13359
2,things,NOUN,23.764392852783203,13359,intersecciones,NOUN,33.4260368347168,13359
3,happen,VERB,19.105175018310547,13359,ocurren,VERB,36.46939468383789,13359
4,Great,ADJ,20.57033348083496,13359,grandes,ADJ,34.461544036865234,13359
5,intersections,NOUN,20.831571578979492,13359,cosas,NOUN,33.267330169677734,13359
6,.,PUNCT,20.417282104492188,13359,.,PUNCT,34.103271484375,13359
7,In,ADP,21.256607055664062,16800,De,ADP,33.430885314941406,16800
8,fact,NOUN,20.942094802856445,16800,hecho,NOUN,29.793315887451172,16800
9,",",PUNCT,21.34786605834961,16800,",",PUNCT,30.65402603149414,16800
10,I,PRON,24.028514862060547,16800,0,0,0.0,0
11,would,VERB,26.33167839050293,16800,diría,VERB,36.07340621948242,16800
12,argue,VERB,24.36931610107422,16800,ocurren,VERB,35.875858306884766,16800
13,that,SCONJ,20.296417236328125,16800,que,SCONJ,32.344303131103516,16800
14,some,DET,21.23572540283203,16800,las,DET,32.73942184448242,16800
15,of,ADP,23.176156997680664,16800,de,ADP,32.31544494628906,16800
16,the,DET,20.252643585205078,16800,0,0,0.0,0
17,most,ADV,21.867490768432617,16800,más,ADV,36.075496673583984,16800
18,interesting,ADJ,21.899822235107422,16800,interesantes,ADJ,36.706485748291016,16800
19,things,NOUN,21.61461639404297,16800,cosas,NOUN,32.84441375732422,16800
20,of,ADP,20.324542999267578,20039,de,ADP,33.1827507019043,20039
21,the,DET,22.315446853637695,20039,la,DET,33.56915283203125,20039
22,human,ADJ,18.866361618041992,20039,humana,ADJ,35.830196380615234,20039
23,experience,NOUN,19.11081314086914,20039,experiencia,NOUN,32.270294189453125,20039
24,occur,VERB,18.93796157836914,20039,0,0,0.0,0
25,at,ADP,22.910608291625977,20039,en,ADP,31.510183334350586,20039
26,the,DET,21.9743709564209,20039,las,DET,31.73471450805664,20039
27,intersections,NOUN,19.78607940673828,20039,intersecciones,NOUN,34.29338073730469,20039
28,",",PUNCT,19.661806106567383,20039,",",PUNCT,31.17142677307129,20039
29,in,ADP,20.90864372253418,23840,en,ADP,33.02351379394531,23840
30,the,DET,23.24424171447754,23840,el,DET,35.03610610961914,23840
31,liminal,ADJ,19.237882614135742,23840,liminal,ADJ,34.172271728515625,23840
32,space,NOUN,18.084537506103516,23840,espacio,NOUN,31.70908546447754,23840
33,",",PUNCT,21.843826293945312,23840,.,PUNCT,33.62934494018555,23840
34,where,ADV,20.869892120361328,25520,Y,CONJ,31.14767837524414,25520
35,by,ADP,22.58563232421875,25520,por,ADP,34.75386047363281,25520
36,liminal,ADJ,15.68742847442627,25520,liminal,ADJ,32.65815353393555,25520
37,I,PRON,24.988370895385742,25520,me,PRON,29.700069427490234,25520
38,mean,VERB,22.616744995117188,25520,refiero,VERB,36.712745666503906,25520
39,the,DET,19.894651412963867,25520,al,ADP,36.332733154296875,25520
40,space,NOUN,16.085268020629883,25520,espacio,NOUN,30.585628509521484,25520
41,in,ADP,18.927549362182617,25520,del,ADP,33.62648391723633,25520
42,-,PUNCT,20.64652442932129,25520,0,0,0.0,0
43,between,NOUN,19.59585189819336,25520,medio,NOUN,30.42858123779297,25520
44,.,PUNCT,23.01297378540039,25520,.,PUNCT,32.83002853393555,25520
45,There,PRON,22.226757049560547,29600,0,0,0.0,0
46,'s,AUX,21.012378692626953,29600,Hay,AUX,35.34896469116211,29600
47,freedom,NOUN,19.5527400970459,29600,libertad,NOUN,31.60740089416504,29600
48,in,ADP,19.997438430786133,29600,en,ADP,33.32350540161133,29600
49,that,DET,20.84798812866211,29600,ese,DET,36.498287200927734,29600
50,in,ADP,19.29096031188965,29600,medio,ADJ,32.580322265625,29600
51,-,PUNCT,20.157827377319336,29600,;,PUNCT,31.012529373168945,29600
52,between,NOUN,18.86454200744629,29600,espacio,NOUN,32.58879852294922,29600
53,",",PUNCT,19.6491641998291,29600,0,0,0.0,0
54,freedom,NOUN,19.00446319580078,32320,libertad,NOUN,30.81833839416504,32320
55,to,PART,23.552326202392578,32320,de,ADP,30.25554847717285,32320
56,create,VERB,23.84981346130371,32320,crear,VERB,35.0165901184082,32320
57,from,ADP,22.48931884765625,32320,a,ADP,33.68659973144531,32320
58,the,DET,20.9274959564209,32320,la,DET,32.83272171020508,32320
59,indefiniteness,NOUN,17.875835418701172,32320,partir,NOUN,33.750614166259766,32320
60,of,ADP,24.838726043701172,32320,de,ADP,32.20268249511719,32320
61,not,PART,22.06456184387207,32320,indefinición,NOUN,31.571531295776367,32320
62,-,PUNCT,19.23530387878418,32320,",",PUNCT,31.163122177124023,32320
63,quite,ADV,19.086374282836914,32320,del,ADP,30.88288688659668,32320
64,-,PUNCT,19.14166259765625,32320,ni,CONJ,30.123098373413086,32320
65,here,ADV,20.035791397094727,32320,aquí,ADV,30.64814567565918,32320
66,",",PUNCT,21.113784790039062,32320,ni,CONJ,32.82916259765625,32320
67,not,PART,21.029808044433594,32320,0,0,0.0,0
68,-,PUNCT,18.55963134765625,32320,",",PUNCT,30.561824798583984,32320
69,quite,ADV,19.572946548461914,32320,allí,ADV,32.603946685791016,32320
70,-,PUNCT,19.96290397644043,32320,0,0,0.0,0
71,there,ADV,19.45063591003418,32320,0,0,0.0,0
72,",",PUNCT,20.882793426513672,32320,0,0,0.0,0
73,a,DET,21.66095542907715,38120,una,DET,33.786617279052734,38120
74,new,ADJ,21.756553649902344,38120,nueva,ADJ,32.93501281738281,38120
75,self,NOUN,20.716997146606445,38120,auto,NOUN,30.25120735168457,38120
76,-,PUNCT,22.532249450683594,38120,-,PUNCT,33.36579513549805,38120
77,definition,NOUN,19.506635665893555,38120,definición,NOUN,30.74712562561035,38120
78,.,PUNCT,21.086830139160156,38120,.,PUNCT,33.25131607055664,38120
79,Some,DET,20.569427490234375,41360,Me,PRON,31.13170623779297,41360
80,of,ADP,23.134605407714844,41360,a,ADP,33.204002380371094,41360
81,the,DET,21.532073974609375,41360,la,DET,31.437807083129883,41360
82,great,ADJ,18.252925872802734,41360,grandes,ADJ,36.560543060302734,41360
83,intersections,NOUN,20.40048599243164,41360,mente,NOUN,30.964031219482422,41360
84,of,ADP,24.387174606323242,41360,0,0,0.0,0
85,the,DET,22.214284896850586,41360,las,DET,33.670162200927734,41360
86,world,NOUN,18.292388916015625,41360,intersecciones,NOUN,36.293067932128906,41360
87,come,VERB,20.11083984375,41360,vienen,VERB,36.229339599609375,41360
88,to,ADP,21.161170959472656,41360,del,ADP,33.0318717956543,41360
89,mind,NOUN,19.37445831298828,41360,mundo,NOUN,30.508018493652344,41360
90,",",PUNCT,22.01455307006836,41360,",",PUNCT,29.751117706298828,41360
91,like,SCONJ,20.58718490600586,44400,como,SCONJ,35.1640510559082,44400
92,the,DET,21.712366104125977,44400,el,DET,34.01523971557617,44400
93,Arc,PROPN,20.129711151123047,44400,Arco,PROPN,35.6124267578125,44400
94,de,X,19.5233154296875,44400,del,ADP,34.10999298095703,44400
95,Triomphe,PROPN,19.64617347717285,44400,Triunfo,PROPN,34.732181549072266,44400
96,in,ADP,21.673336029052734,44400,en,ADP,31.66422462463379,44400
97,Paris,PROPN,22.72887420654297,44400,París,PROPN,38.311119079589844,44400
98,",",PUNCT,21.768056869506836,44400,",",PUNCT,29.94281578063965,44400
99,or,CCONJ,21.1592960357666,46640,o,CONJ,33.7634391784668,46640
100,Times,PROPN,21.044538497924805,46640,Times,PROPN,35.183189392089844,46640
101,Square,PROPN,19.42966651916504,46640,Square,PROPN,35.491336822509766,46640
102,in,ADP,22.751548767089844,46640,en,ADP,31.517343521118164,46640
103,New,PROPN,22.628305435180664,46640,Nueva,PROPN,36.71094512939453,46640
104,York,PROPN,19.29388999938965,46640,York,PROPN,36.1972541809082,46640
105,City,PROPN,21.466806411743164,46640,0,0,0.0,0
106,",",PUNCT,20.664058685302734,46640,",",PUNCT,30.216962814331055,46640
107,both,DET,21.88287353515625,49120,ambos,NUM,33.19221496582031,49120
108,bustling,VERB,21.232229232788086,49120,repletos,NOUN,35.08636474609375,49120
109,with,ADP,20.19203758239746,49120,de,ADP,32.23042297363281,49120
110,the,DET,20.846092224121094,49120,la,DET,33.562713623046875,49120
111,excitement,NOUN,19.261398315429688,49120,emoción,NOUN,30.64080810546875,49120
112,of,ADP,22.215517044067383,49120,de,ADP,31.669025421142578,49120
113,a,DET,20.451326370239258,49120,un,DET,35.37111282348633,49120
114,seemingly,ADV,27.04734230041504,49120,aparentemente,ADV,36.863624572753906,49120
115,endless,ADJ,22.442663192749023,49120,incesante,ADJ,34.913978576660156,49120
116,stream,NOUN,22.486717224121094,49120,flujo,NOUN,32.93362808227539,49120
117,of,ADP,23.790424346923828,49120,de,ADP,31.785730361938477,49120
118,people,NOUN,21.321279525756836,49120,personas,NOUN,35.29289245605469,49120
119,.,PUNCT,22.030094146728516,49120,.,PUNCT,32.87255096435547,49120
120,Other,ADJ,20.692195892333984,55080,Pienso,VERB,31.81733512878418,55080
121,0,0,0.0,0,en,ADP,33.3765754699707,55080
122,0,0,0.0,0,otras,DET,33.28883361816406,55080
