,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,"""",PUNCT,20.787038803100586,12976,"""",PUNCT,30.593578338623047,12381
1,Even,ADV,20.26864242553711,12976,Incluso,ADV,32.323028564453125,12381
2,in,ADP,20.357715606689453,12976,en,ADP,34.21152877807617,12381
3,purely,ADV,23.19219207763672,12976,meramente,ADV,34.21284484863281,12381
4,nonreligious,ADJ,22.41372299194336,12976,religiosos,ADJ,32.40054702758789,12381
5,terms,NOUN,21.85260772705078,12976,términos,NOUN,36.06857681274414,12381
6,",",PUNCT,21.344463348388672,12976,",",PUNCT,29.528066635131836,12381
7,homosexuality,NOUN,20.437957763671875,17230,no,ADV,33.30364990234375,12381
8,represents,VERB,24.473100662231445,17230,representa,VERB,35.14895248413086,16604
9,a,DET,24.522327423095703,17230,la,DET,35.103328704833984,16604
10,misuse,NOUN,18.71368408203125,17230,homosexualidad,NOUN,31.849933624267578,16604
11,of,ADP,24.7382869720459,17230,de,ADP,31.654584884643555,16604
12,the,DET,21.770883560180664,17230,un,DET,32.92738342285156,16604
13,sexual,ADJ,19.15816879272461,17230,mal,ADJ,34.321231842041016,16604
14,faculty,NOUN,18.18763542175293,17230,uso,NOUN,33.42109298706055,16604
15,.,PUNCT,21.495445251464844,17230,.,PUNCT,33.396392822265625,16604
16,It,PRON,24.447263717651367,22970,sexualidad,NOUN,32.52281951904297,16604
17,is,AUX,25.353303909301758,22970,Es,AUX,34.30722427368164,22659
18,a,DET,23.78936004638672,22970,la,DET,34.36309814453125,16604
19,pathetic,ADJ,22.010679244995117,22970,mediocre,ADJ,30.08904266357422,22659
20,little,ADJ,19.035480499267578,22970,patético,ADJ,34.92747116088867,22659
21,second,ADJ,21.218185424804688,22970,menor,ADJ,34.95972442626953,22659
22,-,PUNCT,22.047758102416992,22970,",",PUNCT,30.81951904296875,22659
23,rate,NOUN,22.086589813232422,22970,y,CONJ,34.5233154296875,22659
24,substitute,NOUN,19.17863655090332,22970,sustituto,NOUN,31.932104110717773,22659
25,for,ADP,21.805892944335938,22970,de,ADP,31.50948715209961,22659
26,reality,NOUN,18.207040786743164,22970,realidad,NOUN,30.867704391479492,22659
27,--,PUNCT,20.22439193725586,22970,.,PUNCT,32.32081985473633,22659
28,a,DET,22.292381286621094,27715,la,DET,32.45963668823242,22659
29,pitiable,ADJ,20.531789779663086,27715,Un,DET,33.8918342590332,27285
30,flight,NOUN,22.807706832885742,27715,abandono,NOUN,30.50237274169922,27285
31,from,ADP,23.486446380615234,27715,de,ADP,32.190086364746094,27285
32,life,NOUN,19.684755325317383,27715,vida,NOUN,31.54557991027832,27285
33,.,PUNCT,22.401182174682617,27715,.,PUNCT,33.69308853149414,27285
34,As,SCONJ,21.628761291503906,30167,Como,SCONJ,34.51845169067383,29685
35,such,ADJ,22.195743560791016,30167,lamentable,ADJ,33.61503982543945,27285
36,",",PUNCT,21.38833999633789,30167,",",PUNCT,29.356033325195312,29685
37,it,PRON,23.643526077270508,30167,tal,PRON,31.997169494628906,29685
38,deserves,VERB,22.9118709564209,30167,merece,VERB,35.5090446472168,29685
39,no,DET,23.661760330200195,30167,la,DET,32.19133758544922,27285
40,compassion,NOUN,19.82813262939453,30167,no,ADV,33.75082015991211,29685
41,",",PUNCT,20.57521629333496,30167,",",PUNCT,29.864994049072266,29685
42,it,PRON,24.170339584350586,33937,no,ADV,35.19620132446289,33508
43,deserves,VERB,23.067533493041992,33937,merece,VERB,34.906036376953125,33508
44,no,DET,24.549936294555664,33937,un,DET,36.24510955810547,36070
45,treatment,NOUN,18.324466705322266,33937,tratamiento,NOUN,32.410274505615234,33508
46,as,SCONJ,22.790834426879883,33937,por,ADP,34.56993103027344,33508
47,minority,NOUN,19.23298454284668,33937,compasión,NOUN,31.754924774169922,29685
48,martyrdom,NOUN,18.349794387817383,33937,martirio,NOUN,31.49476432800293,36070
49,",",PUNCT,20.38679313659668,33937,",",PUNCT,30.065940856933594,36070
50,and,CCONJ,20.76002311706543,39143,minoritario,ADJ,34.088050842285156,36070
51,it,PRON,24.264305114746094,39143,y,CONJ,32.64979553222656,38837
52,deserves,VERB,22.524227142333984,39143,merece,VERB,33.041015625,38837
53,not,PART,21.599119186401367,39143,solo,ADJ,33.5976448059082,38837
54,to,PART,23.74972152709961,39143,considerarse,PROPN,34.41279602050781,38837
55,be,AUX,25.725555419921875,39143,ser,AUX,34.296566009521484,33508
56,deemed,VERB,22.04770278930664,39143,enfermedad,NOUN,33.45488739013672,38837
57,anything,PRON,21.461519241333008,39143,Esto,PRON,33.22618103027344,45515
58,but,SCONJ,20.081165313720703,39143,como,SCONJ,37.70087814331055,38837
59,a,DET,22.774662017822266,39143,"""",PUNCT,32.99134826660156,38837
60,pernicious,ADJ,21.405357360839844,39143,perniciosa,ADJ,33.90473937988281,38837
61,sickness,NOUN,21.202281951904297,39143,revista,NOUN,29.318265914916992,45515
62,.,PUNCT,22.26925277709961,39143,.,PUNCT,33.39917755126953,38837
63,"""",PUNCT,22.014780044555664,39143,de,ADP,30.32852554321289,45515
64,That,DET,18.706199645996094,45687,la,DET,32.892791748046875,45515
65,'s,AUX,22.088294982910156,45687,es,AUX,33.292964935302734,45515
66,from,ADP,20.069528579711914,45687,de,ADP,31.53561782836914,45515
67,"""",PUNCT,20.03304672241211,45687,",",PUNCT,30.317155838012695,45515
68,Time,PROPN,19.04498863220215,45687,Time,PROPN,34.000083923339844,45515
69,"""",PUNCT,19.56900405883789,45687,",",PUNCT,29.874507904052734,45515
70,magazine,NOUN,18.327449798583984,45687,1966,NOUN,31.636104583740234,45515
71,in,ADP,21.45507049560547,45687,cuando,PRON,32.811405181884766,45515
72,1966,NUM,22.340089797973633,45687,3,NUM,34.42423629760742,45515
73,",",PUNCT,22.653547286987305,45687,.,PUNCT,33.121219635009766,45515
74,when,ADV,21.740610122680664,45687,tenía,VERB,36.82294845581055,45515
75,I,PRON,24.9051570892334,45687,yo,PRON,34.41059875488281,45515
76,was,AUX,24.065967559814453,45687,años,NOUN,36.07514953613281,45515
77,three,NUM,24.457517623901367,45687,Y,CONJ,33.365623474121094,50737
78,years,NOUN,23.289505004882812,45687,año,NOUN,33.52360534667969,50737
79,old,ADJ,22.191699981689453,45687,el,DET,34.23027420043945,50737
80,.,PUNCT,20.278274536132812,45687,",",PUNCT,27.57908058166504,50737
81,And,CCONJ,20.811046600341797,51215,",",PUNCT,31.33538055419922,50737
82,last,ADJ,21.543617248535156,51215,pasado,ADJ,34.64752960205078,50737
83,year,NOUN,20.035402297973633,51215,presidente,NOUN,30.609405517578125,50737
84,",",PUNCT,22.268239974975586,51215,.,PUNCT,32.242977142333984,50737
85,the,DET,20.93762969970703,51215,el,DET,36.52598190307617,50737
86,president,NOUN,17.908308029174805,51215,matrimonio,NOUN,32.205326080322266,54651
87,of,ADP,21.50113296508789,51215,de,ADP,29.540441513061523,50737
88,the,DET,21.261762619018555,51215,el,DET,37.634464263916016,54651
89,United,PROPN,22.11065673828125,51215,EE.UU,PROPN,34.500274658203125,50737
90,States,PROPN,20.637704849243164,51215,Aplausos,PROPN,34.93049240112305,57234
91,came,VERB,20.991594314575195,54743,defendió,VERB,36.30965805053711,54651
92,out,ADP,19.709518432617188,54743,.,PUNCT,32.54072570800781,54651
93,in,ADP,22.320302963256836,54743,(,PUNCT,29.47212028503418,57234
94,favor,NOUN,17.79403305053711,54743,),PUNCT,30.808273315429688,57234
95,of,ADP,22.51275062561035,54743,Me,PRON,31.088973999023438,64683
96,gay,ADJ,20.49798583984375,54743,igualitario,ADJ,34.18986892700195,54651
97,marriage,NOUN,19.1398983001709,54743,pregunto,VERB,37.467071533203125,64683
98,.,PUNCT,22.126813888549805,54743,:,PUNCT,32.619537353515625,64683
99,(,PUNCT,19.33601188659668,57992,¿,PUNCT,31.304458618164062,64683
100,Applause,NOUN,21.975845336914062,57992,cómo,PRON,33.56351852416992,64683
101,),PUNCT,20.301513671875,57992,llegamos,VERB,34.31888198852539,64683
102,And,CCONJ,20.628280639648438,65488,de,ADP,30.163917541503906,64683
103,my,DET,21.010766983032227,65488,eso,PRON,30.13498306274414,64683
104,question,NOUN,19.43478775024414,65488,a,ADP,31.29033851623535,64683
105,is,AUX,22.73533821105957,65488,esto,PRON,33.28657531738281,64683
106,:,PUNCT,21.29230499267578,65488,?,PUNCT,32.937679290771484,64683
107,How,ADV,23.11980438232422,67069,¿,PUNCT,29.956201553344727,70385
108,did,AUX,24.590856552124023,67069,pasó,VERB,35.62019729614258,70385
109,we,PRON,24.72920799255371,67069,Cómo,PRON,32.94679260253906,70385
110,get,AUX,23.036527633666992,67069,enfermedad,NOUN,31.903621673583984,70385
111,from,ADP,19.53278160095215,67069,de,ADP,31.524272918701172,70385
112,there,ADV,20.21503448486328,67069,identidad,NOUN,29.17322540283203,70385
113,to,ADP,18.57455062866211,67069,a,ADP,31.113544464111328,70385
114,here,ADV,19.277315139770508,67069,Cuando,SCONJ,35.84915542602539,75125
115,?,PUNCT,22.366130828857422,67069,?,PUNCT,32.892818450927734,70385
116,How,ADV,23.391460418701172,70649,seis,NUM,36.90164566040039,75125
117,did,AUX,23.466121673583984,70649,fui,AUX,30.109848022460938,78085
118,an,DET,22.419034957885742,70649,unos,DET,30.976442337036133,75125
119,illness,NOUN,20.72887420654297,70649,años,NOUN,35.51239013671875,75125
120,become,VERB,20.217575073242188,70649,tenía,VERB,37.513267517089844,75125
121,an,DET,22.406490325927734,70649,una,DET,33.055992126464844,78085
122,identity,NOUN,19.269079208374023,70649,zapatería,NOUN,32.63689041137695,78085
123,?,PUNCT,22.243133544921875,70649,",",PUNCT,31.22283363342285,75125
124,When,ADV,23.088481903076172,75497,a,ADP,32.635799407958984,78085
125,I,PRON,24.5463924407959,75497,con,ADP,34.29787063598633,78085
126,was,AUX,24.009517669677734,75497,mi,DET,33.67995834350586,78085
127,perhaps,ADV,23.25960922241211,75497,madre,NOUN,32.51072692871094,78085
128,six,NUM,22.05052375793457,75497,y,CONJ,33.58435821533203,78085
129,years,NOUN,23.54369354248047,75497,hermano,NOUN,31.696487426757812,78085
130,old,ADJ,20.657840728759766,75497,",",PUNCT,28.60096549987793,81018
131,",",PUNCT,18.998212814331055,75497,.,PUNCT,31.898649215698242,78085
132,I,PRON,24.738725662231445,78588,Y,CONJ,33.72465133666992,81018
133,went,VERB,24.815521240234375,78588,comprar,VERB,35.98659133911133,81018
134,to,ADP,18.624635696411133,78588,tras,ADP,34.29578399658203,81018
135,a,DET,23.26445960998535,78588,mi,DET,32.62485885620117,78085
136,shoe,NOUN,18.87055206298828,78588,",",PUNCT,30.8472957611084,81018
137,store,NOUN,21.61652946472168,78588,vendedor,NOUN,30.123994827270508,83425
138,with,ADP,21.209306716918945,78588,nos,PRON,32.802555084228516,83425
139,my,DET,21.43651008605957,78588,el,DET,35.16729736328125,83425
140,mother,NOUN,18.118253707885742,78588,dijo,VERB,36.780052185058594,83425
141,and,CCONJ,23.5665225982666,78588,que,SCONJ,31.089412689208984,83425
142,my,DET,21.181936264038086,78588,un,DET,34.25773620605469,83425
143,brother,NOUN,19.106931686401367,78588,globo,NOUN,32.59822463989258,83425
144,.,PUNCT,21.300390243530273,78588,.,PUNCT,32.19108200073242,83425
145,And,CCONJ,21.13552474975586,81152,llevarnos,ADJ,32.92971420288086,83425
146,at,ADP,21.9549503326416,81152,podíamos,AUX,30.024078369140625,83425
147,the,DET,22.45327377319336,81152,Mi,DET,33.19080352783203,87217
148,end,NOUN,19.455026626586914,81152,hermano,NOUN,32.911598205566406,87217
149,of,ADP,23.288604736328125,81152,globo,PROPN,33.29982376098633,87217
150,buying,VERB,24.175579071044922,81152,quería,VERB,33.28559875488281,87217
151,our,DET,25.50743293762207,81152,el,DET,34.939151763916016,87217
152,shoes,NOUN,20.86187744140625,81152,rojo,ADJ,33.290550231933594,87217
153,",",PUNCT,20.529592514038086,81152,",",PUNCT,30.881921768188477,87217
154,the,DET,20.255191802978516,83747,el,DET,32.19794464111328,87217
155,salesman,NOUN,18.618803024291992,83747,y,CONJ,32.603023529052734,87217
156,said,VERB,21.925643920898438,83747,.,PUNCT,32.99517059326172,87217
157,to,ADP,21.2945556640625,83747,rosa,PROPN,32.264556884765625,87217
158,us,PRON,25.65606689453125,83747,yo,PRON,32.0323371887207,87217
159,that,SCONJ,21.907690048217773,83747,que,SCONJ,32.118228912353516,92883
160,we,PRON,25.063400268554688,83747,me,PRON,31.72321128845215,92883
161,could,VERB,24.294124603271484,83747,dijo,VERB,35.31196212768555,92883
162,each,ADV,22.579010009765625,83747,que,SCONJ,32.27001953125,92883
163,have,AUX,22.06454849243164,83747,mejor,ADJ,31.85006332397461,92883
164,a,DET,21.771949768066406,83747,Mi,DET,32.82905578613281,92883
165,balloon,NOUN,23.452117919921875,83747,madre,NOUN,32.53060531616211,92883
166,to,PART,23.09423065185547,83747,que,SCONJ,31.74454116821289,92883
167,take,VERB,24.348052978515625,83747,llevara,VERB,33.0910530090332,92883
168,home,ADV,21.958356857299805,83747,Pero,CONJ,35.643592834472656,97798
169,.,PUNCT,21.506338119506836,83747,.,PUNCT,32.73249816894531,92883
170,My,DET,24.124935150146484,87611,el,DET,34.785831451416016,92883
171,brother,NOUN,22.263935089111328,87611,azul,NOUN,30.619504928588867,92883
172,wanted,VERB,24.20317840576172,87611,dije,VERB,36.11815643310547,97798
173,a,DET,22.270336151123047,87611,le,PRON,30.37880516052246,97798
174,red,ADJ,21.039409637451172,87611,que,SCONJ,32.59276580810547,97798
175,balloon,NOUN,21.427734375,87611,definitivamente,ADV,33.40938949584961,97798
176,",",PUNCT,21.675048828125,87611,.,PUNCT,33.01274490356445,97798
177,and,CCONJ,19.287137985229492,89751,rosa,PROPN,32.26387405395508,97798
178,I,PRON,26.070194244384766,89751,ella,PRON,30.226903915405273,100934
179,wanted,VERB,24.540485382080078,89751,quería,VERB,33.60373306274414,97798
180,a,DET,23.140405654907227,89751,el,DET,32.89951705932617,97798
181,pink,ADJ,21.38634490966797,89751,favorito,ADJ,33.874446868896484,100934
182,balloon,NOUN,23.480026245117188,89751,me,PRON,32.993492126464844,100934
183,.,PUNCT,21.225830078125,89751,Y,CONJ,34.917606353759766,100934
184,My,DET,23.284067153930664,93092,mi,DET,35.26545333862305,100934
185,mother,NOUN,23.14192771911621,93092,color,NOUN,34.73121643066406,100934
186,said,VERB,22.908620834350586,93092,recordó,VERB,37.74610900878906,100934
187,that,SCONJ,19.65334129333496,93092,que,SCONJ,32.8261833190918,100934
188,she,PRON,24.68547248840332,93092,era,AUX,32.63084411621094,100934
189,thought,VERB,24.26522445678711,93092,el,DET,34.162086486816406,100934
190,I,PRON,23.483102798461914,93092,azul,NOUN,31.419557571411133,100934
191,'d,VERB,20.484888076782227,93092,hecho,NOUN,30.803829193115234,106353
192,really,ADV,24.437219619750977,93092,De,ADP,32.889957427978516,106353
193,rather,ADV,23.978544235229492,93092,hoy,ADV,35.3475341796875,106353
194,have,AUX,21.32050895690918,93092,es,AUX,32.15251922607422,106353
195,a,DET,23.479965209960938,93092,mi,DET,34.20159912109375,106353
196,blue,ADJ,21.574554443359375,93092,favorito,ADJ,33.81166458129883,106353
197,balloon,NOUN,22.41252326965332,93092,color,NOUN,33.273929595947266,106353
198,.,PUNCT,21.300823211669922,93092,.,PUNCT,32.835391998291016,100934
199,(,PUNCT,19.138301849365234,97718,el,DET,35.003684997558594,106353
