,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,So,ADV,20.048484802246094,12874,0,0,0.0,0
1,many,ADJ,22.05535125732422,12874,Uds.,PROPN,35.366661071777344,12874
2,of,ADP,22.45317268371582,12874,de,ADP,30.27521324157715,12874
3,you,PRON,21.53461265563965,12874,Muchos,PRON,33.352657318115234,12874
4,have,AUX,22.9732723236084,12874,habrán,AUX,32.07958984375,12874
5,probably,ADV,27.35084342956543,12874,0,0,0.0,0
6,seen,VERB,23.88685417175293,12874,visto,VERB,34.71449279785156,12874
7,the,DET,21.756837844848633,12874,la,DET,34.07094192504883,12874
8,movie,NOUN,20.67960548400879,12874,película,NOUN,31.664873123168945,12874
9,"""",PUNCT,20.712671279907227,12874,"""",PUNCT,31.97148895263672,12874
10,The,DET,18.878543853759766,12874,The,PROPN,32.28474044799805,12874
11,Martian,PROPN,20.70507049560547,12874,Martian,PROPN,37.68265151977539,12874
12,.,PUNCT,20.197912216186523,12874,.,PUNCT,33.37300109863281,12874
13,"""",PUNCT,21.094322204589844,12874,"""",PUNCT,30.717853546142578,12874
14,But,CCONJ,22.032764434814453,16961,Pero,CONJ,29.93113136291504,16961
15,for,ADP,20.841217041015625,16961,para,ADP,34.22457504272461,16961
16,those,DET,22.960874557495117,16961,una,DET,35.89619827270508,16961
17,of,ADP,21.946308135986328,16961,no,ADV,30.881248474121094,16961
18,you,PRON,22.012401580810547,16961,quienes,PRON,32.31459426879883,16961
19,who,PRON,22.8361873626709,16961,0,0,0.0,0
20,did,AUX,25.283851623535156,16961,es,AUX,35.58058166503906,16961
21,not,PART,22.08351707458496,16961,película,NOUN,33.14040756225586,16961
22,",",PUNCT,20.879213333129883,16961,",",PUNCT,31.354820251464844,16961
23,it,PRON,24.287973403930664,16961,0,0,0.0,0
24,'s,AUX,20.87166976928711,16961,0,0,0.0,0
25,a,DET,22.27745246887207,16961,un,DET,35.61569595336914,16961
26,movie,NOUN,19.950490951538086,16961,astronauta,NOUN,31.965435028076172,16961
27,about,ADP,20.198171615600586,16961,sobre,ADP,33.180763244628906,16961
28,an,DET,22.089458465576172,16961,0,0,0.0,0
29,astronaut,NOUN,20.76117515563965,16961,0,0,0.0,0
30,who,PRON,22.101804733276367,20802,varado,ADJ,34.63574981689453,20802
31,is,AUX,24.810853958129883,20802,en,ADP,31.908784866333008,20802
