,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.490388870239258,18330,Pedí,PROPN,33.159305572509766,18330
1,had,AUX,24.358802795410156,18330,diapositivas,PROPN,33.75998306274414,18330
2,requested,VERB,22.637475967407227,18330,aguantando,VERB,35.65059280395508,23330
3,slides,NOUN,20.299427032470703,18330,firmeza,NOUN,31.242326736450195,21330
4,",",PUNCT,20.036081314086914,18330,",",PUNCT,31.307451248168945,18330
5,kind,ADV,18.853683471679688,21330,bastante,ADV,33.97218704223633,21330
6,of,ADV,21.79694366455078,21330,hasta,ADV,36.036781311035156,23330
7,adamantly,ADV,20.994216918945312,21330,más,ADV,33.90778350830078,23330
8,",",PUNCT,19.659881591796875,21330,",",PUNCT,30.40904998779297,21330
9,up,ADP,19.66968536376953,23330,con,ADP,34.01192092895508,21330
10,till,SCONJ,19.245731353759766,23330,o,CONJ,32.905921936035156,23330
11,the,DET,19.127592086791992,23330,los,DET,33.06632614135742,23330
12,--,PUNCT,19.100589752197266,23330,",",PUNCT,30.555776596069336,23330
13,pretty,ADV,25.480712890625,23330,menos,ADV,35.95985794067383,23330
14,much,ADV,21.687400817871094,23330,días,NOUN,35.8563232421875,23330
15,",",PUNCT,19.723886489868164,23330,",",PUNCT,31.781526565551758,23330
16,last,ADJ,21.44978904724121,23330,últimos,ADJ,33.64204788208008,23330
17,few,ADJ,22.303714752197266,23330,pero,CONJ,31.722517013549805,26330
18,days,NOUN,21.700979232788086,23330,acceso,NOUN,29.46453857421875,26330
19,",",PUNCT,20.54804229736328,23330,me,PRON,32.02839279174805,26330
20,but,CCONJ,20.26612091064453,26330,el,DET,37.200340270996094,26330
21,was,AUX,22.31332015991211,26330,a,ADP,31.802173614501953,26330
22,denied,VERB,22.507511138916016,26330,denegaron,VERB,34.63370895385742,26330
23,access,NOUN,19.928926467895508,26330,proyector,NOUN,31.770864486694336,26330
24,to,ADP,21.65070915222168,26330,de,ADP,32.144405364990234,26330
25,a,DET,23.75295066833496,26330,un,DET,37.55857849121094,26330
26,slide,NOUN,18.758703231811523,26330,diapositivas,NOUN,35.295650482177734,26330
27,projector,NOUN,21.01068687438965,26330,hecho,NOUN,33.255088806152344,34330
28,.,PUNCT,21.746906280517578,26330,(,PUNCT,28.748825073242188,29330
29,(,PUNCT,19.138301849365234,29330,.,PUNCT,32.46928024291992,26330
30,Laughter,PROPN,20.165264129638672,29330,Risas,PROPN,34.865478515625,29330
31,),PUNCT,20.96363067626953,29330,),PUNCT,32.331058502197266,29330
32,I,PRON,24.083812713623047,34330,De,ADP,32.87625503540039,34330
33,actually,ADV,25.900222778320312,34330,mucho,ADV,35.727569580078125,34330
34,find,VERB,24.439090728759766,34330,encuentro,VERB,35.242408752441406,34330
35,them,PRON,22.999454498291016,34330,...,PUNCT,31.89985466003418,34330
36,a,DET,22.113113403320312,34330,las,DET,32.118309020996094,34330
37,lot,NOUN,19.17530059814453,34330,y,CONJ,33.89440155029297,39330
38,more,ADV,22.343229293823242,34330,más,ADV,35.38885498046875,34330
39,emotional,ADJ,20.9975643157959,34330,emotivas,ADJ,35.70820236206055,34330
40,--,PUNCT,20.63545036315918,34330,(,PUNCT,28.748825073242188,37330
41,(,PUNCT,19.138301849365234,37330,),PUNCT,32.331058502197266,37330
42,Laughter,PROPN,20.165264129638672,37330,Risas,PROPN,34.865478515625,37330
43,),PUNCT,20.96363067626953,37330,...,PUNCT,31.61817169189453,39330
44,--,PUNCT,17.6961612701416,39330,",",PUNCT,30.692834854125977,39330
45,and,CCONJ,21.7056827545166,39330,y,CONJ,32.93937301635742,42330
46,personal,ADJ,16.91083526611328,39330,personales,ADJ,34.64919662475586,39330
47,",",PUNCT,18.990032196044922,39330,lo,DET,29.25835418701172,42330
48,and,CCONJ,18.470081329345703,42330,de,ADP,31.052600860595703,42330
49,the,DET,22.19400405883789,42330,un,DET,37.365745544433594,42330
50,neat,ADJ,18.35053062438965,42330,bueno,ADJ,34.248504638671875,42330
51,thing,NOUN,21.31157875061035,42330,proyector,NOUN,31.438186645507812,42330
52,about,ADP,19.48886489868164,42330,de,ADP,31.891023635864258,42330
53,a,DET,22.09510040283203,42330,es,AUX,33.60956573486328,44330
54,slide,NOUN,18.309431076049805,42330,diapositivas,NOUN,35.483131408691406,42330
55,projector,NOUN,20.99313735961914,42330,que,SCONJ,34.13825607299805,44330
56,is,AUX,20.44838523864746,44330,puedes,AUX,31.26527976989746,44330
57,you,PRON,22.890857696533203,44330,en,ADP,32.621368408203125,44330
58,can,VERB,24.10224723815918,44330,centrarte,VERB,32.335506439208984,44330
59,actually,ADV,25.661855697631836,44330,no,ADV,32.141197204589844,47330
60,focus,VERB,24.002939224243164,44330,ver,VERB,35.53826904296875,52330
61,the,DET,22.97870635986328,44330,el,DET,32.911842346191406,44330
62,work,NOUN,20.48799705505371,44330,trabajo,NOUN,31.867450714111328,44330
63,",",PUNCT,21.64746856689453,44330,como,SCONJ,32.8135986328125,47330
64,unlike,ADP,20.322376251220703,47330,con,ADP,30.627756118774414,47330
65,PowerPoint,PROPN,21.499841690063477,47330,PowerPoint,PROPN,34.785709381103516,47330
66,and,CCONJ,21.64803123474121,47330,y,CONJ,31.9486141204834,47330
67,some,DET,21.857086181640625,47330,otros,DET,34.37480545043945,47330
68,other,ADJ,23.488744735717773,47330,A,ADP,34.221248626708984,52330
69,programs,NOUN,22.79960060119629,47330,programas,NOUN,35.90748596191406,47330
70,.,PUNCT,20.722200393676758,47330,.,PUNCT,32.917789459228516,47330
71,Now,ADV,23.839025497436523,52330,acuerdo,NOUN,31.704692840576172,52330
72,",",PUNCT,21.70331573486328,52330,",",PUNCT,31.900516510009766,52330
73,I,PRON,24.251678466796875,52330,de,ADP,31.40751075744629,52330
74,agree,VERB,23.005271911621094,52330,tienes,VERB,35.31376266479492,55330
75,that,DET,20.820636749267578,52330,en,ADP,31.710285186767578,52330
76,you,PRON,23.562381744384766,55330,que,PRON,33.12757110595703,55330
77,have,AUX,21.810691833496094,55330,estoy,AUX,34.27873229980469,52330
78,to,PART,20.01894187927246,55330,que,SCONJ,31.756315231323242,52330
79,--,PUNCT,20.21772003173828,55330,...,PUNCT,31.06122398376465,55330
80,yeah,INTJ,23.54502296447754,55330,sí,ADV,34.158084869384766,55330
81,",",PUNCT,21.496702194213867,55330,",",PUNCT,30.78651237487793,55330
82,there,PRON,23.25076675415039,55330,algunos,DET,35.661380767822266,55330
83,are,AUX,27.505184173583984,55330,hay,AUX,37.20299530029297,55330
84,certain,ADJ,22.060741424560547,55330,y,CONJ,34.7412223815918,58330
85,concessions,NOUN,20.37601661682129,55330,privilegios,NOUN,35.216758728027344,55330
86,and,CCONJ,21.164928436279297,58330,ya,ADV,33.79563522338867,58330
87,",",PUNCT,18.679405212402344,58330,",",PUNCT,29.540504455566406,58330
88,you,PRON,23.745311737060547,58330,sabéis,VERB,33.796142578125,58330
89,know,VERB,23.261083602905273,58330,utilizáis,VERB,31.435569763183594,58330
90,",",PUNCT,19.848478317260742,58330,",",PUNCT,29.335783004760742,58330
