,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.763471603393555,13000,la,DET,32.38716506958008,13000
1,'m,AUX,23.233854293823242,13000,de,ADP,31.75670051574707,13000
2,going,VERB,24.944482803344727,13000,Hablaré,VERB,32.51552200317383,13000
3,to,PART,23.335725784301758,13000,compasión,NOUN,29.937149047851562,13000
4,talk,VERB,24.148897171020508,13000,y,CONJ,32.17412185668945,13000
5,about,ADP,21.78853988647461,13000,de,ADP,26.839824676513672,13000
6,compassion,NOUN,18.7177791595459,13000,regla,NOUN,29.09816551208496,13000
7,and,CCONJ,21.468639373779297,13000,oro,NOUN,31.684988021850586,13000
8,the,DET,20.435340881347656,13000,la,DET,32.21026611328125,13000
9,golden,ADJ,20.159873962402344,13000,secular,ADJ,34.1003532409668,17000
10,rule,NOUN,19.56930160522461,13000,perspectiva,NOUN,33.086669921875,17000
11,from,ADP,21.544960021972656,17000,desde,ADP,35.31136703491211,17000
12,a,DET,22.284107208251953,17000,una,DET,35.09523010253906,17000
13,secular,ADJ,20.64814567565918,17000,e,CONJ,32.84903335571289,17000
14,perspective,NOUN,18.17108154296875,17000,perspectiva,NOUN,33.85248565673828,17000
15,and,CCONJ,22.51276206970215,17000,una,DET,34.26413345336914,17000
16,even,ADV,20.716121673583984,17000,incluso,ADV,36.80557632446289,17000
17,from,ADP,19.73993682861328,17000,desde,ADP,34.474308013916016,17000
18,a,DET,21.175195693969727,17000,cierto,DET,35.1153450012207,17000
19,kind,NOUN,19.888904571533203,17000,sentido,NOUN,32.865882873535156,17000
20,of,ADP,22.315582275390625,17000,en,ADP,32.96929168701172,17000
21,scientific,ADJ,20.82111358642578,17000,científica,ADJ,31.019554138183594,17000
22,perspective,NOUN,18.559206008911133,17000,historia,NOUN,33.361900329589844,23000
23,.,PUNCT,21.659500122070312,17000,.,PUNCT,33.46662139892578,17000
24,I,PRON,24.778627395629883,23000,Someramente,ADV,32.725215911865234,23000
25,'m,AUX,23.30521011352539,23000,ofrecerles,ADJ,31.745798110961914,23000
