,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.640329360961914,16299,invitarlos,NOUN,33.03767013549805,15533
1,'d,VERB,22.950849533081055,16299,Quiero,VERB,34.188812255859375,15533
2,like,VERB,21.422653198242188,16299,a,ADP,31.68272590637207,15533
3,to,PART,23.189348220825195,16299,que,SCONJ,33.688720703125,15533
4,invite,VERB,25.33521270751953,16299,cierren,VERB,35.14631271362305,15533
5,you,PRON,25.21755599975586,16299,de,ADP,31.884477615356445,19939
6,to,PART,21.98900604248047,16299,ojos,NOUN,34.3756217956543,15533
7,close,VERB,24.78743553161621,16299,Imagínense,PROPN,29.041034698486328,19939
8,your,DET,24.08259391784668,16299,los,DET,35.84239959716797,15533
9,eyes,NOUN,21.311561584472656,16299,pie,NOUN,30.224472045898438,19939
10,.,PUNCT,20.579469680786133,16299,.,PUNCT,32.31975173950195,15533
11,Imagine,VERB,21.287031173706055,21323,afuera,NOUN,28.93230628967285,23256
12,yourself,PRON,21.707298278808594,21323,",",PUNCT,28.267436981201172,23256
13,standing,VERB,21.954906463623047,21323,frente,NOUN,33.01036834716797,23256
14,outside,ADP,22.873291015625,21323,a,ADP,32.96989440917969,23256
15,the,DET,22.211273193359375,21323,la,DET,33.08452224731445,23256
16,front,ADJ,17.852237701416016,21323,ss,PROPN,32.0477180480957,23256
17,door,NOUN,20.140962600708008,21323,puerta,NOUN,32.22557067871094,23256
18,of,ADP,22.469846725463867,21323,de,ADP,29.507165908813477,23256
19,your,DET,21.320114135742188,21323,que,SCONJ,32.63142395019531,26383
20,home,NOUN,19.795122146606445,21323,casa,NOUN,30.819446563720703,23256
21,.,PUNCT,21.491933822631836,21323,.,PUNCT,32.77848815917969,23256
22,I,PRON,24.690021514892578,27239,le,PRON,32.34291076660156,26383
23,'d,VERB,22.291889190673828,27239,Quisiera,VERB,31.555145263671875,26383
24,like,VERB,22.951622009277344,27239,presten,VERB,36.974998474121094,26383
25,you,PRON,23.034549713134766,27239,atención,NOUN,34.34796905517578,26383
26,to,PART,21.414003372192383,27239,al,ADP,34.615474700927734,26383
27,notice,VERB,24.6583251953125,27239,color,NOUN,31.16883087158203,26383
28,the,DET,22.305700302124023,27239,de,ADP,29.833168029785156,26383
29,color,NOUN,18.009220123291016,27239,puerta,NOUN,31.69605255126953,26383
30,of,ADP,22.347187042236328,27239,al,ADP,37.729026794433594,30052
31,the,DET,23.835269927978516,27239,la,DET,33.05843734741211,26383
32,door,NOUN,19.538719177246094,27239,material,NOUN,32.3055305480957,30052
33,",",PUNCT,20.661670684814453,27239,",",PUNCT,29.056713104248047,26383
34,the,DET,19.254215240478516,30052,del,ADP,33.32221984863281,30052
35,material,NOUN,17.55893898010254,30052,grupo,NOUN,31.120363235473633,34048
36,that,SCONJ,20.305805206298828,30052,hecha,ADJ,32.96251678466797,30052
37,it,PRON,24.438003540039062,30052,que,PRON,33.03840255737305,30052
38,'s,AUX,20.731029510498047,30052,está,AUX,35.649131774902344,30052
39,made,VERB,22.498506546020508,30052,visualicen,VERB,36.071102142333984,34048
40,out,SCONJ,19.93022918701172,30052,un,DET,37.68250274658203,34048
41,of,ADP,20.85320472717285,30052,de,ADP,31.506256103515625,34048
42,.,PUNCT,21.500211715698242,30052,.,PUNCT,33.02831268310547,30052
43,Now,ADV,20.248598098754883,34501,Ahora,ADV,33.95988845825195,34048
44,visualize,VERB,20.158946990966797,34501,compitiendo,VERB,33.36687469482422,40768
45,a,DET,22.592945098876953,34501,una,DET,36.03739547729492,40768
46,pack,NOUN,21.082477569580078,34501,nudistas,NOUN,33.59305953979492,34048
47,of,ADP,25.211284637451172,34501,en,ADP,32.90950012207031,34048
48,overweight,ADJ,20.32516098022461,34501,obesos,ADJ,34.3600959777832,34048
49,nudists,NOUN,20.90033721923828,34501,bicicletas,NOUN,34.57986831665039,34048
50,on,ADP,21.850135803222656,34501,en,ADP,34.28982162475586,40768
51,bicycles,NOUN,20.66987419128418,34501,carrera,NOUN,32.40241622924805,40768
52,.,PUNCT,20.813520431518555,34501,.,PUNCT,33.01144027709961,34048
53,(,PUNCT,19.138301849365234,40320,Están,AUX,34.16411590576172,40768
