,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,(,PUNCT,18.674592971801758,16973,(,PUNCT,29.855510711669922,17260
1,Music,NOUN,22.019737243652344,16973,Música,PROPN,34.05133819580078,17260
2,),PUNCT,21.842891693115234,16973,),PUNCT,31.957921981811523,17260
3,music,NOUN,20.134023666381836,37027,Texto,NOUN,31.59804916381836,43260
4,[,PUNCT,21.31660270690918,37027,:,PUNCT,30.611316680908203,43260
5,by,ADP,21.98041343688965,37027,Jetman,PROPN,34.833919525146484,43260
6,],PUNCT,22.853652954101562,37027,-,PUNCT,31.092491149902344,43260
7,Moby,PROPN,18.93324089050293,37027,Yves,PROPN,31.685256958007812,43260
8,0,0,0.0,0,Rossy,PROPN,35.95331954956055,43260
9,0,0,0.0,0,Gran,ADJ,31.917343139648438,50260
10,0,0,0.0,0,Cañón,PROPN,32.91012191772461,50260
11,[,PUNCT,20.1292781829834,51543,(,PUNCT,29.56106948852539,83260
12,Grand,PROPN,20.118040084838867,51543,Video,PROPN,35.616065979003906,83260
13,],PUNCT,23.206052780151367,51543,),PUNCT,32.156639099121094,83260
14,Canyon,PROPN,21.274484634399414,51543,Narrador,PROPN,30.374187469482422,83260
15,0,0,0.0,0,:,PUNCT,29.981416702270508,83260
16,0,0,0.0,0,Muchas,PRON,34.82899475097656,83260
17,0,0,0.0,0,de,ADP,29.242298126220703,83260
18,0,0,0.0,0,las,DET,31.72613525390625,83260
19,0,0,0.0,0,pruebas,NOUN,33.81354522705078,83260
20,0,0,0.0,0,se,PRON,34.43128967285156,83260
21,0,0,0.0,0,llevan,VERB,37.309165954589844,83260
22,0,0,0.0,0,a,ADP,32.24997329711914,83260
23,0,0,0.0,0,cabo,NOUN,33.88895034790039,83260
24,Narrator,NOUN,21.31464958190918,83555,con,ADP,33.190345764160156,85260
25,:,PUNCT,17.923961639404297,83555,Yves,PROPN,35.24488067626953,85260
26,Many,ADJ,20.185977935791016,83555,atado,ADJ,30.667346954345703,85260
27,of,ADP,23.891571044921875,83555,a,ADP,31.079429626464844,85260
28,the,DET,22.608976364135742,83555,las,DET,34.06575393676758,85260
29,tests,NOUN,20.332576751708984,83555,alas,NOUN,33.07730484008789,85260
30,are,AUX,24.55215835571289,83555,",",PUNCT,31.58041763305664,85260
31,conducted,VERB,22.583221435546875,83555,0,0,0.0,0
32,while,SCONJ,20.81926918029785,85750,porque,SCONJ,34.834808349609375,87260
33,the,DET,23.268049240112305,85750,su,DET,35.13429260253906,87260
34,Yves,PROPN,23.573511123657227,85750,cuerpo,NOUN,33.01893615722656,87260
35,is,AUX,23.73012924194336,85750,es,AUX,32.79771041870117,87260
36,strapped,VERB,23.054248809814453,85750,parte,NOUN,32.9250373840332,87260
37,0,0,0.0,0,integral,ADJ,33.912391662597656,87260
38,onto,ADP,23.20868682861328,85750,del,ADP,33.80842208862305,87260
39,wing,NOUN,18.483646392822266,85750,aparato,NOUN,29.888473510742188,87260
40,",",PUNCT,20.914766311645508,85750,.,PUNCT,31.222848892211914,87260
41,because,SCONJ,21.07719612121582,87560,0,0,0.0,0
42,Yves,PROPN,22.895092010498047,87560,Pruebas,PROPN,31.79726791381836,90260
43,',PART,21.022985458374023,87560,:,PUNCT,30.965129852294922,90260
44,body,NOUN,20.94038963317871,87560,Texto,NOUN,31.326976776123047,90260
45,is,AUX,23.219221115112305,87560,en,ADP,30.930065155029297,90260
46,an,DET,23.669221878051758,87560,el,DET,32.688621520996094,90260
47,integral,ADJ,22.084123611450195,87560,0,0,0.0,0
48,part,NOUN,22.228330612182617,87560,viento,NOUN,30.150562286376953,90260
49,of,ADP,25.023426055908203,87560,de,ADP,30.66812515258789,90260
50,the,DET,22.32927894592285,87560,0,0,0.0,0
51,aircraft,NOUN,18.124897003173828,87560,túnel,NOUN,30.88640594482422,90260
52,.,PUNCT,21.42510414123535,87560,.,PUNCT,32.513763427734375,90260
53,Wind,NOUN,22.334524154663086,90341,Narrador,NOUN,31.91961669921875,93260
54,[,PUNCT,20.283458709716797,90341,:,PUNCT,31.353044509887695,93260
55,0,0,0.0,0,Las,DET,33.22076416015625,93260
56,tests,NOUN,23.228849411010742,90341,alas,NOUN,33.80856704711914,93260
57,0,0,0.0,0,no,ADV,36.25308609008789,93260
58,0,0,0.0,0,tienen,VERB,35.098419189453125,93260
59,tunnel,NOUN,19.783369064331055,90341,control,NOUN,34.27715301513672,93260
60,0,0,0.0,0,de,ADP,31.60062026977539,93260
61,0,0,0.0,0,dirección,NOUN,28.93775749206543,93260
62,],PUNCT,22.724899291992188,90341,",",PUNCT,30.249309539794922,93260
63,The,DET,22.501020431518555,93603,ni,CONJ,34.19727325439453,95260
64,Narrator,NOUN,20.826555252075195,93603,alerones,NOUN,34.20720291137695,95260
65,:,PUNCT,19.628978729248047,93603,",",PUNCT,30.999122619628906,95260
66,has,AUX,21.88637924194336,93603,ni,CONJ,33.71953582763672,95260
67,wing,NOUN,19.65935516357422,93603,timón,NOUN,34.08302307128906,95260
68,",",PUNCT,20.925355911254883,93603,.,PUNCT,31.90142822265625,95260
69,no,DET,23.5897274017334,93603,Yves,PROPN,33.984153747558594,97259
70,steering,NOUN,20.495960235595703,93603,usa,VERB,33.11297607421875,97259
71,no,DET,20.321701049804688,93603,su,DET,33.781497955322266,97259
72,controls,NOUN,20.185346603393555,93603,cuerpo,NOUN,32.0224609375,97259
73,flaps,NOUN,18.76926612854004,93603,para,ADP,34.4621696472168,97259
74,",",PUNCT,20.375600814819336,93603,direccionar,VERB,38.849830627441406,97259
75,no,DET,20.563339233398438,93603,las,DET,33.05443572998047,97259
76,rudder,NOUN,19.124841690063477,93603,alas,NOUN,34.834014892578125,97259
77,.,PUNCT,22.19580841064453,93603,.,PUNCT,32.8880615234375,97259
78,Stefan,PROPN,21.222457885742188,100260,Bergen,PROPN,36.08659362792969,100260
79,Von,PROPN,21.70662498474121,100260,von,PROPN,29.655689239501953,100260
