,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Two,NUM,23.011829376220703,12855,dos,NUM,36.40562057495117,12855
1,years,NOUN,23.859073638916016,12855,años,NOUN,37.44525909423828,12855
2,ago,ADV,20.491090774536133,12855,Hace,AUX,36.45948028564453,12855
3,",",PUNCT,22.906644821166992,12855,0,0,0.0,0
4,I,PRON,23.74419403076172,12855,centro,NOUN,29.345731735229492,12855
5,set,VERB,24.988872528076172,12855,salí,VERB,34.56005859375,12855
6,off,ADP,21.910707473754883,12855,de,ADP,29.828289031982422,12855
7,from,ADP,20.78422737121582,12855,del,ADP,33.471290588378906,12855
8,central,ADJ,19.827726364135742,12855,0,0,0.0,0
9,London,PROPN,21.252368927001953,12855,Londres,PROPN,35.15281295776367,12855
10,on,ADP,20.388734817504883,12855,en,ADP,29.537067413330078,12855
11,the,DET,20.93086051940918,12855,el,DET,32.705970764160156,12855
12,Tube,PROPN,20.121091842651367,12855,metro,NOUN,30.3370361328125,12855
13,and,CCONJ,20.75234031677246,16345,y,CONJ,34.7636604309082,16345
14,ended,VERB,21.58967399597168,16345,terminé,VERB,34.156654357910156,16345
15,up,ADP,21.500083923339844,16345,en,ADP,33.8495979309082,16345
16,somewhere,ADV,20.63441276550293,16345,algún,DET,35.55546569824219,16345
17,0,0,0.0,0,lugar,NOUN,33.081974029541016,16345
18,in,ADP,21.949905395507812,16345,en,ADP,32.43497085571289,16345
19,the,DET,22.841869354248047,16345,el,DET,34.18363952636719,16345
20,east,NOUN,18.172382354736328,16345,este,NOUN,30.074871063232422,16345
21,of,ADP,22.287382125854492,16345,de,ADP,30.013219833374023,16345
22,the,DET,23.036762237548828,16345,la,DET,33.55931854248047,16345
23,city,NOUN,17.84815216064453,16345,ciudad,NOUN,32.51902770996094,16345
24,walking,VERB,24.62368392944336,18667,de,ADP,30.578685760498047,18667
25,into,ADP,19.856063842773438,18667,a,ADP,32.27055740356445,18667
26,a,DET,21.126365661621094,18667,un,DET,34.17707824707031,18667
27,self,NOUN,20.894948959350586,18667,camino,NOUN,31.100065231323242,18667
28,-,PUNCT,22.84257698059082,18667,privado,ADJ,37.40277099609375,18667
29,storage,NOUN,18.88264274597168,18667,almacén,NOUN,31.9460506439209,18667
30,unit,NOUN,18.912153244018555,18667,0,0,0.0,0
31,to,PART,22.885345458984375,20604,para,ADP,36.13037872314453,20604
