,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,(,PUNCT,19.33601188659668,320160,(,PUNCT,29.47212028503418,320160
1,Applause,NOUN,21.975845336914062,320160,Calma,NOUN,30.829029083251953,335159
2,),PUNCT,20.301513671875,320160,),PUNCT,30.808273315429688,320160
3,Thank,VERB,21.94794273376465,335159,vuelvo,VERB,33.33830261230469,335159
4,you,PRON,24.0042724609375,335159,Aplausos,PROPN,34.93049240112305,320160
5,.,PUNCT,22.20900535583496,335159,",",PUNCT,32.00215530395508,335159
6,Ooh,INTJ,21.166553497314453,335159,ahora,ADV,31.097213745117188,335159
7,",",PUNCT,21.639286041259766,335159,en,ADP,33.201202392578125,335159
8,I,PRON,23.452394485473633,335159,mí,PRON,34.77406311035156,335159
9,'m,AUX,23.178955078125,335159,toco,VERB,35.27002716064453,340160
10,like,INTJ,20.368114471435547,335159,Cuando,SCONJ,33.398048400878906,340160
11,",",PUNCT,21.234582901000977,335159,.,PUNCT,32.82192611694336,335159
12,"""",PUNCT,20.313264846801758,335159,en,ADP,35.12622833251953,340160
13,Phew,PROPN,19.25623321533203,335159,primero,ADJ,33.618343353271484,340160
14,",",PUNCT,23.049915313720703,335159,lo,DET,34.338714599609375,340160
15,phew,NOUN,19.11475944519043,335159,público,NOUN,30.107507705688477,340160
16,",",PUNCT,23.04915428161621,335159,que,PRON,34.02415466308594,340160
17,calm,VERB,20.12027359008789,335159,sucede,VERB,36.263938903808594,340160
18,down,ADP,23.457794189453125,335159,que,SCONJ,33.55527877807617,340160
19,.,PUNCT,21.082735061645508,335159,:,PUNCT,33.63792037963867,344160
20,Get,AUX,21.154518127441406,335159,es,AUX,34.23760986328125,340160
21,back,ADV,21.266429901123047,335159,grita,ADJ,35.15534973144531,344160
22,into,ADP,21.537654876708984,335159,en,ADP,34.80706787109375,347159
23,my,DET,21.57992172241211,335159,la,DET,34.1187629699707,344160
24,body,NOUN,19.98247528076172,335159,gente,NOUN,31.519641876220703,344160
25,now,ADV,22.1141357421875,335159,qué,PRON,31.828149795532227,344160
26,.,PUNCT,20.979930877685547,335159,¿,PUNCT,31.185808181762695,344160
27,"""",PUNCT,20.865882873535156,335159,está,AUX,37.906524658203125,344160
28,(,PUNCT,21.073558807373047,335159,?,PUNCT,33.33878707885742,344160
29,Laughter,PROPN,20.54918670654297,335159,haciendo,VERB,34.00847244262695,344160
