,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,So,ADV,19.112619400024414,13179,El,DET,31.719141006469727,13179
1,last,ADJ,21.60575294494629,13179,pasado,ADJ,34.551780700683594,13179
2,year,NOUN,20.098735809326172,13179,año,NOUN,33.37202072143555,13179
3,",",PUNCT,20.66041374206543,13179,",",PUNCT,31.00594711303711,13179
4,on,ADP,19.218582153320312,13179,de,ADP,32.89113998413086,13179
5,the,DET,22.05172348022461,13179,el,DET,33.86773681640625,13179
6,Fourth,ADJ,19.17704200744629,13179,4,NUM,32.69158172607422,13179
7,of,ADP,23.760425567626953,13179,julio,NOUN,29.973936080932617,13179
8,July,PROPN,21.251371383666992,13179,0,0,0.0,0
9,",",PUNCT,19.51456069946289,13179,",",PUNCT,30.718481063842773,13179
10,experiments,NOUN,22.60007667541504,15523,experimentos,NOUN,33.95440673828125,15523
11,at,ADP,22.312597274780273,15523,en,ADP,31.572004318237305,15523
12,the,DET,21.001728057861328,15523,el,DET,35.214141845703125,15523
13,Large,ADJ,21.87386703491211,15523,Gran,ADJ,34.87471008300781,15523
14,Hadron,PROPN,21.00319480895996,15523,Colisionador,PROPN,34.94440841674805,15523
15,0,0,0.0,0,de,ADP,28.674837112426758,15523
16,Collider,PROPN,21.385150909423828,15523,Hadrones,PROPN,35.14548873901367,15523
17,0,0,0.0,0,",",PUNCT,29.891042709350586,15523
18,0,0,0.0,0,GCH,PROPN,33.0892333984375,15523
19,0,0,0.0,0,",",PUNCT,30.606142044067383,15523
20,discovered,VERB,20.310977935791016,18022,descubrieron,VERB,33.48732376098633,18022
21,the,DET,21.107681274414062,18022,el,DET,36.8563232421875,18022
22,boson,NOUN,20.048219680786133,18022,bosón,NOUN,30.48126792907715,18022
23,0,0,0.0,0,de,ADP,29.521894454956055,18022
24,Higgs,PROPN,20.58304786682129,18022,Higgs,PROPN,36.321903228759766,18022
25,.,PUNCT,21.378978729248047,18022,.,PUNCT,32.730010986328125,18022
26,It,PRON,24.428627014160156,20312,0,0,0.0,0
27,was,AUX,25.116050720214844,20312,Fue,AUX,32.02174377441406,20312
28,a,DET,24.957122802734375,20312,un,DET,36.527523040771484,20312
29,historical,ADJ,21.974966049194336,20312,histórico,ADJ,33.79261016845703,20312
30,day,NOUN,20.19525909423828,20312,día,NOUN,34.95771026611328,20312
31,.,PUNCT,20.84695816040039,20312,.,PUNCT,32.38868713378906,20312
32,There,PRON,21.731998443603516,22280,No,ADV,33.92176818847656,22280
33,'s,AUX,21.626192092895508,22280,hay,AUX,36.19015121459961,22280
34,doubt,NOUN,20.21302032470703,22280,duda,NOUN,34.924076080322266,22280
35,no,DET,22.551942825317383,22280,de,ADP,30.40009307861328,22280
36,that,SCONJ,19.94478416442871,22280,que,SCONJ,31.873249053955078,22280
37,from,ADP,18.394662857055664,22280,de,ADP,29.643718719482422,22280
38,now,ADV,19.42796516418457,22280,ahora,ADV,31.496700286865234,22280
39,0,0,0.0,0,en,ADP,32.93724060058594,22280
40,on,ADV,18.77408218383789,22280,adelante,ADV,34.46207809448242,22280
41,",",PUNCT,20.66814613342285,22280,",",PUNCT,30.4801025390625,22280
42,the,DET,19.755294799804688,24575,el,DET,32.55207443237305,24575
43,Fourth,ADJ,18.448169708251953,24575,4,NUM,33.2221794128418,24575
44,of,ADP,23.023456573486328,24575,de,ADP,32.58384704589844,24575
45,July,PROPN,21.328908920288086,24575,julio,NOUN,30.95977020263672,24575
46,will,VERB,24.588247299194336,24575,recordado,VERB,35.108863830566406,24575
47,be,AUX,26.074182510375977,24575,será,AUX,34.75200271606445,24575
48,remembered,VERB,22.26819610595703,24575,0,0,0.0,0
49,not,PART,20.851150512695312,26409,no,ADV,31.965360641479492,26409
50,as,SCONJ,20.878820419311523,26409,como,SCONJ,33.89471435546875,26409
51,the,DET,22.321666717529297,26409,el,DET,33.62919235229492,26409
52,day,NOUN,19.871854782104492,26409,día,NOUN,32.13015365600586,26409
53,of,ADP,23.366479873657227,26409,de,ADP,29.563343048095703,26409
54,the,DET,20.944778442382812,26409,la,DET,31.808042526245117,26409
55,Declaration,PROPN,19.50524139404297,26409,Declaración,PROPN,37.075416564941406,26409
56,of,ADP,21.889314651489258,26409,de,ADP,29.457605361938477,26409
57,Independence,PROPN,22.98048210144043,26409,Independencia,PROPN,36.27431869506836,26409
58,",",PUNCT,20.772722244262695,26409,",",PUNCT,29.94763946533203,26409
59,but,CCONJ,21.77083396911621,28851,sino,CONJ,33.82157516479492,28851
60,as,SCONJ,19.993120193481445,28851,como,SCONJ,35.46843719482422,28851
61,the,DET,23.36104393005371,28851,el,DET,34.58268356323242,28851
62,day,NOUN,19.936988830566406,28851,día,NOUN,32.87235641479492,28851
63,of,ADP,23.269676208496094,28851,del,ADP,33.417747497558594,28851
64,the,DET,22.99821662902832,28851,Descubrimiento,PROPN,34.56635665893555,28851
65,discovery,NOUN,18.596601486206055,28851,del,ADP,33.65857696533203,28851
66,of,ADP,23.344533920288086,28851,de,ADP,28.919620513916016,28851
67,the,DET,20.850069046020508,28851,Bosón,PROPN,35.43346405029297,28851
68,Higgs,PROPN,20.68920135498047,28851,Higgs,PROPN,36.67738723754883,28851
69,boson,NOUN,19.77450942993164,28851,0,0,0.0,0
70,.,PUNCT,21.343889236450195,28851,.,PUNCT,32.76618194580078,28851
71,Well,INTJ,25.011066436767578,32685,Bueno,INTJ,33.19343948364258,32685
72,",",PUNCT,20.397581100463867,32685,",",PUNCT,29.239614486694336,32685
73,at,ADP,20.946510314941406,32685,al,ADP,33.33595275878906,32685
74,least,ADJ,18.625659942626953,32685,menos,ADV,35.5425910949707,32685
75,",",PUNCT,20.034040451049805,32685,",",PUNCT,28.38764762878418,32685
76,here,ADV,21.696359634399414,32685,aquí,ADV,34.48990249633789,32685
77,at,ADP,22.463117599487305,32685,en,ADP,32.422210693359375,32685
78,0,0,0.0,0,el,DET,31.798973083496094,32685
79,CERN,PROPN,20.240922927856445,32685,CERN,PROPN,32.37576675415039,32685
80,.,PUNCT,19.97103500366211,32685,.,PUNCT,32.52585220336914,32685
81,But,CCONJ,21.81516456604004,35117,Pero,CONJ,30.766529083251953,35117
82,for,ADP,21.378480911254883,35117,para,ADP,34.04188537597656,35117
83,me,PRON,23.2347354888916,35117,mí,PRON,32.76868438720703,35117
84,",",PUNCT,20.317338943481445,35117,",",PUNCT,29.80093002319336,35117
85,the,DET,20.480512619018555,35117,la,DET,33.78130340576172,35117
86,biggest,ADJ,21.83913230895996,35117,mayor,ADJ,35.066261291503906,35117
87,surprise,NOUN,20.61298370361328,35117,sorpresa,NOUN,31.435333251953125,35117
88,of,ADP,22.75347137451172,35117,del,ADP,33.069358825683594,35117
89,that,DET,22.003463745117188,35117,0,0,0.0,0
90,day,NOUN,20.005952835083008,35117,día,NOUN,31.778884887695312,35117
91,was,AUX,21.683212280273438,39272,fue,AUX,34.08232879638672,39272
92,that,SCONJ,20.668569564819336,39272,que,SCONJ,33.122718811035156,39272
93,there,PRON,23.013412475585938,39272,no,ADV,34.323402404785156,39272
94,was,AUX,23.488605499267578,39272,hubo,AUX,35.60459518432617,39272
95,no,DET,27.898591995239258,39272,ninguna,DET,36.10793685913086,39272
96,big,ADJ,20.472003936767578,39272,gran,ADJ,36.70319747924805,39272
97,surprise,NOUN,19.150394439697266,39272,sorpresa,NOUN,31.332433700561523,39272
98,.,PUNCT,21.128360748291016,39272,.,PUNCT,32.47690200805664,39272
99,In,ADP,20.354673385620117,41771,Para,ADP,32.3953971862793,41771
100,the,DET,24.213590621948242,41771,el,DET,33.685115814208984,41771
101,eye,NOUN,20.587827682495117,41771,ojo,NOUN,29.460845947265625,41771
102,of,ADP,24.10521697998047,41771,de,ADP,31.517993927001953,41771
103,a,DET,22.04526710510254,41771,un,DET,37.13146209716797,41771
104,theoretical,ADJ,19.81329917907715,41771,teórico,ADJ,35.57700729370117,41771
105,physicist,NOUN,20.029361724853516,41771,físico,NOUN,33.2020149230957,41771
106,",",PUNCT,20.511091232299805,41771,",",PUNCT,31.039838790893555,41771
107,the,DET,19.857999801635742,44370,el,DET,36.91136169433594,44370
108,boson,NOUN,20.30588150024414,44370,bosón,NOUN,30.378171920776367,44370
109,0,0,0.0,0,de,ADP,29.191585540771484,44370
110,Higgs,PROPN,20.149982452392578,44370,Higgs,PROPN,36.25933074951172,44370
111,is,AUX,24.420194625854492,44370,es,AUX,33.36163330078125,44370
112,a,DET,23.3458309173584,44370,una,DET,34.070682525634766,44370
113,explanation,NOUN,21.259923934936523,44370,explicación,NOUN,34.227779388427734,44370
114,clever,ADJ,21.185806274414062,44370,inteligente,ADJ,36.635353088378906,44370
115,of,ADP,19.209070205688477,46263,de,ADP,30.782228469848633,46263
116,how,ADV,21.7645263671875,46263,cómo,PRON,34.005455017089844,46263
117,some,DET,22.163164138793945,46263,algunas,DET,34.47258377075195,46263
118,elementary,ADJ,20.074085235595703,46263,elementales,ADJ,35.8612060546875,46263
119,particles,NOUN,20.33586311340332,46263,partículas,NOUN,35.03776550292969,46263
