,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,25.14997673034668,17260,hoy,ADV,34.51465606689453,17260
1,want,VERB,24.047666549682617,17260,iniciar,VERB,34.903526306152344,17260
2,to,PART,24.10572052001953,17260,charla,PROPN,34.379695892333984,17260
3,start,VERB,25.63161277770996,17260,Quisiera,VERB,31.435897827148438,17260
4,my,DET,22.606843948364258,17260,mi,DET,33.75656509399414,17260
5,talk,NOUN,19.069908142089844,17260,",",PUNCT,30.317209243774414,17260
6,today,NOUN,21.580135345458984,17260,observaciones,NOUN,32.89152526855469,19260
7,with,ADP,21.336177825927734,17260,con,ADP,31.97968101501465,17260
8,two,NUM,22.35731315612793,17260,dos,NUM,32.82762145996094,17260
9,observations,NOUN,21.005329132080078,17260,especie,NOUN,29.56602668762207,19260
10,about,ADP,19.399259567260742,19260,sobre,ADP,32.56221008300781,19260
11,the,DET,20.98309898376465,19260,la,DET,33.0854377746582,19260
12,human,ADJ,19.697917938232422,19260,humana,ADJ,35.11567306518555,19260
13,species,NOUN,20.703027725219727,19260,observación,NOUN,33.76541519165039,21260
14,.,PUNCT,20.289691925048828,19260,.,PUNCT,33.8700065612793,19260
15,The,DET,22.932981491088867,21260,La,DET,33.296669006347656,21260
16,first,ADJ,20.32913589477539,21260,primera,ADJ,34.93693542480469,21260
17,observation,NOUN,20.325056076049805,21260,tal,NOUN,31.93242073059082,21260
18,is,AUX,23.512346267700195,21260,es,AUX,34.58507537841797,21260
19,something,PRON,21.87714958190918,21260,vez,NOUN,33.339111328125,21260
20,that,DET,21.206684112548828,21260,que,SCONJ,33.389549255371094,21260
21,you,PRON,24.969112396240234,21260,.,PUNCT,32.761417388916016,21260
22,might,VERB,24.43301773071289,21260,piensen,VERB,30.727821350097656,21260
23,think,VERB,24.922609329223633,21260,Y,CONJ,34.38295364379883,24260
24,is,AUX,22.339500427246094,21260,es,AUX,32.7197265625,24260
25,quite,ADV,23.901304244995117,21260,bastante,ADV,35.620933532714844,21260
26,obvious,ADJ,22.8171443939209,21260,obvia,ADJ,33.462867736816406,21260
27,",",PUNCT,20.308839797973633,21260,",",PUNCT,29.504411697387695,24260
28,and,CCONJ,18.509918212890625,24260,Homo,PROPN,35.523563385009766,24260
29,that,DET,19.521759033203125,24260,nuestra,DET,33.016807556152344,24260
30,'s,AUX,21.870433807373047,24260,es,AUX,36.19576644897461,26260
31,that,SCONJ,19.82084083557129,24260,que,SCONJ,33.475399017333984,24260
32,our,DET,24.185976028442383,24260,sapiens,PROPN,32.052452087402344,24260
33,species,NOUN,19.56748390197754,24260,especie,NOUN,31.572954177856445,24260
34,",",PUNCT,20.55341911315918,24260,",",PUNCT,30.617464065551758,24260
35,Homo,NOUN,21.789785385131836,24260,realmente,ADV,34.563873291015625,26260
36,sapiens,VERB,17.86545753479004,24260,hacemos,VERB,33.872764587402344,30260
37,",",PUNCT,19.517057418823242,24260,",",PUNCT,32.432594299316406,26260
38,is,AUX,22.227996826171875,26260,inteligente-,PROPN,32.793983459472656,26260
39,actually,ADV,25.110191345214844,26260,muy,ADV,34.328338623046875,26260
40,really,ADV,21.69523811340332,26260,ridículamente,ADV,35.020938873291016,28260
41,",",PUNCT,21.24641227722168,26260,cosas,NOUN,32.22426223754883,30260
42,really,ADV,23.62697410583496,26260,muy,ADV,36.04266357421875,26260
43,smart,ADJ,19.56610107421875,26260,inteligente,ADJ,32.795921325683594,28260
44,--,PUNCT,19.713645935058594,26260,que,PRON,34.703086853027344,30260
45,like,INTJ,21.324003219604492,28260,ninguna,DET,36.15399932861328,32260
46,",",PUNCT,19.695966720581055,28260,otra,DET,34.41878890991211,32260
47,ridiculously,ADV,24.211393356323242,28260,especie,NOUN,33.69922637939453,32260
48,smart,ADJ,21.183210372924805,28260,en,ADP,31.53268814086914,32260
49,--,PUNCT,19.762590408325195,28260,.,PUNCT,31.739070892333984,32260
50,like,SCONJ,21.70660400390625,30260,planteta,NOUN,27.769119262695312,32260
51,you,PRON,21.43598175048828,30260,esta,PRON,30.968524932861328,35260
52,'re,AUX,21.907180786132812,30260,y,CONJ,34.28740692138672,35260
53,all,DET,20.43964195251465,30260,el,DET,32.8014030456543,32260
54,doing,VERB,21.698081970214844,30260,hace,VERB,34.349143981933594,32260
55,things,NOUN,21.5186767578125,30260,supuesto,NOUN,32.45481491088867,35260
56,that,SCONJ,19.510066986083984,32260,",",PUNCT,31.38930892944336,35260
57,no,DET,21.624568939208984,32260,",",PUNCT,31.68117332458496,35260
58,other,ADJ,21.491628646850586,32260,primera,ADJ,36.78291320800781,37260
59,species,NOUN,20.72517967224121,32260,no,ADV,33.224369049072266,35260
60,on,ADP,20.69745635986328,32260,por,ADP,34.16482925415039,35260
61,the,DET,21.832345962524414,32260,la,DET,34.11656188964844,37260
62,planet,NOUN,18.822425842285156,32260,vez,NOUN,33.082271575927734,37260
63,does,AUX,22.520484924316406,32260,será,AUX,30.628910064697266,35260
64,right,ADV,21.16437530517578,32260,que,PRON,33.00633239746094,37260
65,now,ADV,24.517539978027344,32260,se,PRON,32.65973663330078,37260
66,.,PUNCT,22.166349411010742,32260,den,VERB,34.444236755371094,37260
67,And,CCONJ,20.115440368652344,35260,cuenta,NOUN,32.99982833862305,37260
68,this,DET,22.127275466918945,35260,de,ADP,29.63556480407715,37260
69,is,AUX,22.156360626220703,35260,esto,PRON,31.34865951538086,37260
70,",",PUNCT,21.909353256225586,35260,.,PUNCT,33.65327835083008,37260
71,of,ADP,22.30829429626465,35260,Por,ADP,34.017066955566406,39260
72,course,NOUN,19.46259117126465,35260,supuesto,NOUN,32.566532135009766,39260
73,",",PUNCT,20.916133880615234,35260,",",PUNCT,29.26787567138672,39260
74,not,PART,22.020793914794922,37260,además,ADV,34.56962585449219,39260
75,the,DET,21.92815399169922,37260,una,DET,32.37501907348633,39260
76,first,ADJ,19.808191299438477,37260,inteligentes,ADJ,33.73343276977539,39260
77,time,NOUN,19.358139038085938,37260,especie,NOUN,31.66170883178711,39260
78,you,PRON,21.656944274902344,37260,Nos,PRON,32.73490524291992,42260
79,'ve,AUX,21.970579147338867,37260,somos,AUX,32.89310073852539,39260
80,probably,ADV,26.539735794067383,37260,extremadamente,ADV,36.33559799194336,39260
81,recognized,VERB,20.10725212097168,37260,encanta,VERB,35.8855094909668,42260
82,this,DET,22.008264541625977,37260,el,DET,35.431396484375,42260
83,.,PUNCT,21.121774673461914,37260,.,PUNCT,32.5687141418457,39260
84,Of,ADV,20.770191192626953,39260,vanidosa,ADJ,34.19406509399414,39260
85,course,ADV,20.22498893737793,39260,señalar,VERB,37.33533477783203,42260
86,",",PUNCT,19.532974243164062,39260,",",PUNCT,31.353559494018555,39260
87,in,ADP,22.351608276367188,39260,de,ADP,28.33786392211914,42260
88,addition,NOUN,23.28944206237793,39260,hecho,NOUN,29.928525924682617,42260
89,to,ADP,20.819419860839844,39260,que,SCONJ,34.04970932006836,42260
90,being,AUX,24.1207332611084,39260,somos,AUX,34.038734436035156,42260
91,smart,ADJ,19.5126895904541,39260,inteligentes,ADJ,34.11442947387695,42260
92,",",PUNCT,21.677309036254883,39260,.,PUNCT,32.84364700317383,42260
93,we,PRON,22.625089645385742,39260,recurrir,VERB,35.226905822753906,45260
94,'re,AUX,21.845191955566406,39260,Podría,AUX,30.600475311279297,45260
95,also,ADV,23.430009841918945,39260,a,ADP,33.37583923339844,45260
96,an,DET,21.21968650817871,39260,cualquier,DET,34.358062744140625,45260
97,extremely,ADV,24.885644912719727,39260,Shakespeare,PROPN,35.51058578491211,47260
98,vain,ADJ,21.39672088623047,39260,de,ADP,31.643156051635742,47260
99,species,NOUN,21.310871124267578,39260,sabio,NOUN,30.91087532043457,45260
100,.,PUNCT,20.49503517150879,39260,",",PUNCT,30.3533878326416,45260
101,So,ADV,19.657108306884766,42260,a,ADP,28.19959259033203,47260
102,we,PRON,24.146926879882812,42260,Stephen,PROPN,36.273193359375,47260
103,like,VERB,21.44613265991211,42260,Colbert,PROPN,35.4321403503418,47260
104,pointing,VERB,23.76618003845215,42260,señalar,VERB,38.00519561767578,49260
105,out,ADP,23.88396644592285,42260,para,ADP,36.75167465209961,49260
106,the,DET,21.41860580444336,42260,como,SCONJ,34.3877067565918,49260
107,fact,NOUN,20.18227195739746,42260,hechos,NOUN,36.31779098510742,49260
108,that,SCONJ,20.224328994750977,42260,que,SCONJ,33.91827392578125,49260
109,we,PRON,25.034090042114258,42260,de,ADP,32.72963333129883,51260
110,'re,AUX,22.935874938964844,42260,somos,AUX,32.18019485473633,51260
111,smart,ADJ,19.942935943603516,42260,nobles,ADJ,33.56804656982422,51260
112,.,PUNCT,20.91105842590332,42260,razón,NOUN,33.09394454956055,51260
113,You,PRON,24.058744430541992,45260,e,CONJ,32.11195755004883,51260
114,know,VERB,23.66837501525879,45260,infinitos,NOUN,32.88827133178711,51260
115,",",PUNCT,20.708650588989258,45260,en,ADP,32.0238151550293,51260
116,so,SCONJ,18.188844680786133,45260,facultades,NOUN,34.90413284301758,51260
117,I,PRON,25.574901580810547,45260,y,CONJ,32.550479888916016,53260
118,could,VERB,25.762401580810547,45260,lo,DET,32.782508850097656,53260
119,turn,VERB,26.597763061523438,45260,impresionante,ADJ,37.11977005004883,53260
120,to,ADP,20.042213439941406,45260,en,ADP,32.91328430175781,53260
121,pretty,ADV,24.000804901123047,45260,más,ADV,35.57493591308594,53260
122,much,ADV,22.627845764160156,45260,cuando,SCONJ,34.70233154296875,55260
123,any,DET,21.188236236572266,45260,este,DET,37.41697692871094,53260
124,sage,NOUN,18.089698791503906,45260,planeta,NOUN,33.01313400268555,53260
125,from,ADP,21.2103271484375,47260,de,ADP,31.836498260498047,55260
126,Shakespeare,PROPN,21.33673667907715,47260,lo,DET,30.196374893188477,55260
127,to,ADP,20.260862350463867,47260,cerebral,ADJ,31.250699996948242,55260
128,Stephen,PROPN,22.907825469970703,47260,se,PRON,31.171035766601562,55260
129,Colbert,PROPN,22.030271530151367,47260,Pero,CONJ,33.38394546508789,58260
130,to,PART,21.774986267089844,49260,.,PUNCT,32.696163177490234,55260
131,point,VERB,24.13498306274414,49260,trata,VERB,34.28675842285156,55260
132,out,ADP,24.1801700592041,49260,por,ADP,33.322052001953125,58260
133,things,NOUN,21.70895767211914,49260,supuesto,NOUN,32.66862487792969,58260
134,like,SCONJ,21.231599807739258,49260,",",PUNCT,29.941307067871094,58260
