,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.31686782836914,13731,me,PRON,32.07098388671875,13730
1,stumbled,VERB,23.030784606933594,13731,topé,VERB,36.30644989013672,13730
2,across,ADP,21.579273223876953,13731,con,ADP,33.711830139160156,13730
3,a,DET,22.94404411315918,13731,un,DET,36.2436637878418,13730
4,simple,ADJ,20.702810287475586,13731,sencillo,ADJ,33.15977478027344,13730
5,design,NOUN,20.473295211791992,13731,ejercicio,NOUN,32.001930236816406,13730
6,0,0,0.0,0,de,ADP,28.14463996887207,13730
7,exercise,NOUN,21.564268112182617,13731,diseño,NOUN,31.180519104003906,13730
8,0,0,0.0,0,que,SCONJ,31.090560913085938,17175
9,helps,VERB,21.84198760986328,17175,ayuda,VERB,33.27545928955078,17175
10,0,0,0.0,0,a,ADP,33.410560607910156,17175
11,that,DET,20.408246994018555,17175,las,DET,33.3574104309082,17175
12,people,NOUN,21.70795249938965,17175,personas,NOUN,36.87592315673828,17175
13,and,CCONJ,22.787569046020508,17175,a,ADP,32.80754470825195,17175
14,solve,VERB,21.796215057373047,17175,entender,VERB,36.13652420043945,17175
15,0,0,0.0,0,y,CONJ,32.19013977050781,17175
16,understand,VERB,22.832822799682617,17175,resolver,VERB,32.41447067260742,17175
17,problems,NOUN,21.83432388305664,17175,problemas,NOUN,33.75746154785156,17175
18,complex,ADJ,21.776439666748047,17175,complejos,ADJ,34.21719741821289,17175
19,",",PUNCT,20.48302459716797,17175,",",PUNCT,31.466142654418945,17175
20,and,CCONJ,19.24761962890625,20780,y,CONJ,32.63721466064453,20780
21,like,SCONJ,20.604860305786133,20780,como,SCONJ,35.8096809387207,20780
22,many,ADJ,20.267457962036133,20780,0,0,0.0,0
23,of,ADP,23.768404006958008,20780,de,ADP,31.322776794433594,20780
24,these,DET,24.305015563964844,20780,estos,DET,36.59596252441406,20780
25,design,NOUN,20.607921600341797,20780,ejercicios,NOUN,36.074798583984375,20780
26,exercises,NOUN,22.32432746887207,20780,0,0,0.0,0
27,",",PUNCT,21.45966911315918,20780,0,0,0.0,0
28,it,PRON,20.851409912109375,20780,muchos,PRON,35.5875244140625,20780
29,kind,ADV,21.233800888061523,20780,0,0,0.0,0
30,of,ADV,19.470443725585938,20780,0,0,0.0,0
31,seems,VERB,23.6682071685791,20780,0,0,0.0,0
32,trivial,ADJ,21.338916778564453,20780,0,0,0.0,0
33,at,ADP,20.731224060058594,20780,0,0,0.0,0
34,first,ADV,18.497005462646484,20780,0,0,0.0,0
35,",",PUNCT,20.78877830505371,20780,0,0,0.0,0
36,but,CCONJ,22.673294067382812,24867,pero,CONJ,33.320709228515625,24867
37,under,ADP,21.577463150024414,24867,tras,ADP,33.34312438964844,24867
38,deep,ADJ,19.33660125732422,24867,detallada,ADJ,34.010562896728516,24867
39,inspection,NOUN,19.310476303100586,24867,inspección,NOUN,32.8912239074707,24867
40,",",PUNCT,19.660831451416016,24867,más,ADV,38.04450988769531,24867
41,it,PRON,25.11736297607422,26611,una,DET,35.7735710144043,24867
42,turns,VERB,25.215192794799805,26611,0,0,0.0,0
43,out,ADP,21.78493881225586,26611,0,0,0.0,0
44,that,SCONJ,21.255708694458008,26611,0,0,0.0,0
45,it,PRON,23.871967315673828,26611,0,0,0.0,0
46,reveals,VERB,27.194095611572266,26611,0,0,0.0,0
47,unexpected,ADJ,22.082202911376953,26611,0,0,0.0,0
48,truths,NOUN,21.589189529418945,26611,0,0,0.0,0
49,about,ADP,19.52842140197754,29331,de,ADP,29.86472511291504,29331
50,the,DET,22.167150497436523,29331,acerca,ADV,35.18656539916992,29331
51,way,NOUN,19.979516983032227,29331,0,0,0.0,0
52,that,DET,19.80242156982422,29331,las,DET,32.93688201904297,29331
53,we,PRON,23.931943893432617,29331,cómo,PRON,34.419700622558594,29331
54,collaborate,VERB,23.384876251220703,29331,entendemos,VERB,34.65171813964844,29331
55,and,CCONJ,22.237459182739258,29331,y,CONJ,33.75921630859375,29331
56,make,VERB,21.568546295166016,29331,trabajamos,VERB,33.221275329589844,29331
57,sense,NOUN,19.943391799926758,29331,cosas,NOUN,34.01724624633789,29331
58,of,ADP,23.295425415039062,29331,0,0,0.0,0
59,things,NOUN,21.913434982299805,29331,0,0,0.0,0
60,.,PUNCT,22.37474822998047,29331,.,PUNCT,33.46101760864258,29331
61,The,DET,22.66257667541504,32662,El,DET,35.11784362792969,32662
62,exercise,NOUN,22.09211540222168,32662,ejercicio,NOUN,31.69698143005371,32662
63,has,AUX,25.44808006286621,32662,tiene,VERB,34.834720611572266,32662
64,three,NUM,24.16834831237793,32662,tres,NUM,35.95006561279297,32662
65,parts,NOUN,21.660633087158203,32662,partes,NOUN,35.675201416015625,32662
66,and,CCONJ,21.916492462158203,34264,y,CONJ,34.27628707885742,34264
67,begins,VERB,22.040485382080078,34264,empieza,VERB,32.9784049987793,34264
68,with,ADP,21.048133850097656,34264,con,ADP,33.38497543334961,34264
69,something,PRON,22.616811752319336,34264,algo,PRON,33.34373092651367,34264
70,that,DET,21.166229248046875,34264,que,PRON,29.615161895751953,34264
71,we,PRON,24.673673629760742,34264,todos,PRON,34.95364761352539,34264
72,all,DET,22.74294662475586,34264,sabemos,VERB,34.112979888916016,34264
73,know,VERB,25.692333221435547,34264,hacer,VERB,36.11301040649414,34264
74,how,ADV,22.01038360595703,34264,0,0,0.0,0
75,to,PART,21.449607849121094,34264,0,0,0.0,0
76,do,AUX,23.031639099121094,34264,0,0,0.0,0
77,",",PUNCT,22.281970977783203,34264,0,0,0.0,0
78,which,DET,20.150287628173828,36749,una,DET,34.32452392578125,36749
79,is,AUX,23.408300399780273,36749,es,AUX,34.969932556152344,36749
80,how,ADV,21.064708709716797,36749,que,SCONJ,33.55686950683594,36749
81,to,PART,23.284303665161133,36749,0,0,0.0,0
82,make,VERB,24.79633903503418,36749,hacer,VERB,34.30199432373047,36749
83,toast,NOUN,19.56536293029785,36749,tostada,NOUN,32.9538688659668,36749
84,.,PUNCT,21.716041564941406,36749,.,PUNCT,34.16191864013672,36749
85,It,PRON,23.905256271362305,39489,0,0,0.0,0
86,begins,VERB,26.336484909057617,39489,Comienza,VERB,32.810184478759766,39489
87,with,ADP,21.334081649780273,39489,con,ADP,31.00591468811035,39489
88,a,DET,22.664798736572266,39489,una,DET,33.909141540527344,39489
89,clean,ADJ,20.91691017150879,39489,0,0,0.0,0
90,sheet,NOUN,19.923933029174805,39489,papel,NOUN,28.764129638671875,39489
91,of,ADP,24.712858200073242,39489,de,ADP,31.91492462158203,39489
92,paper,NOUN,18.376602172851562,39489,hoja,NOUN,33.525360107421875,39489
93,",",PUNCT,20.651836395263672,39489,y,CONJ,32.242061614990234,39489
94,a,DET,20.515911102294922,39489,un,DET,36.3099250793457,39489
95,felt,VERB,19.280879974365234,39489,0,0,0.0,0
96,marker,NOUN,20.756322860717773,39489,marcador,NOUN,31.391965866088867,39489
97,",",PUNCT,21.28200340270996,39489,0,0,0.0,0
98,and,CCONJ,21.34162139892578,42809,y,CONJ,33.050899505615234,42809
99,without,ADP,21.864734649658203,42809,sin,ADP,34.93738555908203,42809
100,using,VERB,26.89965057373047,42809,utilizar,VERB,36.8315544128418,42809
101,any,DET,21.837190628051758,42809,debe,AUX,35.9031982421875,42809
102,words,NOUN,22.12479019165039,42809,palabras,NOUN,32.1592903137207,42809
103,",",PUNCT,21.429771423339844,42809,",",PUNCT,31.503446578979492,42809
104,you,PRON,24.17816734313965,42809,se,PRON,32.480125427246094,42809
105,begin,VERB,22.608993530273438,42809,dibujar,VERB,35.41670227050781,42809
106,to,PART,22.56730079650879,42809,cómo,PRON,34.93691635131836,42809
107,draw,VERB,25.09138298034668,42809,hace,VERB,37.09025955200195,42809
108,how,ADV,21.080469131469727,42809,se,PRON,30.611387252807617,42809
109,to,PART,22.701406478881836,42809,una,DET,31.911483764648438,42809
