,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Think,VERB,20.32219123840332,12817,Piensen,VERB,30.031719207763672,12611
1,of,ADP,21.38901710510254,12817,en,ADP,34.86097717285156,12611
2,a,DET,23.124067306518555,12817,una,DET,34.794273376464844,12611
3,hard,ADJ,20.487194061279297,12817,difícil,ADJ,36.42463684082031,12611
4,choice,NOUN,19.072799682617188,12817,elección,NOUN,33.848907470703125,12611
5,you,PRON,22.423934936523438,12817,que,PRON,31.40402603149414,12611
6,'ll,VERB,22.20556640625,12817,enfrentarán,VERB,34.910457611083984,12611
7,face,VERB,22.522939682006836,12817,0,0,0.0,0
8,in,ADP,22.645795822143555,12817,en,ADP,32.977481842041016,12611
9,the,DET,20.694419860839844,12817,el,DET,36.201568603515625,12611
10,near,ADJ,18.548463821411133,12817,cercano,ADJ,32.93218231201172,12611
11,future,NOUN,19.91289710998535,12817,futuro,NOUN,32.74725341796875,12611
12,.,PUNCT,20.9190616607666,12817,.,PUNCT,32.68803024291992,12611
13,It,PRON,23.76144790649414,16391,que,SCONJ,31.691232681274414,16056
14,might,VERB,26.59886360168457,16391,Puede,VERB,31.132511138916016,16056
15,be,AUX,26.629375457763672,16391,sea,AUX,34.115962982177734,16056
16,between,ADP,24.11574363708496,16391,entre,ADP,33.04804229736328,16056
17,two,NUM,24.12474250793457,16391,dos,NUM,35.284095764160156,16056
18,careers,NOUN,22.968055725097656,16391,carreras,NOUN,34.91720199584961,16056
19,--,PUNCT,21.139556884765625,16391,",",PUNCT,30.735980987548828,16056
20,0,0,0.0,0,ser,AUX,32.61731719970703,17898
21,artist,NOUN,19.320083618164062,18236,artista,NOUN,34.84693908691406,17898
22,and,CCONJ,22.933778762817383,18236,o,CONJ,34.038063049316406,17898
23,accountant,NOUN,17.63983154296875,18236,contador,NOUN,31.628084182739258,17898
24,--,PUNCT,21.28647232055664,18236,",",PUNCT,30.073169708251953,17898
25,or,CCONJ,22.359573364257812,20286,o,CONJ,32.78715515136719,20014
26,places,NOUN,21.254140853881836,20286,lugares,NOUN,34.97715759277344,20014
27,to,PART,21.922941207885742,20286,para,ADP,36.099021911621094,20014
28,live,VERB,20.9851016998291,20286,vivir,VERB,35.4047966003418,20014
29,--,PUNCT,19.480119705200195,20286,",",PUNCT,29.292470932006836,20014
30,the,DET,18.73225212097168,20286,la,DET,34.86193084716797,20014
31,city,NOUN,17.6914119720459,20286,ciudad,NOUN,32.10936737060547,20014
