,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,the,DET,21.269540786743164,20260,la,DET,32.98678970336914,20260
1,age,NOUN,18.891862869262695,20260,era,NOUN,32.34288024902344,20260
2,of,ADP,20.8948917388916,20260,de,ADP,28.386688232421875,20260
3,genomics,NOUN,17.313213348388672,20260,genómica,NOUN,32.907840728759766,20260
4,.,PUNCT,20.400596618652344,20260,.,PUNCT,33.682464599609375,20260
5,Your,DET,21.583250045776367,23260,la,DET,31.794456481933594,20260
6,genome,NOUN,21.53106117248535,23260,genoma,NOUN,31.583520889282227,23260
7,is,AUX,23.16648292541504,23260,es,AUX,33.915164947509766,23260
8,the,DET,22.723718643188477,23260,El,DET,35.35980987548828,23260
9,entire,ADJ,20.016098022460938,23260,toda,DET,32.54297637939453,23260
10,sequence,NOUN,21.83797836303711,23260,secuencia,NOUN,31.66529083251953,23260
11,of,ADP,23.594459533691406,23260,del,ADP,33.71697235107422,23260
12,your,DET,20.984277725219727,23260,la,DET,30.62038230895996,23260
13,DNA,NOUN,20.057273864746094,23260,ADN,PROPN,35.18521499633789,23260
14,.,PUNCT,20.46573257446289,23260,.,PUNCT,32.82227325439453,23260
15,Your,DET,22.56488609313965,26260,Tu,DET,30.346654891967773,26260
16,sequence,NOUN,21.911571502685547,26260,secuencia,NOUN,31.189027786254883,26260
17,and,CCONJ,24.332067489624023,26260,y,CONJ,32.43241882324219,26260
18,mine,NOUN,19.6207332611084,26260,la,DET,33.022071838378906,26260
19,are,AUX,23.955976486206055,26260,son,AUX,33.33436965942383,26260
20,slightly,ADV,26.88033676147461,26260,levemente,ADV,36.10748291015625,26260
21,different,ADJ,24.804431915283203,26260,diferentes,ADJ,32.7846794128418,26260
22,.,PUNCT,22.946590423583984,26260,.,PUNCT,33.965293884277344,26260
23,That,DET,19.243410110473633,29260,mía,DET,31.86332893371582,26260
24,'s,AUX,23.31489372253418,29260,Por,ADP,32.89691162109375,29260
25,why,ADV,21.629308700561523,29260,aspectos,NOUN,34.22929763793945,29260
26,we,PRON,26.05657958984375,29260,eso,PRON,34.01421356201172,29260
27,look,VERB,24.4224796295166,29260,tenemos,VERB,35.45016098022461,29260
28,different,ADJ,23.716838836669922,29260,diferentes,ADJ,32.88322067260742,29260
29,.,PUNCT,22.484573364257812,29260,.,PUNCT,34.42626953125,29260
30,I,PRON,24.0134220123291,31260,Yo,PRON,33.60313415527344,31260
31,'ve,AUX,21.680702209472656,31260,quizá,ADV,34.48631286621094,33260
32,got,VERB,20.57228660583496,31260,tengo,VERB,35.45811462402344,31260
33,brown,ADJ,21.52309226989746,31260,marrones,ADJ,32.65240478515625,31260
34,eyes,NOUN,21.171825408935547,31260,ojos,NOUN,33.86709976196289,31260
35,;,PUNCT,17.729612350463867,31260,.,PUNCT,34.09454345703125,31260
36,you,PRON,23.620494842529297,33260,Ustedes,PRON,29.613933563232422,33260
37,might,VERB,22.88193130493164,33260,azules,ADJ,35.01811981201172,33260
38,have,AUX,25.980558395385742,33260,o,CONJ,34.14240264892578,33260
39,blue,ADJ,19.99944305419922,33260,grises,ADJ,34.805633544921875,33260
40,or,CCONJ,22.32419776916504,33260,Pero,CONJ,33.232791900634766,36260
41,gray,ADJ,17.302757263183594,33260,superficial,ADJ,34.26066207885742,36260
42,.,PUNCT,22.05194664001465,33260,.,PUNCT,33.140254974365234,33260
43,But,CCONJ,22.24293327331543,36260,no,ADV,32.60548782348633,36260
44,it,PRON,24.906234741210938,36260,nos,PRON,35.46649169921875,38260
45,'s,AUX,22.283105850219727,36260,es,AUX,36.55686569213867,36260
46,not,PART,23.917457580566406,36260,Los,DET,34.93054962158203,38260
47,just,ADV,25.678176879882812,36260,sólo,ADV,39.332698822021484,36260
48,skin,NOUN,21.381473541259766,36260,titulares,NOUN,35.86588668823242,38260
49,-,PUNCT,22.86860466003418,36260,.,PUNCT,34.226016998291016,36260
50,deep,ADJ,19.346208572387695,36260,espantosas,ADJ,35.39429473876953,40260
51,.,PUNCT,22.715789794921875,36260,",",PUNCT,31.427616119384766,40260
52,The,DET,21.284366607666016,38260,los,DET,34.531131744384766,40260
53,headlines,NOUN,21.89154624938965,38260,genes,NOUN,35.83941650390625,40260
54,tell,VERB,21.782503128051758,38260,dicen,VERB,36.04182052612305,38260
55,us,PRON,24.593347549438477,38260,pueden,AUX,37.785369873046875,40260
56,that,SCONJ,20.818195343017578,40260,que,SCONJ,31.571086883544922,40260
57,genes,NOUN,20.88347625732422,40260,enfermedades,NOUN,35.42848587036133,40260
58,can,VERB,23.98137855529785,40260,provocar,VERB,38.3884391784668,40260
59,give,VERB,25.879669189453125,40260,modelar,VERB,34.288490295410156,43260
60,us,PRON,23.45738983154297,40260,y,CONJ,34.7419319152832,43260
61,scary,ADJ,23.29064178466797,40260,mentales,ADJ,34.617340087890625,46260
62,diseases,NOUN,22.7736759185791,40260,personalidad,NOUN,32.283931732177734,43260
63,",",PUNCT,20.605297088623047,40260,nuestra,DET,35.496910095214844,43260
64,maybe,ADV,22.50352668762207,43260,o,CONJ,32.66710662841797,46260
65,even,ADV,17.35407257080078,43260,quizá,ADV,34.3304557800293,43260
66,shape,VERB,20.871706008911133,43260,provocarnos,NOUN,31.870492935180664,46260
67,our,DET,23.839967727661133,43260,Nuestros,DET,32.285457611083984,49260
68,personality,NOUN,20.219423294067383,43260,trastornos,NOUN,36.60462188720703,46260
69,",",PUNCT,20.298442840576172,43260,.,PUNCT,33.05818176269531,46260
70,or,CCONJ,21.372777938842773,46260,genes,NOUN,35.037052154541016,49260
71,give,VERB,22.632535934448242,46260,tener,VERB,36.8493537902832,49260
72,us,PRON,24.166717529296875,46260,un,DET,35.762298583984375,52260
73,mental,ADJ,21.10459327697754,46260,impresionante,ADJ,35.285003662109375,52260
74,disorders,NOUN,21.95600700378418,46260,poder,NOUN,31.173250198364258,52260
75,.,PUNCT,21.224374771118164,46260,.,PUNCT,31.78531837463379,52260
76,Our,DET,22.501306533813477,49260,nuestro,DET,33.977848052978516,52260
77,genes,NOUN,22.073511123657227,49260,destino,NOUN,32.39181900024414,52260
78,seem,VERB,21.84762191772461,49260,en,ADP,33.18134307861328,52260
79,to,PART,22.506826400756836,49260,Y,CONJ,33.87721633911133,56260
80,have,AUX,24.535097122192383,49260,parecen,AUX,34.43960189819336,49260
81,awesome,ADJ,18.614639282226562,52260,",",PUNCT,29.68629264831543,56260
82,power,NOUN,20.507976531982422,52260,embargo,NOUN,32.192100524902344,56260
83,over,ADP,21.551382064819336,52260,sin,ADP,35.58551025390625,56260
84,our,DET,22.918254852294922,52260,mis,DET,32.42792892456055,59260
85,destinies,NOUN,19.43695640563965,52260,genes,NOUN,35.42813491821289,59260
86,.,PUNCT,20.092012405395508,52260,",",PUNCT,29.349416732788086,56260
87,And,CCONJ,22.09099769592285,56260,que,SCONJ,32.78434753417969,59260
88,yet,ADV,21.93563461303711,56260,más,ADV,33.36138916015625,59260
89,",",PUNCT,20.245817184448242,56260,.,PUNCT,32.798179626464844,59260
90,I,PRON,23.717571258544922,56260,me,PRON,32.008670806884766,56260
91,would,VERB,26.53094482421875,56260,pensar,VERB,36.796470642089844,56260
92,like,VERB,21.747211456298828,56260,gustaría,VERB,32.18708038330078,56260
93,to,PART,21.50252342224121,56260,¿,PUNCT,30.933889389038086,64260
94,think,VERB,23.574146270751953,56260,piensan,VERB,36.68681335449219,64260
95,that,SCONJ,20.314071655273438,59260,que,SCONJ,31.085615158081055,59260
96,I,PRON,25.204769134521484,59260,Qué,PRON,30.474712371826172,64260
97,am,AUX,22.900157928466797,59260,soy,AUX,33.4957160949707,59260
98,more,ADJ,20.3756046295166,59260,?,PUNCT,31.537479400634766,64260
99,than,SCONJ,22.603261947631836,59260,que,SCONJ,31.953676223754883,66260
100,my,DET,21.418704986572266,59260,sus,DET,34.30146408081055,66260
101,genes,NOUN,19.621273040771484,59260,muchachos,NOUN,33.69820022583008,64260
102,.,PUNCT,20.569461822509766,59260,¿,PUNCT,30.7935848236084,66260
103,What,PRON,21.44028091430664,64260,más,ADV,33.42696762084961,66260
104,do,AUX,24.16847801208496,64260,Son,AUX,29.532941818237305,66260
105,you,PRON,23.603404998779297,64260,Uds,PROPN,29.88351058959961,66260
106,guys,NOUN,23.475017547607422,64260,genes,NOUN,35.449668884277344,66260
107,think,VERB,24.23736000061035,64260,?,PUNCT,31.058429718017578,66260
108,?,PUNCT,20.582860946655273,64260,(,PUNCT,31.326541900634766,69260
109,Are,AUX,22.664119720458984,66260,Audiencia,PROPN,32.892051696777344,69260
110,you,PRON,24.281991958618164,66260,:,PUNCT,30.76936912536621,69260
111,more,ADJ,20.106529235839844,66260,Sí,ADV,31.59242820739746,69260
112,than,SCONJ,22.812904357910156,66260,que,SCONJ,31.815834045410156,73260
113,your,DET,21.921655654907227,66260,algunas,DET,33.60458755493164,73260
114,genes,NOUN,19.916053771972656,66260,Sí,ADV,30.898685455322266,69260
115,?,PUNCT,20.74269676208496,66260,?,PUNCT,32.21672439575195,69260
116,(,PUNCT,18.90340805053711,69260,¿,PUNCT,29.99795913696289,69260
117,Audience,NOUN,20.987722396850586,69260,personas,NOUN,35.50492858886719,73260
118,:,PUNCT,19.20406150817871,69260,),PUNCT,29.32277488708496,69260
119,Yes,INTJ,21.717655181884766,69260,Creo,VERB,35.42213821411133,73260
120,.,PUNCT,17.497589111328125,69260,están,AUX,35.64680862426758,73260
121,),PUNCT,19.640594482421875,69260,de,ADP,31.993955612182617,73260
122,Yes,INTJ,20.868375778198242,69260,acuerdo,NOUN,30.54450035095215,73260
123,?,PUNCT,19.899538040161133,69260,.,PUNCT,33.23387908935547,73260
124,I,PRON,25.20997428894043,73260,conmigo,PRON,34.10408401489258,73260
125,think,VERB,22.563186645507812,73260,Creo,VERB,35.29484558105469,75260
126,some,DET,24.01288414001465,73260,una,DET,33.65927505493164,75260
127,people,NOUN,24.391157150268555,73260,declaración,NOUN,33.097049713134766,75260
128,agree,VERB,22.17495346069336,73260,hacer,VERB,35.09199142456055,75260
129,with,ADP,21.513463973999023,73260,deberíamos,AUX,31.917177200317383,75260
130,me,PRON,25.240087509155273,73260,que,SCONJ,30.92388153076172,75260
131,.,PUNCT,20.257081985473633,73260,.,PUNCT,33.56789016723633,75260
132,I,PRON,25.27543067932129,75260,que,SCONJ,32.3837890625,77260
133,think,VERB,23.081623077392578,75260,Creo,VERB,35.46211624145508,77260
134,we,PRON,25.03738021850586,75260,debemos,AUX,31.94312286376953,77260
135,should,VERB,26.015413284301758,75260,decirlo,VERB,32.5330696105957,77260
136,make,VERB,26.290775299072266,75260,juntos,ADJ,32.65971755981445,77260
137,a,DET,22.8740291595459,75260,todos,DET,32.77593231201172,77260
138,statement,NOUN,20.907934188842773,75260,Muy,ADV,35.18330764770508,80260
139,.,PUNCT,22.115453720092773,75260,.,PUNCT,31.304765701293945,77260
140,I,PRON,25.263450622558594,77260,bien,ADV,34.280704498291016,80260
141,think,VERB,23.126483917236328,77260,:,PUNCT,32.76663589477539,80260
142,we,PRON,25.010643005371094,77260,"""",PUNCT,32.96849822998047,80260
143,should,VERB,26.00615882873535,77260,Soy,AUX,30.742958068847656,80260
144,say,VERB,25.96530532836914,77260,genes,NOUN,34.46452331542969,80260
145,it,PRON,22.169044494628906,77260,que,SCONJ,30.89085578918457,80260
146,all,DET,21.002302169799805,77260,mis,DET,32.458518981933594,80260
147,together,ADV,20.924169540405273,77260,más,ADV,32.5345344543457,80260
148,.,PUNCT,22.867286682128906,77260,"""",PUNCT,30.98129653930664,80260
149,All,ADV,20.719268798828125,80260,el,DET,36.21501922607422,83260
150,right,ADV,20.945390701293945,80260,todos,DET,32.46044158935547,80260
151,:,PUNCT,19.908926010131836,80260,",",PUNCT,31.028987884521484,80260
152,"""",PUNCT,20.52080535888672,80260,.,PUNCT,31.186931610107422,80260
153,I,PRON,24.30362892150879,80260,Todo,DET,34.53839111328125,83260
154,'m,AUX,22.595439910888672,80260,soy,AUX,32.8619270324707,83260
155,more,ADJ,19.63895034790039,80260,juntos,ADJ,32.4576301574707,80260
156,than,SCONJ,22.500314712524414,80260,que,SCONJ,30.936689376831055,83260
157,my,DET,22.16901397705078,80260,mis,DET,32.42697525024414,83260
158,genes,NOUN,18.912517547607422,80260,mundo,NOUN,32.66693115234375,83260
159,"""",PUNCT,21.091554641723633,80260,:,PUNCT,32.571041107177734,83260
160,--,PUNCT,20.45134925842285,80260,.,PUNCT,32.798179626464844,83260
161,all,ADV,19.249225616455078,80260,más,ADV,33.973209381103516,83260
162,together,ADV,19.936304092407227,80260,genes,NOUN,35.42813491821289,83260
163,.,PUNCT,22.763628005981445,80260,(,PUNCT,29.66307258605957,87260
164,Everybody,PRON,22.35067367553711,83260,Vítores,PROPN,37.00531768798828,87260
165,:,PUNCT,19.03015899658203,83260,),PUNCT,31.252565383911133,87260
166,I,PRON,23.892982482910156,83260,Sebastian,PROPN,32.1536865234375,90260
167,am,AUX,22.414508819580078,83260,Seung,PROPN,32.53763198852539,90260
168,more,ADJ,20.292381286621094,83260,:,PUNCT,31.904085159301758,90260
169,than,SCONJ,22.566287994384766,83260,¿,PUNCT,30.01677131652832,90260
170,my,DET,21.418704986572266,83260,Qué,PRON,30.947649002075195,90260
171,genes,NOUN,19.621273040771484,83260,soy,AUX,32.41943359375,90260
172,.,PUNCT,20.569461822509766,83260,?,PUNCT,33.31690216064453,90260
173,(,PUNCT,18.935956954956055,87260,(,PUNCT,28.748825073242188,92260
174,Cheering,NOUN,21.737714767456055,87260,conectoma,NOUN,30.740543365478516,95260
175,),PUNCT,21.655412673950195,87260,),PUNCT,32.331058502197266,92260
176,Sebastian,PROPN,22.943178176879883,90260,Risas,PROPN,34.865478515625,92260
177,Seung,PROPN,22.47092628479004,90260,mi,DET,34.497581481933594,95260
178,:,PUNCT,20.0120849609375,90260,.,PUNCT,32.386531829833984,95260
179,What,PRON,20.313858032226562,90260,Ahora,ADV,33.396324157714844,100260
180,am,AUX,21.135305404663086,90260,Soy,AUX,29.6110897064209,95260
181,I,PRON,20.642047882080078,90260,como,SCONJ,34.18673324584961,100260
182,?,PUNCT,23.090696334838867,90260,",",PUNCT,30.977642059326172,100260
183,(,PUNCT,19.138301849365234,92260,son,AUX,32.22427749633789,100260
184,Laughter,PROPN,20.165264129638672,92260,realmente,ADV,34.53721237182617,100260
185,),PUNCT,20.96363067626953,92260,",",PUNCT,31.217025756835938,100260
186,I,PRON,25.121623992919922,95260,geniales,ADJ,33.514949798583984,100260
187,am,AUX,22.6683406829834,95260,pueden,AUX,34.32131576538086,102260
188,my,DET,21.60843849182129,95260,la,DET,32.962032318115234,102260
189,connectome,NOUN,19.013797760009766,95260,corriente,NOUN,30.315196990966797,102260
190,.,PUNCT,20.69350814819336,95260,seguirme,ADJ,33.080379486083984,102260
191,Now,ADV,23.914752960205078,100260,y,CONJ,34.84328842163086,102260
192,",",PUNCT,22.262548446655273,100260,.,PUNCT,32.56705856323242,102260
193,since,SCONJ,22.28150177001953,100260,decirlo,PROPN,32.28376007080078,102260
194,you,PRON,21.593904495239258,100260,todos,DET,33.63771438598633,102260
195,guys,NOUN,22.912351608276367,100260,(,PUNCT,28.748825073242188,104260
196,are,AUX,24.098045349121094,100260,Risas,PROPN,34.865478515625,104260
197,really,ADV,26.520334243774414,100260,también,ADV,33.398956298828125,102260
198,great,ADJ,21.48812484741211,100260,juntos,ADJ,29.98358917236328,102260
199,",",PUNCT,19.59181022644043,100260,),PUNCT,32.331058502197266,104260
200,maybe,ADV,23.040790557861328,102260,Bien,ADV,32.41231155395508,106260
201,you,PRON,22.72917938232422,102260,.,PUNCT,31.445552825927734,106260
202,can,VERB,22.650745391845703,102260,Ahora,ADV,32.959571838378906,106260
203,humor,VERB,24.21070098876953,102260,juntos,ADJ,31.777935028076172,106260
204,me,PRON,25.70720100402832,102260,todos,PRON,32.42913818359375,106260
205,and,CCONJ,22.25961685180664,102260,.,PUNCT,31.22412109375,106260
206,say,VERB,21.483125686645508,102260,Todo,DET,34.53839111328125,108260
207,this,DET,18.966169357299805,102260,el,DET,36.222496032714844,108260
208,all,DET,18.325788497924805,102260,mi,DET,35.063961029052734,108260
209,together,ADV,19.960397720336914,102260,mundo,NOUN,32.66941833496094,108260
210,too,ADV,21.411296844482422,102260,soy,AUX,31.57701301574707,108260
211,.,PUNCT,21.979385375976562,102260,:,PUNCT,32.117149353027344,108260
212,(,PUNCT,19.138301849365234,104260,.,PUNCT,32.518157958984375,108260
213,Laughter,PROPN,20.165264129638672,104260,conectoma,NOUN,30.888059616088867,108260
214,),PUNCT,20.96363067626953,104260,:,PUNCT,29.875947952270508,113260
215,Right,INTJ,23.222503662109375,106260,SS,INTJ,31.470699310302734,113260
216,.,PUNCT,19.952606201171875,106260,.,PUNCT,33.13417053222656,113260
217,All,ADV,21.453994750976562,106260,estuvo,VERB,34.44973373413086,113260
218,together,ADV,21.740203857421875,106260,genial,ADJ,33.07059860229492,113260
219,now,ADV,22.527332305908203,106260,Gente,NOUN,29.218101501464844,115260
220,.,PUNCT,21.612396240234375,106260,",",PUNCT,29.728553771972656,115260
221,Everybody,PRON,22.349191665649414,108260,eso,PRON,32.39816665649414,113260
222,:,PUNCT,19.042882919311523,108260,",",PUNCT,31.536102294921875,115260
223,I,PRON,23.960744857788086,108260,fabulosos,ADJ,33.941219329833984,115260
224,am,AUX,22.51559066772461,108260,son,AUX,33.448486328125,115260
225,my,DET,21.768413543701172,108260,ni,CONJ,34.036834716796875,115260
226,connectome,NOUN,19.01763343811035,108260,siquiera,NOUN,33.486724853515625,115260
227,.,PUNCT,20.69350814819336,108260,saben,VERB,36.21035385131836,115260
228,SS,PROPN,21.686412811279297,113260,qué,PRON,32.99863815307617,115260
229,:,PUNCT,19.67536735534668,113260,es,AUX,32.736446380615234,115260
230,That,DET,19.87618064880371,113260,un,DET,37.66389846801758,115260
231,sounded,VERB,26.532812118530273,113260,pero,CONJ,32.452171325683594,117260
232,great,ADJ,21.521312713623047,113260,dispuestos,ADJ,33.97749710083008,117260
233,.,PUNCT,20.78986358642578,113260,están,AUX,34.317222595214844,117260
234,You,PRON,24.082101821899414,115260,a,ADP,34.1173095703125,117260
235,know,VERB,23.700607299804688,115260,jugar,VERB,35.51240921020508,117260
236,",",PUNCT,20.354597091674805,115260,.,PUNCT,34.01417922973633,117260
237,you,PRON,21.923625946044922,115260,conmigo,PRON,33.23331832885742,117260
238,guys,NOUN,22.188610076904297,115260,conectoma,NOUN,30.511457443237305,115260
239,are,AUX,23.205490112304688,115260,puedo,AUX,37.153282165527344,119260
240,so,ADV,23.555009841918945,115260,Ya,ADV,34.780975341796875,119260
241,great,ADJ,21.98192596435547,115260,satisfecho,ADJ,31.26290512084961,119260
242,",",PUNCT,22.0261173248291,115260,.,PUNCT,33.10116958618164,119260
243,you,PRON,23.4639835357666,115260,me,PRON,31.67019271850586,119260
244,do,AUX,22.5866756439209,115260,por,ADP,34.50179672241211,119260
245,n't,PART,24.729774475097656,115260,Hasta,ADP,35.35847854614258,122260
246,even,ADV,23.298551559448242,115260,ahora,ADV,32.74161911010742,122260
