,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.64518928527832,12717,Me,PRON,31.227148056030273,12924
1,'d,VERB,23.088829040527344,12717,gustaría,VERB,33.20763397216797,12924
2,like,VERB,21.680376052856445,12717,llevarlos,NOUN,31.149076461791992,12924
3,to,PART,22.55722427368164,12717,en,ADP,32.34053421020508,12924
4,take,VERB,25.425399780273438,12717,épica,ADJ,32.96124267578125,12924
5,you,PRON,22.442420959472656,12717,misión,NOUN,32.74887466430664,12924
6,on,ADP,20.102109909057617,12717,de,ADP,29.732013702392578,12924
7,the,DET,21.196393966674805,12717,la,DET,34.62567901611328,12924
8,epic,ADJ,19.91517448425293,12717,espacial,ADJ,31.42338752746582,12924
9,quest,NOUN,21.886816024780273,12717,nave,NOUN,31.611072540283203,12924
10,of,ADP,23.59642219543457,12717,a,ADP,32.8422966003418,17514
11,the,DET,19.343517303466797,12717,la,DET,33.64199447631836,12924
12,Rosetta,PROPN,19.72258949279785,12717,Rosetta,PROPN,35.398216247558594,12924
13,spacecraft,NOUN,20.52882194519043,12717,sonda,NOUN,34.35905838012695,17514
14,.,PUNCT,21.299190521240234,12717,.,PUNCT,32.728660583496094,17514
15,To,PART,21.72570037841797,17514,y,CONJ,31.117849349975586,17514
16,escort,VERB,22.40750503540039,17514,aterrizar,VERB,35.6222038269043,17514
17,and,CCONJ,23.63022804260254,17514,la,DET,32.2603645324707,17514
18,land,VERB,19.899396896362305,17514,escoltar,VERB,35.100433349609375,17514
19,the,DET,21.13875389099121,17514,un,DET,36.65726089477539,17514
20,probe,NOUN,19.16973876953125,17514,cometa,NOUN,32.26531219482422,17514
21,on,ADP,18.84059715270996,17514,en,ADP,32.60163879394531,17514
22,a,DET,22.23784065246582,17514,Esta,PRON,33.260833740234375,21341
23,comet,NOUN,18.949220657348633,17514,pasión,NOUN,32.383243560791016,21341
24,",",PUNCT,20.540477752685547,17514,.,PUNCT,33.26767349243164,21341
25,this,DET,22.74982261657715,21540,mi,DET,34.96142578125,21341
26,has,AUX,23.094572067260742,21540,sido,AUX,33.2510871887207,21341
