,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,No,ADV,20.94346809387207,13548,No,ADV,34.065757751464844,13548
1,matter,ADV,20.125558853149414,13548,importa,VERB,34.8798828125,13548
2,who,PRON,22.061016082763672,13548,quiénes,NOUN,34.66510772705078,13548
3,you,PRON,24.516292572021484,13548,dónde,PRON,32.1429557800293,13548
4,are,AUX,24.337604522705078,13548,son,AUX,36.963069915771484,13548
5,or,CCONJ,21.57696533203125,13548,o,CONJ,32.32905960083008,13548
6,where,ADV,21.760940551757812,13548,0,0,0.0,0
7,you,PRON,23.703638076782227,13548,0,0,0.0,0
8,live,VERB,22.54728126525879,13548,viven,VERB,36.54571533203125,13548
9,",",PUNCT,21.11440658569336,13548,",",PUNCT,29.950523376464844,13548
10,I,PRON,24.5142879486084,16088,supongo,VERB,34.297672271728516,16088
11,'m,AUX,23.593090057373047,16088,0,0,0.0,0
12,guessing,VERB,24.854713439941406,16088,tienen,VERB,36.23149871826172,16088
13,that,SCONJ,19.64179801940918,16088,que,SCONJ,32.541954040527344,16088
14,you,PRON,24.721698760986328,16088,al,ADP,34.50140380859375,16088
15,have,AUX,21.566797256469727,16088,un,DET,32.529808044433594,16088
16,at,ADV,21.29153060913086,16088,menos,ADV,34.15947341918945,16088
17,least,ADV,19.584014892578125,16088,0,0,0.0,0
18,one,NUM,21.119016647338867,16088,0,0,0.0,0
19,relative,ADJ,18.111528396606445,16088,pariente,ADJ,32.22660446166992,16088
20,to,ADP,21.330415725708008,18468,al,ADP,35.976505279541016,18468
21,that,DET,19.673357009887695,18468,que,PRON,32.567596435546875,18468
22,0,0,0.0,0,le,PRON,31.481130599975586,18468
23,forward,ADV,21.071596145629883,18468,gusta,VERB,37.626712799072266,18468
24,likes,VERB,23.3792724609375,18468,reenviar,VERB,37.903282165527344,18468
25,those,DET,20.76387596130371,18468,esos,DET,34.27397155761719,18468
26,emails,NOUN,21.394882202148438,18468,correos,NOUN,34.6453742980957,18468
