,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Our,DET,22.735477447509766,18330,Nuestra,DET,33.38987350463867,18330
1,mission,NOUN,20.85715675354004,18330,misión,NOUN,34.58352279663086,18330
2,is,AUX,22.74907112121582,18330,es,AUX,32.50460433959961,18330
3,to,PART,22.475725173950195,18330,0,0,0.0,0
4,build,VERB,24.944313049316406,18330,construir,VERB,34.64590072631836,18330
5,a,DET,21.468780517578125,21330,un,DET,36.63187026977539,21330
6,0,0,0.0,0,modelo,NOUN,32.830631256103516,21330
7,detailed,ADJ,21.74190330505371,21330,detallado,ADJ,34.16376876831055,21330
8,",",PUNCT,20.14662742614746,21330,y,CONJ,33.22694778442383,21330
9,realistic,ADJ,20.132619857788086,21330,realista,ADJ,32.95778274536133,21330
10,computer,NOUN,16.718154907226562,23330,del,ADP,33.44180679321289,23330
11,model,NOUN,18.24024772644043,23330,cerebro,NOUN,32.130516052246094,23330
12,of,ADP,24.407442092895508,23330,en,ADP,33.283409118652344,23330
13,the,DET,22.72283172607422,23330,un,DET,36.806827545166016,23330
14,human,ADJ,19.449317932128906,23330,humano,ADJ,33.96973419189453,23330
15,brain,NOUN,19.829208374023438,23330,computador,NOUN,32.457183837890625,23330
16,.,PUNCT,22.010801315307617,23330,.,PUNCT,31.5523681640625,23330
17,And,CCONJ,21.075103759765625,25330,Y,CONJ,33.09184265136719,25330
18,we,PRON,24.401445388793945,25330,0,0,0.0,0
19,'ve,AUX,21.569997787475586,25330,hemos,AUX,34.057376861572266,25330
20,done,VERB,21.40087890625,25330,hecho,VERB,32.010074615478516,25330
21,",",PUNCT,19.433698654174805,25330,",",PUNCT,29.791797637939453,25330
22,in,ADP,20.920372009277344,25330,en,ADP,33.165809631347656,25330
23,the,DET,21.42505645751953,25330,los,DET,33.389564514160156,25330
24,past,ADJ,17.975238800048828,25330,últimos,ADJ,33.121665954589844,25330
25,four,NUM,24.023296356201172,25330,4,NUM,34.58984375,25330
26,years,NOUN,22.318819046020508,25330,años,NOUN,35.71246337890625,25330
27,",",PUNCT,20.149751663208008,25330,",",PUNCT,31.16392707824707,25330
28,a,DET,22.06075096130371,28330,una,DET,32.780025482177734,28330
29,proof,NOUN,19.618270874023438,28330,prueba,NOUN,33.13567352294922,28330
30,of,ADP,22.920391082763672,28330,de,ADP,30.79229736328125,28330
31,concept,NOUN,20.899953842163086,28330,concepto,NOUN,29.381511688232422,28330
32,on,ADP,20.49062156677246,30330,en,ADP,34.80263137817383,30330
33,a,DET,22.354703903198242,30330,una,DET,34.70022201538086,30330
34,small,ADJ,21.642248153686523,30330,pequeña,ADJ,35.23671340942383,30330
35,part,NOUN,21.155258178710938,30330,parte,NOUN,31.709484100341797,30330
