,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Dan,PROPN,23.178125381469727,18330,Dan,PROPN,33.38426971435547,18330
1,Holzman,PROPN,19.072744369506836,18330,Holzman,PROPN,34.491119384765625,18330
2,:,PUNCT,19.585803985595703,18330,:,PUNCT,31.96589469909668,18330
3,Please,INTJ,23.20890235900879,18330,",",PUNCT,31.127805709838867,18330
4,throw,VERB,23.288942337036133,18330,arroja,VERB,33.181270599365234,18330
5,out,ADP,22.105772018432617,18330,Por,ADP,33.42665481567383,18330
6,the,DET,20.301923751831055,18330,los,DET,34.7207145690918,18330
7,beanbag,NOUN,16.272064208984375,18330,favor,NOUN,30.55670738220215,18330
8,chairs,NOUN,21.856449127197266,18330,puffs,NOUN,30.46675682067871,18330
9,.,PUNCT,20.021835327148438,18330,.,PUNCT,33.4642333984375,18330
10,Here,ADV,21.588651657104492,18330,Aquí,ADV,31.106931686401367,18330
11,we,PRON,25.647127151489258,18330,0,0,0.0,0
12,go,VERB,22.897520065307617,18330,vamos,VERB,31.364797592163086,18330
13,.,PUNCT,20.07691764831543,18330,.,PUNCT,32.3033447265625,18330
14,Barry,PROPN,23.207059860229492,22330,Barry,PROPN,34.19794464111328,22330
15,Friedman,PROPN,20.299955368041992,22330,Friedman,PROPN,33.97148132324219,22330
16,:,PUNCT,20.080106735229492,22330,:,PUNCT,31.64650535583496,22330
17,There,PRON,22.038253784179688,22330,Hoy,ADV,31.48627471923828,22330
18,are,AUX,24.664663314819336,22330,hay,AUX,32.203773498535156,22330
19,all,DET,21.46718978881836,22330,todo,DET,35.95882034301758,22330
20,kinds,NOUN,22.860082626342773,22330,tipo,NOUN,32.25598907470703,22330
21,of,ADP,24.281465530395508,22330,de,ADP,31.620967864990234,22330
22,high,ADJ,21.546873092651367,22330,alta,ADJ,32.54142761230469,22330
23,-,PUNCT,23.11977195739746,22330,de,ADP,31.2248592376709,22330
24,tech,NOUN,20.663301467895508,22330,asientos,NOUN,32.5235481262207,22330
25,chairs,NOUN,21.411163330078125,22330,tecnología,NOUN,31.654922485351562,22330
26,here,ADV,21.203399658203125,22330,0,0,0.0,0
27,today,NOUN,21.001413345336914,22330,0,0,0.0,0
28,",",PUNCT,21.730810165405273,22330,0,0,0.0,0
29,but,CCONJ,20.993614196777344,24330,pero,CONJ,32.98427200317383,24330
30,this,DET,22.72148895263672,24330,que,SCONJ,31.336849212646484,24330
31,is,AUX,24.631017684936523,24330,es,AUX,33.114871978759766,24330
32,really,ADV,20.699710845947266,24330,realmente,ADV,34.12004852294922,24330
33,",",PUNCT,20.102510452270508,24330,0,0,0.0,0
34,I,PRON,24.315441131591797,24330,esto,PRON,33.042484283447266,24330
35,think,VERB,21.897403717041016,24330,creo,VERB,37.44796371459961,24330
36,",",PUNCT,20.432722091674805,24330,máximo,ADJ,34.64148712158203,24330
37,when,ADV,21.824033737182617,24330,0,0,0.0,0
38,it,PRON,24.941734313964844,24330,0,0,0.0,0
39,reached,VERB,25.38738441467285,24330,0,0,0.0,0
40,its,DET,23.0806827545166,24330,lo,DET,30.06514549255371,24330
41,peak,NOUN,18.82306480407715,24330,0,0,0.0,0
42,as,ADV,22.99607276916504,26330,en,ADP,33.37455368041992,26330
43,far,ADV,23.85179328918457,26330,términos,NOUN,33.8112678527832,26330
44,as,SCONJ,23.001501083374023,26330,de,ADP,32.62019729614258,26330
45,ergonomics,NOUN,19.563302993774414,26330,ergonomía,NOUN,30.138025283813477,26330
46,",",PUNCT,23.01677894592285,26330,",",PUNCT,32.55868911743164,26330
47,comfort,NOUN,19.252443313598633,26330,comodidad,NOUN,31.154592514038086,26330
48,",",PUNCT,22.037141799926758,26330,",",PUNCT,32.06184005737305,26330
49,design,NOUN,20.38314437866211,26330,diseño,NOUN,32.30693054199219,26330
50,",",PUNCT,23.67279815673828,26330,",",PUNCT,29.634666442871094,26330
51,flexibility,NOUN,19.595478057861328,26330,flexibilidad,NOUN,32.3078498840332,26330
52,...,PUNCT,19.77104949951172,26330,.,PUNCT,32.2454719543457,26330
53,DH,CCONJ,18.588285446166992,32330,DH,VERB,30.22988510131836,32330
54,:,PUNCT,18.505638122558594,32330,:,PUNCT,32.188941955566406,32330
55,Now,ADV,21.133779525756836,32330,Obviamente,ADV,31.875812530517578,32330
56,obviously,ADV,22.880159378051758,32330,no,ADV,32.95335388183594,32330
57,",",PUNCT,19.63675880432129,32330,esto,PRON,33.79154586791992,32330
58,this,DET,21.40958023071289,32330,0,0,0.0,0
59,is,AUX,24.139022827148438,32330,es,AUX,36.03995895385742,32330
60,not,PART,22.513761520385742,32330,hagamos,VERB,31.688343048095703,32330
61,something,PRON,21.338747024536133,32330,algo,PRON,34.017555236816406,32330
62,we,PRON,25.307064056396484,32330,que,PRON,30.62976837158203,32330
63,do,AUX,22.64824676513672,32330,habitualmente,ADV,34.25385665893555,32330
64,on,ADP,18.7830867767334,32330,en,ADP,33.924476623535156,32330
65,our,DET,22.950796127319336,32330,nuestro,DET,35.467323303222656,32330
66,regular,ADJ,20.804229736328125,32330,0,0,0.0,0
67,show,NOUN,21.070411682128906,32330,espectáculo,NOUN,32.943172454833984,32330
68,;,PUNCT,18.818201065063477,32330,.,PUNCT,31.775365829467773,32330
69,it,PRON,23.524715423583984,35330,algo,PRON,34.074928283691406,35330
70,'s,AUX,21.375917434692383,35330,Es,AUX,36.58662033081055,35330
71,something,PRON,21.960063934326172,35330,que,PRON,31.36853790283203,35330
72,we,PRON,23.735754013061523,35330,0,0,0.0,0
73,just,ADV,25.524282455444336,35330,0,0,0.0,0
74,kind,ADV,23.487396240234375,35330,hoy,ADV,33.91123580932617,35330
75,of,ADV,19.84492301940918,35330,0,0,0.0,0
76,learned,VERB,20.80929946899414,35330,preparamos,VERB,34.6114501953125,35330
77,for,ADP,21.654279708862305,35330,para,ADP,33.99440383911133,35330
78,this,DET,21.09830093383789,35330,0,0,0.0,0
79,",",PUNCT,20.807157516479492,35330,.,PUNCT,32.534278869628906,35330
80,so,CCONJ,19.99936294555664,37330,Así,ADV,36.01188659667969,37330
81,we,PRON,23.6317081451416,37330,que,SCONJ,31.401418685913086,37330
82,'re,AUX,23.768625259399414,37330,vamos,AUX,33.95611572265625,37330
83,going,VERB,25.785505294799805,37330,a,ADP,35.319950103759766,37330
84,to,PART,21.580163955688477,37330,.,PUNCT,33.60597610473633,37330
85,try,VERB,23.9194278717041,37330,intentar,VERB,35.53816223144531,37330
86,.,PUNCT,20.53014373779297,37330,",",PUNCT,29.867338180541992,37330
87,But,CCONJ,21.79780387878418,37330,Pero,CONJ,34.058692932128906,37330
88,can,VERB,22.227441787719727,37330,¿,PUNCT,28.463132858276367,37330
89,we,PRON,24.426389694213867,37330,algo,PRON,34.57430648803711,37330
90,have,AUX,23.930540084838867,37330,hay,AUX,33.816837310791016,37330
91,some,DET,23.17522430419922,37330,de,ADP,30.488975524902344,37330
92,inspirational,ADJ,20.5872745513916,37330,0,0,0.0,0
93,music,NOUN,20.108539581298828,37330,música,NOUN,30.29714584350586,37330
94,for,ADP,21.80951499938965,37330,para,ADP,33.781253814697266,37330
95,the,DET,21.272499084472656,37330,0,0,0.0,0
96,beanbag,NOUN,15.267181396484375,37330,inspirarnos,NOUN,34.81267166137695,37330
97,chairs,NOUN,20.446462631225586,37330,0,0,0.0,0
98,?,PUNCT,21.03694725036621,37330,?,PUNCT,32.39274597167969,37330
99,BF,PROPN,20.62708854675293,75330,BF,PROPN,30.679773330688477,75330
100,:,PUNCT,20.076356887817383,75330,:,PUNCT,31.965890884399414,75330
101,Nice,PROPN,20.67658233642578,75330,Buen,ADJ,35.83173751831055,75330
102,show,NOUN,21.63033103942871,75330,número,NOUN,30.961437225341797,75330
103,",",PUNCT,20.163671493530273,75330,",",PUNCT,29.533409118652344,75330
104,Daniel,PROPN,22.717302322387695,75330,Daniel,PROPN,34.895355224609375,75330
105,",",PUNCT,21.124582290649414,75330,",",PUNCT,30.248519897460938,75330
