,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,OK,INTJ,24.12590217590332,12996,Bien,ADV,33.04804229736328,12996
1,",",PUNCT,21.132577896118164,12996,",",PUNCT,30.92936134338379,12996
2,I,PRON,24.0626163482666,12996,todos,PRON,33.757686614990234,12996
3,have,AUX,22.789133071899414,12996,tengo,VERB,33.80017852783203,12996
4,a,DET,22.47551918029785,12996,una,DET,33.59416961669922,12996
5,question,NOUN,22.300086975097656,12996,pregunta,NOUN,33.48262023925781,12996
6,for,ADP,21.24983024597168,12996,para,ADP,32.14948272705078,12996
7,all,DET,21.91876220703125,12996,0,0,0.0,0
8,of,ADP,23.823076248168945,12996,0,0,0.0,0
9,us,PRON,23.905488967895508,12996,nosotros,PRON,32.566505432128906,12996
10,.,PUNCT,21.692453384399414,12996,.,PUNCT,33.53996276855469,12996
11,You,PRON,24.492971420288086,15104,¿,PUNCT,29.669715881347656,15104
12,0,0,0.0,0,Están,AUX,33.93660354614258,15104
13,ready,ADJ,22.505680084228516,15104,listos,ADJ,33.26509094238281,15104
14,?,PUNCT,22.21906280517578,15104,?,PUNCT,32.116477966308594,15104
15,0,0,0.0,0,¿,PUNCT,29.43736457824707,17050
16,winning,VERB,20.800745010375977,17050,Ganar,VERB,31.198644638061523,17050
17,all,DET,22.8673095703125,17050,siempre,ADV,35.14909362792969,17050
18,Is,AUX,20.3038330078125,17050,es,AUX,34.03437042236328,17050
19,0,0,0.0,0,igual,ADJ,36.17323684692383,17050
20,0,0,0.0,0,a,ADP,32.72969055175781,17050
21,0,0,0.0,0,tener,VERB,37.1681022644043,17050
22,success,NOUN,19.689043045043945,17050,éxito,NOUN,31.972747802734375,17050
23,?,PUNCT,21.8745174407959,17050,?,PUNCT,31.601919174194336,17050
24,(,PUNCT,19.245508193969727,19270,(,PUNCT,30.122957229614258,19270
25,Murmurs,PROPN,20.150753021240234,19270,Murmullos,PROPN,37.1157341003418,19270
26,),PUNCT,20.9226016998291,19270,),PUNCT,31.550193786621094,19270
27,Oh,INTJ,22.73941421508789,20683,Oh,INTJ,30.607194900512695,20683
28,.,PUNCT,20.02532386779785,20683,.,PUNCT,33.162864685058594,20683
29,(,PUNCT,19.138301849365234,22405,(,PUNCT,28.748825073242188,22405
30,Laughter,PROPN,20.165264129638672,22405,Risas,PROPN,34.865478515625,22405
31,),PUNCT,20.96363067626953,22405,),PUNCT,32.331058502197266,22405
32,Whoa,INTJ,19.43878173828125,24229,Vaya,VERB,32.1309700012207,24229
33,.,PUNCT,22.192861557006836,24229,.,PUNCT,30.65656852722168,24229
34,OK,INTJ,23.976966857910156,24229,OK,PROPN,32.33966064453125,24229
35,.,PUNCT,20.945281982421875,24229,.,PUNCT,31.888545989990234,24229
36,am,AUX,23.290325164794922,26541,Soy,AUX,28.479921340942383,26541
37,the,DET,22.188308715820312,26541,la,DET,33.67172622680664,26541
38,head,NOUN,16.15917205810547,26541,entrenadora,NOUN,32.16023635864258,26541
39,I,PRON,25.4475154876709,26541,principal,ADJ,33.7928466796875,26541
40,retired,VERB,22.227113723754883,26541,",",PUNCT,31.376819610595703,26541
41,recently,ADV,26.049814224243164,26541,recientemente,ADV,34.477481842041016,26541
42,coach,NOUN,19.327289581298828,26541,retirada,ADJ,33.52203369140625,26541
43,0,0,0.0,0,",",PUNCT,31.346778869628906,26541
44,of,ADP,20.048816680908203,29123,del,ADP,31.7996883392334,29123
45,UCLA,PROPN,20.079517364501953,29123,Equipo,PROPN,33.90169143676758,29123
46,0,0,0.0,0,de,ADP,28.990066528320312,29123
47,the,DET,22.766815185546875,29123,la,DET,29.27443504333496,29123
48,Women,PROPN,18.97757911682129,29123,UCLA,PROPN,34.60836410522461,29123
49,'s,PART,21.07735252380371,29123,de,ADP,29.977571487426758,29123
50,Team,PROPN,21.115875244140625,29123,Gimnasia,PROPN,35.94174575805664,29123
51,Gymnastics,PROPN,19.74901580810547,29123,Femenina,PROPN,35.79225158691406,29123
52,",",PUNCT,22.283000946044922,29123,",",PUNCT,30.661781311035156,29123
53,a,DET,21.875442504882812,31901,un,DET,35.18296813964844,31901
54,position,NOUN,20.19175910949707,31901,puesto,NOUN,32.22834777832031,31901
55,that,DET,19.923828125,31901,0,0,0.0,0
56,I,PRON,24.799312591552734,31901,que,PRON,31.584514617919922,31901
57,held,VERB,23.609664916992188,31901,ocupé,VERB,33.61357498168945,31901
58,for,ADP,20.636354446411133,31901,durante,ADP,35.64668273925781,31901
59,29,NUM,24.418989181518555,31901,29,NUM,34.293128967285156,31901
60,years,NOUN,23.652145385742188,31901,años,NOUN,35.67848205566406,31901
61,.,PUNCT,20.918014526367188,31901,.,PUNCT,33.33833694458008,31901
62,(,PUNCT,19.33601188659668,34239,(,PUNCT,29.47212028503418,34239
63,Applause,NOUN,21.975845336914062,34239,Aplausos,PROPN,34.93049240112305,34239
64,),PUNCT,20.301513671875,34239,),PUNCT,30.808273315429688,34239
65,Thank,VERB,21.96343421936035,35845,Gracias,NOUN,29.708393096923828,35845
66,you,PRON,23.480247497558594,35845,0,0,0.0,0
67,.,PUNCT,21.49152946472168,35845,.,PUNCT,31.750553131103516,35845
