,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,It,PRON,24.085996627807617,12092,0,0,0.0,0
1,is,AUX,25.37470245361328,12092,Es,AUX,33.7413215637207,12092
2,such,DET,21.45122528076172,12092,0,0,0.0,0
3,a,DET,22.113414764404297,12092,0,0,0.0,0
4,sort,NOUN,20.64326286315918,12092,parte,NOUN,31.967575073242188,12092
5,of,ADP,21.393953323364258,12092,0,0,0.0,0
6,instrumental,ADJ,17.401350021362305,12092,constitutiva,ADJ,33.392356872558594,12092
7,part,NOUN,19.15390396118164,12092,0,0,0.0,0
8,of,ADP,20.670000076293945,14740,de,ADP,32.0362434387207,14740
9,our,DET,23.49492835998535,14740,nuestro,DET,33.87883377075195,14740
10,cooking,NOUN,19.317914962768555,14740,vocabulario,NOUN,29.700695037841797,14740
11,vocabulary,NOUN,17.84423828125,14740,cocina,NOUN,31.051298141479492,14740
12,",",PUNCT,21.335906982421875,14740,de,ADP,31.552000045776367,14740
13,in,ADP,21.109994888305664,14740,en,ADP,31.731489181518555,14740
14,terms,NOUN,22.307025909423828,14740,materia,NOUN,30.718656539916992,14740
15,of,ADP,24.2152156829834,14740,de,ADP,32.9218635559082,14740
16,the,DET,21.715003967285156,14740,0,0,0.0,0
17,utensils,NOUN,20.43903160095215,14740,utensilios,NOUN,34.60568618774414,14740
18,.,PUNCT,19.96916389465332,14740,.,PUNCT,32.90800857543945,14740
19,And,CCONJ,20.369083404541016,17793,Como,SCONJ,32.585906982421875,17793
20,it,PRON,24.643306732177734,17793,esto,PRON,33.40913391113281,17793
21,was,AUX,25.592233657836914,17793,si,SCONJ,33.35930633544922,17793
22,like,INTJ,19.91336441040039,17793,y,CONJ,33.32841491699219,17793
23,",",PUNCT,21.85457420349121,17793,",",PUNCT,30.45147132873535,17793
24,that,DET,18.02390480041504,17793,0,0,0.0,0
25,'s,AUX,22.68050193786621,17793,es,AUX,33.232460021972656,17793
26,interesting,ADJ,22.299030303955078,17793,interesante,ADJ,35.9444465637207,17793
27,",",PUNCT,19.651655197143555,17793,",",PUNCT,29.743831634521484,17793
28,there,PRON,22.35063362121582,19630,existieran,VERB,33.66031265258789,19630
29,are,AUX,23.592144012451172,19630,0,0,0.0,0
30,people,NOUN,24.10373878479004,19630,personas,NOUN,35.93412399291992,19630
31,who,PRON,25.543508529663086,19630,que,PRON,34.605770111083984,19630
32,live,VERB,22.384153366088867,19630,viven,VERB,37.82412338256836,19630
33,without,ADP,22.40508460998535,19630,sin,ADP,34.24763870239258,19630
34,chopsticks,NOUN,22.13449478149414,19630,palillos,NOUN,34.341064453125,19630
35,.,PUNCT,20.767375946044922,19630,.,PUNCT,33.02003860473633,19630
36,Small,PROPN,21.695337295532227,21797,[,PROPN,35.563655853271484,21797
37,Thing,PROPN,21.32685661315918,21797,Cosa,PROPN,33.125770568847656,21797
38,[,PUNCT,20.59081268310547,21797,pequeña,ADJ,33.73557662963867,21797
39,.,PUNCT,21.076797485351562,21797,.,PUNCT,32.982425689697266,21797
40,],PUNCT,22.43965721130371,21797,],NOUN,31.751222610473633,21797
41,[,PUNCT,20.184349060058594,22836,[,PROPN,35.224082946777344,22836
42,Idea,NOUN,21.489147186279297,22836,Idea,PROPN,31.853403091430664,22836
43,Big,ADJ,21.149078369140625,22836,grande,ADJ,30.4514217376709,22836
44,.,PUNCT,19.883502960205078,22836,.,PUNCT,34.73814010620117,22836
45,],PUNCT,22.98583984375,22836,],ADJ,31.27239227294922,22836
46,a,DET,22.629169464111328,26917,Los,DET,35.052040100097656,26917
47,Chopsticks,NOUN,23.424823760986328,26917,palillos,NOUN,35.55443572998047,26917
48,are,AUX,23.519678115844727,26917,son,AUX,33.66652297973633,26917
49,two,NUM,23.255788803100586,26917,un,DET,33.95615005493164,26917
50,pair,NOUN,21.068416595458984,26917,par,NOUN,30.548063278198242,26917
51,of,ADP,25.42231559753418,26917,de,ADP,33.023136138916016,26917
52,sticks,NOUN,18.90321922302246,26917,palos,NOUN,34.443092346191406,26917
53,long,ADJ,21.27998924255371,26917,largos,ADJ,36.27693557739258,26917
54,used,VERB,20.974008560180664,29417,usados,ADJ,32.40999984741211,29417
55,to,PART,24.50721549987793,29417,para,ADP,34.986724853515625,29417
56,eat,VERB,27.297761917114258,29417,comer,VERB,39.05827331542969,29417
57,things,NOUN,22.425582885742188,29417,cosas,NOUN,34.331302642822266,29417
58,with,ADP,23.174301147460938,29417,con,ADP,34.70132827758789,29417
59,one,NUM,20.4349308013916,29417,una,DET,33.163841247558594,29417
60,hand,NOUN,20.16810417175293,29417,mano,NOUN,29.690032958984375,29417
61,.,PUNCT,21.76149559020996,29417,.,PUNCT,33.568695068359375,29417
62,Holding,VERB,20.61599349975586,32000,Sostener,VERB,34.02357864379883,32000
63,a,DET,24.915454864501953,32000,los,DET,35.49701690673828,32000
64,chopsticks,NOUN,21.433908462524414,32000,palillos,NOUN,35.059837341308594,32000
65,is,AUX,22.136796951293945,32000,es,AUX,34.57183074951172,32000
66,little,ADJ,21.658628463745117,32000,un,DET,32.98577880859375,32000
67,bit,NOUN,21.60260581970215,32000,poco,PRON,31.991487503051758,32000
68,like,SCONJ,22.870840072631836,32000,como,SCONJ,32.45939254760742,32000
69,holding,VERB,21.890010833740234,32000,sostener,VERB,35.68583297729492,32000
70,a,DET,21.33055305480957,32000,un,DET,33.1936149597168,32000
71,pencil,NOUN,17.339385986328125,32000,lápiz,PROPN,31.950260162353516,32000
