,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Who,PRON,21.924007415771484,12927,¿,PUNCT,30.664159774780273,12927
1,do,AUX,24.259008407592773,12927,Quiénes,NOUN,32.01801681518555,12927
2,you,PRON,25.255338668823242,12927,0,0,0.0,0
3,want,VERB,25.33380889892578,12927,quieren,VERB,36.183528900146484,12927
4,to,PART,22.424022674560547,12927,0,0,0.0,0
5,be,AUX,24.752836227416992,12927,ser,AUX,35.562557220458984,12927
6,?,PUNCT,21.182897567749023,12927,?,PUNCT,33.871089935302734,12927
7,It,PRON,23.76590347290039,15317,0,0,0.0,0
8,'s,AUX,22.570724487304688,15317,Es,AUX,35.006736755371094,15317
9,a,DET,22.35137367248535,15317,una,DET,32.1655387878418,15317
10,simple,ADJ,22.654569625854492,15317,simple,ADJ,35.60820007324219,15317
11,question,NOUN,20.467161178588867,15317,pregunta,NOUN,33.5340690612793,15317
12,",",PUNCT,20.955074310302734,15317,muy,ADV,37.770896911621094,15317
13,and,CCONJ,20.430614471435547,17319,y,CONJ,34.526912689208984,17321
14,whether,SCONJ,20.02099609375,17319,aunque,SCONJ,34.57230758666992,17321
15,you,PRON,23.930612564086914,17319,",",PUNCT,29.97515106201172,17321
16,know,VERB,24.477310180664062,17319,sepan,VERB,35.20271682739258,17321
17,it,PRON,22.7332763671875,17319,lo,PRON,31.053991317749023,17321
18,or,CCONJ,20.783008575439453,17319,no,ADV,34.6040153503418,17321
19,not,PART,21.446884155273438,17319,0,0,0.0,0
20,",",PUNCT,21.29241371154785,17319,",",PUNCT,29.020288467407227,17321
21,you,PRON,22.503257751464844,19095,la,PRON,31.138181686401367,19101
22,answering,VERB,25.458932876586914,19095,responden,VERB,32.257606506347656,19101
23,'re,AUX,22.942964553833008,19095,todos,DET,31.95615005493164,19101
24,every,DET,22.200864791870117,19095,los,DET,35.96860885620117,19101
25,it,PRON,20.889371871948242,19095,días,NOUN,35.81206512451172,19101
26,0,0,0.0,0,a,ADP,32.98479461669922,19101
27,day,NOUN,22.959716796875,19095,través,NOUN,31.66695213317871,19101
28,through,ADP,21.20808219909668,19095,de,ADP,31.67502212524414,19101
29,your,DET,24.663644790649414,19095,sus,DET,32.60805892944336,19101
30,actions,NOUN,21.868181228637695,19095,acciones,NOUN,35.86054611206055,19101
31,.,PUNCT,20.803491592407227,19095,.,PUNCT,33.46218490600586,19101
32,This,DET,21.917577743530273,22971,Esta,DET,31.7390079498291,22971
33,question,NOUN,24.50946807861328,22971,pregunta,NOUN,33.50102615356445,22971
34,will,VERB,24.490198135375977,22971,definirá,VERB,34.536441802978516,22971
35,one,NUM,21.296724319458008,22971,su,DET,37.6957893371582,22971
36,success,NOUN,18.68012046813965,22971,éxito,NOUN,34.549652099609375,22971
37,professional,ADJ,19.15300178527832,22971,profesional,ADJ,33.89557647705078,22971
38,define,VERB,24.858829498291016,22971,más,ADV,35.379547119140625,27348
39,0,0,0.0,0,que,SCONJ,31.19913101196289,27348
40,your,DET,24.636775970458984,22971,ninguna,DET,36.31930923461914,27348
41,0,0,0.0,0,otra,PRON,32.202980041503906,27348
42,0,0,0.0,0,",",PUNCT,29.161930084228516,27348
43,because,SCONJ,20.125967025756836,29516,porque,SCONJ,35.08506774902344,29516
44,how,ADV,22.692058563232422,29516,la,DET,33.638851165771484,29516
45,show,VERB,23.011859893798828,29516,forma,NOUN,33.17096710205078,29516
46,up,ADP,22.015012741088867,29516,en,ADP,31.893444061279297,29516
47,you,PRON,23.83177947998047,29516,que,PRON,34.519752502441406,29516
48,and,CCONJ,21.8786563873291,29516,se,PRON,31.294347763061523,29516
49,treat,VERB,22.14235496520996,29516,muestran,VERB,36.371036529541016,29516
50,people,NOUN,20.252248764038086,29516,y,CONJ,32.12858200073242,29516
51,means,VERB,21.67573356628418,29516,tratan,VERB,34.74846649169922,29516
52,0,0,0.0,0,a,ADP,34.506500244140625,29516
53,0,0,0.0,0,los,DET,34.18194580078125,29516
54,everything,PRON,21.489948272705078,29516,demás,PRON,33.192447662353516,29516
55,.,PUNCT,22.596906661987305,29516,",",PUNCT,30.42314338684082,29516
56,0,0,0.0,0,lo,PRON,30.273698806762695,29516
57,0,0,0.0,0,es,AUX,31.545392990112305,29516
58,0,0,0.0,0,todo,PRON,33.72049331665039,29516
59,0,0,0.0,0,.,PUNCT,34.298194885253906,29516
60,Either,CCONJ,21.724197387695312,34116,Pueden,AUX,33.59172058105469,34116
61,lift,VERB,22.811187744140625,34116,ayudar,VERB,34.57395935058594,34116
62,up,ADP,22.103755950927734,34116,a,ADP,33.72969436645508,34116
63,you,PRON,25.077112197875977,34116,las,DET,34.342777252197266,34116
64,people,NOUN,22.592012405395508,34116,personas,NOUN,36.49687957763672,34116
65,by,ADP,21.10129737854004,34116,a,ADP,32.123207092285156,34116
66,respecting,VERB,25.140562057495117,34116,superarse,PROPN,32.440711975097656,34116
67,them,PRON,24.091102600097656,34116,respetándolas,NOUN,32.66810989379883,34116
68,",",PUNCT,20.80242347717285,34116,",",PUNCT,30.750362396240234,34116
