,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,There,PRON,21.767215728759766,12183,No,ADV,34.37800979614258,12183
1,are,AUX,25.09848976135254,12183,hay,AUX,35.61722183227539,12183
2,no,DET,24.29507064819336,12183,0,0,0.0,0
3,bad,ADJ,22.004817962646484,12183,malos,ADJ,32.15228271484375,12183
4,buttons,NOUN,23.216815948486328,12183,botones,NOUN,34.549068450927734,12183
5,",",PUNCT,21.9890193939209,12183,;,PUNCT,31.547822952270508,12183
6,there,PRON,23.780487060546875,12183,0,0,0.0,0
7,are,AUX,25.537233352661133,12183,hay,AUX,33.48606872558594,12183
8,only,ADV,24.079668045043945,12183,solo,ADV,33.46982955932617,12183
9,bad,ADJ,20.28726577758789,12183,malas,ADJ,35.06165313720703,12183
10,people,NOUN,22.18305206298828,12183,personas,NOUN,36.644012451171875,12183
11,.,PUNCT,22.22577667236328,12183,.,PUNCT,32.98352813720703,12183
12,How,ADV,22.332345962524414,14575,0,0,0.0,0
13,does,AUX,22.741546630859375,14575,De,ADP,33.23210525512695,14575
14,that,DET,22.046438217163086,14575,acuerdo,NOUN,33.288055419921875,14575
15,sound,VERB,21.652429580688477,14575,0,0,0.0,0
16,?,PUNCT,21.201019287109375,14575,?,PUNCT,31.841493606567383,14575
17,OK,INTJ,23.310197830200195,14575,0,0,0.0,0
18,?,PUNCT,20.813753128051758,14575,¿,PUNCT,30.587173461914062,14575
19,[,PUNCT,20.90171241760254,15602,[,PROPN,35.563655853271484,15796
20,.,PUNCT,20.67987632751465,15602,Cosa,PROPN,33.125770568847656,15796
21,Small,ADJ,23.28504180908203,15602,pequeña,ADJ,33.73557662963867,15796
22,],PUNCT,22.490388870239258,15602,.,PUNCT,32.982425689697266,15796
23,thing,NOUN,19.313457489013672,15602,],NOUN,31.751222610473633,15796
24,[,PUNCT,20.073740005493164,16822,[,PROPN,35.224082946777344,17018
25,idea,NOUN,21.456132888793945,16822,Idea,PROPN,31.853403091430664,17018
26,Big,ADJ,20.29944610595703,16822,grande,ADJ,30.4514217376709,17018
27,.,PUNCT,20.30303192138672,16822,.,PUNCT,34.73814010620117,17018
28,],PUNCT,22.544694900512695,16822,],ADJ,31.27239227294922,17018
29,[,PUNCT,20.14743995666504,19356,[,PROPN,35.8615837097168,19512
30,Isaac,PROPN,21.552061080932617,19356,Isaac,PROPN,35.26540756225586,19512
31,Mizrahi,PROPN,21.925142288208008,19356,Mizrahi,PROPN,34.42240524291992,19512
32,the,DET,22.62922477722168,19356,habla,VERB,34.54411315917969,19512
