,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,When,ADV,23.187259674072266,13162,Cuando,SCONJ,34.951698303222656,13162
1,I,PRON,24.290111541748047,13162,0,0,0.0,0
2,was,AUX,24.603778839111328,13162,era,AUX,34.19900894165039,13162
3,young,ADJ,21.788330078125,13162,joven,ADJ,33.12547302246094,13162
4,",",PUNCT,22.011302947998047,13162,",",PUNCT,29.72152328491211,13162
5,I,PRON,24.598371505737305,13162,me,PRON,33.22977066040039,13162
6,prided,VERB,25.3701171875,13162,enorgullecía,VERB,34.132564544677734,13162
7,myself,PRON,22.79941749572754,13162,ser,AUX,35.905906677246094,13162
8,as,SCONJ,24.18035316467285,13162,0,0,0.0,0
9,a,DET,21.335020065307617,13162,una,DET,34.737369537353516,13162
10,nonconformist,NOUN,17.84689712524414,13162,inconformista,NOUN,34.5833625793457,13162
11,in,ADP,21.354291915893555,17704,en,ADP,34.3465461730957,17704
12,the,DET,22.284923553466797,17704,la,DET,33.0639533996582,17704
13,conservative,ADJ,19.629470825195312,17704,conservadora,ADJ,32.82511901855469,17704
14,U.S.,PROPN,22.504478454589844,17704,comunidad,NOUN,31.217042922973633,17704
15,state,NOUN,17.293378829956055,17704,estado,NOUN,33.58221435546875,17704
16,I,PRON,25.396257400512695,17704,donde,PRON,32.102821350097656,17704
17,live,VERB,23.19873809814453,17704,vivo,VERB,32.500221252441406,17704
18,in,ADP,20.001840591430664,17704,del,ADP,33.72591018676758,17704
19,",",PUNCT,19.667842864990234,17704,",",PUNCT,28.87209701538086,17704
20,Kansas,PROPN,21.45101547241211,17704,Kansas,PROPN,33.94520950317383,17704
21,.,PUNCT,20.430452346801758,17704,.,PUNCT,31.501415252685547,17704
22,I,PRON,24.859228134155273,22429,No,ADV,32.448219299316406,22429
23,did,AUX,24.19482421875,22429,0,0,0.0,0
24,n't,PART,23.955915451049805,22429,0,0,0.0,0
25,follow,VERB,21.873754501342773,22429,seguía,VERB,35.01019287109375,22429
26,along,ADP,19.952224731445312,22429,al,ADP,34.41864776611328,22429
27,with,ADP,21.152767181396484,22429,0,0,0.0,0
28,the,DET,21.853042602539062,22429,0,0,0.0,0
29,crowd,NOUN,17.271347045898438,22429,rebaño,NOUN,32.33964920043945,22429
30,.,PUNCT,21.683868408203125,22429,.,PUNCT,31.225309371948242,22429
31,I,PRON,24.506338119506836,24742,No,ADV,32.670875549316406,24742
32,was,AUX,23.845182418823242,24742,tenía,VERB,35.91049575805664,24742
33,n't,PART,25.318559646606445,24742,a,ADP,34.80288314819336,24742
34,afraid,ADJ,20.856853485107422,24742,peinados,ADJ,34.657344818115234,24742
35,to,PART,22.703920364379883,24742,",",PUNCT,32.7607307434082,24742
36,try,VERB,26.940736770629883,24742,probar,VERB,35.89811706542969,24742
37,weird,ADJ,20.63036346435547,24742,modas,ADJ,35.28806686401367,24742
38,clothing,NOUN,20.29726791381836,24742,miedo,NOUN,33.82411575317383,24742
39,trends,NOUN,20.222869873046875,24742,tendencias,NOUN,33.73788070678711,24742
40,or,CCONJ,23.372928619384766,24742,o,CONJ,33.264503479003906,24742
41,hairstyles,NOUN,19.125904083251953,24742,extraños,ADJ,34.743408203125,24742
42,.,PUNCT,20.439735412597656,24742,.,PUNCT,32.528324127197266,24742
43,I,PRON,25.171293258666992,28173,Hablaba,VERB,33.63620376586914,28172
44,was,AUX,24.940704345703125,28173,era,AUX,34.825496673583984,28172
45,outspoken,ADJ,20.109458923339844,28173,libremente,ADV,34.02737808227539,28172
46,and,CCONJ,21.40960693359375,28173,y,CONJ,33.5760498046875,28172
47,extremely,ADV,24.31783103942871,28173,muy,ADV,37.56391906738281,28172
48,social,ADJ,21.243009567260742,28173,sociable,ADJ,36.563350677490234,28172
49,.,PUNCT,22.49740982055664,28173,.,PUNCT,32.84110641479492,28172
50,Even,ADV,22.172426223754883,31762,Incluso,ADV,35.65693664550781,31762
51,these,DET,22.0526123046875,31762,estas,DET,35.014060974121094,31762
52,pictures,NOUN,20.413347244262695,31762,fotos,NOUN,33.981285095214844,31762
53,and,CCONJ,24.373504638671875,31762,y,CONJ,34.39246368408203,31762
54,postcards,NOUN,21.525047302246094,31762,postales,ADJ,34.50123596191406,31762
55,of,ADP,23.100494384765625,31762,0,0,0.0,0
56,my,DET,20.283281326293945,31762,0,0,0.0,0
57,London,PROPN,20.54102897644043,31762,0,0,0.0,0
58,semester,NOUN,21.76779556274414,31762,0,0,0.0,0
59,abroad,ADV,20.249271392822266,31762,0,0,0.0,0
60,16,NUM,23.725479125976562,31762,0,0,0.0,0
61,years,NOUN,23.888750076293945,31762,0,0,0.0,0
62,ago,ADV,20.6029052734375,31762,0,0,0.0,0
63,show,VERB,21.390344619750977,38093,prueban,VERB,34.0665283203125,38093
64,that,SCONJ,19.081554412841797,38093,que,SCONJ,31.158273696899414,38093
65,I,PRON,24.047100067138672,38093,",",PUNCT,30.254053115844727,38093
66,obviously,ADV,24.95939064025879,38093,obviamente,ADV,32.27629089355469,38093
67,did,AUX,24.38616180419922,38093,",",PUNCT,30.110214233398438,38093
68,n't,PART,23.304086685180664,38093,no,ADV,32.87858581542969,38093
69,care,VERB,21.0689754486084,38093,importaba,VERB,34.234046936035156,38093
70,if,SCONJ,20.4627742767334,38093,que,SCONJ,32.373287200927734,38093
71,I,PRON,24.575639724731445,38093,me,PRON,33.498382568359375,38093
72,was,AUX,24.699443817138672,38093,me,PRON,33.31064987182617,38093
73,perceived,VERB,22.510522842407227,38093,vieran,VERB,35.44838333129883,38093
74,as,SCONJ,21.646808624267578,38093,o,CONJ,34.05514144897461,38093
75,weird,ADJ,20.46834373474121,38093,extraña,ADJ,31.097049713134766,38093
76,or,CCONJ,21.018709182739258,38093,0,0,0.0,0
77,different,ADJ,19.27029037475586,38093,diferente,ADJ,32.74614334106445,38093
78,.,PUNCT,22.659578323364258,38093,.,PUNCT,32.958927154541016,38093
79,(,PUNCT,19.138301849365234,44097,(,PUNCT,28.748825073242188,44097
80,Laughter,PROPN,20.165264129638672,44097,Risas,PROPN,34.865478515625,44097
81,),PUNCT,20.96363067626953,44097,),PUNCT,32.331058502197266,44097
82,But,CCONJ,20.432138442993164,46681,Pero,CONJ,34.7582893371582,46681
83,that,DET,21.256206512451172,46681,aquel,DET,33.372596740722656,46681
84,same,ADJ,22.868629455566406,46681,mismo,DET,35.195919036865234,46681
85,year,NOUN,18.829450607299805,46681,año,NOUN,32.63047409057617,46681
86,I,PRON,23.775449752807617,46681,0,0,0.0,0
87,was,AUX,24.00521469116211,46681,hace,AUX,36.59737014770508,46681
88,in,ADP,19.619487762451172,46681,en,ADP,32.761905670166016,46681
89,London,PROPN,21.847057342529297,46681,Londres,PROPN,36.211978912353516,46681
90,",",PUNCT,22.70833969116211,46681,",",PUNCT,29.98777198791504,46681
91,16,NUM,22.86376190185547,46681,16,NUM,36.3942985534668,46681
92,years,NOUN,24.073720932006836,46681,años,NOUN,35.70884323120117,46681
93,ago,ADV,20.530986785888672,46681,0,0,0.0,0
94,",",PUNCT,21.70016860961914,46681,",",PUNCT,31.124711990356445,46681
95,realized,VERB,25.733989715576172,51290,descubrí,VERB,32.23469924926758,51290
96,I,PRON,23.90738868713379,51290,algo,PRON,35.507904052734375,51290
97,about,ADP,20.123130798339844,51290,sobre,ADP,33.6097526550293,51290
98,something,PRON,21.918039321899414,51290,mí,PRON,32.35224151611328,51290
99,myself,PRON,21.407955169677734,51290,misma,PRON,33.264732360839844,51290
100,that,DET,17.53535270690918,51290,que,SCONJ,34.965232849121094,51290
101,actually,ADV,23.23342514038086,51290,en,ADP,33.729736328125,51290
102,somewhat,ADV,23.80338478088379,51290,realidad,NOUN,33.07329559326172,51290
103,was,AUX,23.100034713745117,51290,era,AUX,31.91470718383789,51290
104,0,0,0.0,0,algo,PRON,32.4683723449707,51290
105,unique,ADJ,19.055801391601562,51290,único,ADJ,31.564800262451172,51290
106,",",PUNCT,20.210485458374023,51290,",",PUNCT,30.47183609008789,51290
107,and,CCONJ,18.430233001708984,56699,y,CONJ,33.05704879760742,56699
108,that,DET,19.881446838378906,56699,eso,PRON,35.054012298583984,56699
109,everything,PRON,21.005205154418945,56699,lo,PRON,32.33243179321289,56699
110,changed,VERB,20.642318725585938,56699,cambió,VERB,36.13555145263672,56699
111,0,0,0.0,0,todo,PRON,33.372859954833984,56699
112,.,PUNCT,22.212034225463867,56699,.,PUNCT,32.96979522705078,56699
113,I,PRON,24.851547241210938,61169,Me,PRON,32.423316955566406,61169
114,became,VERB,26.696842193603516,61169,convertí,NOUN,36.57122039794922,61169
115,the,DET,21.46925926208496,61169,lo,DET,31.984792709350586,61169
116,opposite,NOUN,18.308425903320312,61169,contrario,NOUN,32.488037109375,61169
117,of,ADP,21.77457046508789,61169,en,ADP,30.990432739257812,61169
118,who,PRON,23.082693099975586,61169,de,ADP,29.76275634765625,61169
119,I,PRON,25.331981658935547,61169,lo,DET,33.55717849731445,61169
120,thought,VERB,24.694080352783203,61169,creía,VERB,35.7999382019043,61169
121,I,PRON,23.458751678466797,61169,que,PRON,33.34669494628906,61169
122,once,ADV,21.327999114990234,61169,que,SCONJ,32.666160583496094,61169
123,was,AUX,23.584823608398438,61169,era,AUX,33.9984016418457,61169
124,.,PUNCT,20.55734634399414,61169,.,PUNCT,32.64857482910156,61169
125,I,PRON,25.689496994018555,65079,Me,PRON,30.743724822998047,65079
126,stayed,VERB,23.552886962890625,65079,quedaba,VERB,35.59627151489258,65079
127,in,ADP,20.404186248779297,65079,en,ADP,35.317832946777344,65079
128,my,DET,23.058513641357422,65079,mi,DET,34.6277961730957,65079
129,room,NOUN,18.840211868286133,65079,habitación,NOUN,31.679471969604492,65079
130,instead,ADV,21.248868942260742,65079,en,ADP,32.95736312866211,65079
131,0,0,0.0,0,lugar,NOUN,31.483579635620117,65079
132,of,ADP,23.34183692932129,65079,de,ADP,30.376745223999023,65079
133,socializing,VERB,21.012788772583008,65079,socializar,VERB,35.21700668334961,65079
134,.,PUNCT,22.603240966796875,65079,.,PUNCT,33.492733001708984,65079
135,stopped,VERB,25.349592208862305,68005,Dejé,VERB,32.556087493896484,68005
136,I,PRON,24.890127182006836,68005,de,ADP,31.927024841308594,68005
137,0,0,0.0,0,ser,AUX,38.68486022949219,68005
138,clubs,NOUN,19.93132781982422,68005,socia,NOUN,32.93861770629883,68005
139,in,ADP,20.99009895324707,68005,de,ADP,32.043209075927734,68005
140,leadership,NOUN,18.9112548828125,68005,clubes,NOUN,33.40415573120117,68005
141,and,CCONJ,23.90481948852539,68005,y,CONJ,34.421016693115234,68005
142,engaging,VERB,22.891969680786133,68005,participar,VERB,37.12698745727539,68005
