,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.852218627929688,12863,Estoy,VERB,32.935089111328125,12863
1,am,AUX,22.362930297851562,12863,de,ADP,33.91802215576172,12863
2,so,ADV,24.441513061523438,12863,muy,ADV,38.44525909423828,12863
3,excited,ADJ,22.48121452331543,12863,emocionada,ADJ,35.91997528076172,12863
4,to,PART,21.43803596496582,12863,estar,VERB,35.7638053894043,12863
5,be,AUX,22.034412384033203,12863,.,PUNCT,32.862281799316406,12863
6,here,ADV,20.497507095336914,12863,aquí,ADV,36.00933837890625,12863
7,.,PUNCT,23.170656204223633,12863,.,PUNCT,30.538484573364258,15876
8,Everything,PRON,22.3599853515625,15876,Todo,PRON,33.26244354248047,15876
9,in,ADP,20.84153938293457,15876,en,ADP,33.44491195678711,15876
10,America,PROPN,24.14864158630371,15876,EE.UU,PROPN,34.31974411010742,15876
11,is,AUX,22.735246658325195,15876,es,AUX,36.17973327636719,15876
12,so,ADV,24.3265438079834,15876,mucho,ADV,33.3792724609375,15876
13,much,ADV,25.075382232666016,15876,más,ADV,36.43484878540039,15876
14,bigger,ADJ,23.797813415527344,15876,grande,ADJ,36.506656646728516,15876
15,than,SCONJ,20.701648712158203,15876,que,SCONJ,32.21856689453125,15876
16,in,ADP,18.94451141357422,15876,en,ADP,31.714290618896484,15876
17,Europe,PROPN,23.74959945678711,15876,Europa,PROPN,37.78485870361328,15876
18,.,PUNCT,19.649606704711914,15876,.,PUNCT,31.879308700561523,15876
19,Look,VERB,21.958433151245117,18704,Mírenme,PROPN,33.64712142944336,18704
20,at,ADP,23.03179931640625,18704,",",PUNCT,30.467525482177734,18704
21,me,PRON,23.873289108276367,18704,¡,PUNCT,33.75321578979492,18704
22,--,PUNCT,20.704069137573242,18704,!,PUNCT,31.334716796875,18704
23,I,PRON,24.733369827270508,18704,enorme,ADJ,33.521854400634766,18704
24,am,AUX,23.489944458007812,18704,soy,AUX,34.525047302246094,18704
25,huge,ADJ,21.68361473083496,18704,fantástico,ADJ,33.94149398803711,22385
26,!,PUNCT,22.824708938598633,18704,(,PUNCT,28.748825073242188,20700
27,(,PUNCT,19.138301849365234,20700,),PUNCT,32.331058502197266,20700
28,Laughter,PROPN,20.165264129638672,20700,Risas,PROPN,34.865478515625,20700
29,),PUNCT,20.96363067626953,20700,¡,PUNCT,32.779842376708984,22385
30,It,PRON,23.057220458984375,22385,Y,CONJ,33.2021484375,23559
31,'s,AUX,23.58927345275879,22385,Es,AUX,33.422306060791016,22385
32,fantastic,ADJ,19.542722702026367,22385,las,DET,33.838050842285156,23559
33,!,PUNCT,21.154897689819336,22385,!,PUNCT,29.58338165283203,22385
34,And,CCONJ,20.31448745727539,23559,charlas,NOUN,32.578094482421875,23559
