,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Good,ADJ,19.97646713256836,12914,Buenas,ADJ,31.60068130493164,12914
1,afternoon,NOUN,18.09940528869629,12914,tardes,NOUN,34.21323776245117,12914
2,.,PUNCT,20.965017318725586,12914,.,PUNCT,33.01323318481445,12914
3,My,DET,23.873327255249023,14241,Mi,DET,31.839008331298828,14241
4,name,NOUN,21.03722381591797,14241,nombre,NOUN,32.09382629394531,14241
5,is,AUX,23.520505905151367,14241,es,AUX,30.228681564331055,14241
6,Uldus,PROPN,21.553443908691406,14241,Uldus,PROPN,35.188499450683594,14241
7,.,PUNCT,20.5179443359375,14241,.,PUNCT,32.49277877807617,14241
8,I,PRON,25.75601577758789,15782,0,0,0.0,0
9,am,AUX,23.863059997558594,15782,Soy,AUX,30.74224853515625,15782
10,a,DET,22.681398391723633,15782,fotográfica,ADJ,34.59484100341797,15782
11,photo,NOUN,19.791372299194336,15782,artista,NOUN,34.21915054321289,15782
12,-,PUNCT,23.383224487304688,15782,.,PUNCT,31.775171279907227,15782
13,based,VERB,24.415456771850586,15782,0,0,0.0,0
14,artist,NOUN,22.423460006713867,15782,0,0,0.0,0
15,from,ADP,23.333215713500977,15782,de,ADP,31.03406524658203,15782
16,Russia,PROPN,23.455726623535156,15782,Rusia,PROPN,37.067378997802734,15782
17,.,PUNCT,20.620241165161133,15782,0,0,0.0,0
18,I,PRON,25.3117618560791,19755,unos,PRON,30.991676330566406,19755
19,started,VERB,24.339799880981445,19755,hace,AUX,35.900550842285156,19755
20,my,DET,23.128202438354492,19755,Comencé,PROPN,32.50676345825195,19755
21,way,NOUN,20.627490997314453,19755,años,NOUN,34.625022888183594,19755
22,around,ADV,20.845273971557617,19755,atrás,ADV,34.7598991394043,19755
23,six,NUM,23.168642044067383,19755,6,NUM,36.33584976196289,19755
24,years,NOUN,24.35388946533203,19755,0,0,0.0,0
25,ago,ADV,20.735361099243164,19755,0,0,0.0,0
26,with,ADP,21.375381469726562,22784,con,ADP,34.09114456176758,22784
27,ironic,ADJ,20.19857406616211,22784,irónicos,ADJ,34.40121841430664,22784
28,self,NOUN,20.49510955810547,22784,autorretratos,NOUN,33.98980712890625,22784
29,-,PUNCT,22.430667877197266,22784,0,0,0.0,0
30,portraits,NOUN,19.899169921875,22784,0,0,0.0,0
31,to,PART,21.289413452148438,25810,para,ADP,35.94353485107422,25810
32,lay,VERB,22.52609634399414,25810,exponer,VERB,35.671043395996094,25810
33,open,ADJ,17.232357025146484,25810,muchos,DET,34.92752456665039,25810
34,so,ADV,21.730375289916992,25810,0,0,0.0,0
35,many,ADJ,19.787818908691406,25810,0,0,0.0,0
36,stereotypes,NOUN,19.018779754638672,25810,estereotipos,NOUN,35.675575256347656,25810
37,about,ADP,19.204530715942383,28780,de,ADP,29.83315658569336,28780
38,nationalities,NOUN,21.81104278564453,28780,nacionalidades,NOUN,34.4750862121582,28780
39,",",PUNCT,24.231853485107422,28780,",",PUNCT,30.642213821411133,28780
40,genders,NOUN,19.132612228393555,28780,géneros,NOUN,33.12613296508789,28780
41,",",PUNCT,20.558948516845703,28780,",",PUNCT,32.042449951171875,28780
42,and,CCONJ,20.984420776367188,32222,y,CONJ,33.77796936035156,32222
43,issues,NOUN,21.659259796142578,32222,temas,NOUN,32.72590255737305,32222
44,social,ADJ,19.096227645874023,32222,sociales,ADJ,35.72013854980469,32222
45,,PROPN,19.440322875976562,32222,.,PUNCT,33.076881408691406,32222
46,[,PUNCT,20.163408279418945,33662,"""",PUNCT,28.989112854003906,33662
47,"""",PUNCT,20.346084594726562,33662,.,PUNCT,32.07710266113281,33662
48,I,PRON,24.234600067138672,33662,Rusa,PROPN,32.197509765625,33662
49,am,AUX,22.604206085205078,33662,[,PROPN,34.89726638793945,33662
50,Russian,ADJ,20.746400833129883,33662,¡,PUNCT,33.62023162841797,33662
51,.,PUNCT,21.84156036376953,33662,",",PUNCT,30.62179946899414,33662
52,I,PRON,24.429588317871094,33662,drogas,NOUN,34.56672668457031,33662
53,sell,VERB,23.930673599243164,33662,Vendo,VERB,32.95682907104492,33662
54,drugs,NOUN,21.679338455200195,33662,armas,NOUN,31.311973571777344,33662
55,",",PUNCT,23.458091735839844,33662,",",PUNCT,32.37295913696289,33662
56,guns,NOUN,20.159019470214844,33662,porno,NOUN,32.05284118652344,33662
57,",",PUNCT,23.103347778320312,33662,!,PUNCT,29.579833984375,33662
58,porno,NOUN,19.61600685119629,33662,niños,NOUN,34.15463638305664,33662
59,with,ADP,22.804332733154297,33662,con,ADP,32.34059143066406,33662
60,kids,NOUN,21.52787971496582,33662,Vodka,PROPN,33.480342864990234,33662
61,!,PUNCT,19.926359176635742,33662,"""",PUNCT,29.8040714263916,33662
62,"""",PUNCT,22.00722312927246,33662,"""",PUNCT,31.670867919921875,33662
63,],PUNCT,22.89681625366211,33662,=,PUNCT,28.762897491455078,33662
64,[,PUNCT,19.453388214111328,33662,.,PUNCT,32.89918518066406,33662
65,"""",PUNCT,20.18301773071289,33662,¡,PUNCT,32.11025619506836,33662
66,Vodka,NOUN,23.681032180786133,33662,agua,NOUN,29.242599487304688,33662
67,=,SYM,19.500408172607422,33662,0,0,0.0,0
68,water,NOUN,18.97811508178711,33662,0,0,0.0,0
69,.,PUNCT,20.47083282470703,33662,!,PUNCT,30.37978172302246,33662
70,I,PRON,24.187156677246094,33662,Me,PRON,31.410051345825195,33662
71,love,VERB,20.90440559387207,33662,encanta,VERB,32.8580207824707,33662
72,vodka,NOUN,18.737163543701172,33662,],ADJ,29.620512008666992,33662
73,!,PUNCT,22.15361976623535,33662,"""",PUNCT,32.79819869995117,33662
74,"""",PUNCT,22.827388763427734,33662,0,0,0.0,0
75,],PUNCT,22.350492477416992,33662,0,0,0.0,0
76,(,PUNCT,19.91844940185547,33662,0,0,0.0,0
77,Laughter,PROPN,19.490644454956055,33662,0,0,0.0,0
78,),PUNCT,20.732900619506836,33662,0,0,0.0,0
79,,PROPN,22.000648498535156,33662,0,0,0.0,0
80,using,VERB,23.036800384521484,36665,mandar,VERB,36.03984832763672,36665
81,photography,NOUN,20.491992950439453,36665,fotos,NOUN,33.89474105834961,36665
82,as,SCONJ,22.47040557861328,36665,Uso,DET,26.680255889892578,36665
83,my,DET,20.51349639892578,36665,las,DET,33.31695556640625,36665
84,tool,NOUN,20.8686580657959,36665,mensaje,NOUN,34.7510986328125,36665
85,to,PART,22.923812866210938,36665,para,ADP,36.39192199707031,36665
86,send,VERB,24.010976791381836,36665,[,VERB,34.91180419921875,36665
87,a,DET,21.14510154724121,36665,un,DET,37.11006546020508,36665
88,message,NOUN,19.808631896972656,36665,Casémonos,PROPN,34.65834045410156,36665
89,.,PUNCT,21.735910415649414,36665,"""",PUNCT,29.130102157592773,36665
90,[,PUNCT,19.981979370117188,36665,.,PUNCT,32.04668045043945,36665
91,"""",PUNCT,20.209461212158203,36665,",",PUNCT,31.99146842956543,36665
92,Marry,VERB,18.087017059326172,36665,necesito,VERB,31.300920486450195,36665
93,me,PRON,23.575923919677734,36665,0,0,0.0,0
94,",",PUNCT,22.044708251953125,36665,"""",PUNCT,34.05936050415039,36665
95,I,PRON,25.14370346069336,36665,0,0,0.0,0
96,need,VERB,24.526084899902344,36665,],ADJ,29.745990753173828,36665
97,a,DET,22.99650764465332,36665,una,DET,32.64524459838867,36665
98,visa,NOUN,19.66053009033203,36665,visa,NOUN,30.874549865722656,36665
99,.,PUNCT,20.484548568725586,36665,0,0,0.0,0
100,"""",PUNCT,22.38924789428711,36665,0,0,0.0,0
101,],PUNCT,21.874418258666992,36665,0,0,0.0,0
102,Today,NOUN,22.384925842285156,41233,Hoy,ADV,35.92362976074219,41233
103,",",PUNCT,20.946401596069336,41233,",",PUNCT,30.518356323242188,41233
104,I,PRON,24.67256736755371,41233,todavía,ADV,32.175071716308594,41233
105,am,AUX,23.348241806030273,41233,estoy,AUX,36.57436752319336,41233
106,performing,VERB,25.340042114257812,41233,actuando,VERB,34.68083190917969,41233
107,still,ADV,24.66961669921875,41233,frente,ADV,33.042518615722656,41233
108,in,ADP,22.436697006225586,41233,la,DET,33.8585205078125,41233
109,front,NOUN,20.434532165527344,41233,cámara,NOUN,33.268280029296875,41233
110,0,0,0.0,0,tratando,AUX,34.737388610839844,44314
111,of,ADP,22.163951873779297,41233,de,ADP,32.110450744628906,44314
112,camera,NOUN,18.30483627319336,41233,ser,AUX,36.84966278076172,44314
113,0,0,0.0,0,valiente,ADJ,34.57094192504883,44314
114,0,0,0.0,0,como,SCONJ,35.0463752746582,44314
115,the,DET,20.814008712768555,41233,la,DET,31.621990203857422,44314
116,0,0,0.0,0,Mujer,PROPN,34.51959991455078,44314
117,0,0,0.0,0,Maravilla,PROPN,34.72157669067383,44314
118,0,0,0.0,0,.,PUNCT,32.51811218261719,44314
119,I,PRON,24.96943473815918,48162,Me,PRON,28.941377639770508,48162
120,focus,VERB,22.36418914794922,48162,dedico,VERB,34.21284103393555,48162
121,on,ADP,21.930416107177734,48162,a,ADP,32.874610900878906,48162
122,balancing,VERB,23.18181800842285,48162,cuadrar,VERB,36.28816223144531,48162
123,0,0,0.0,0,un,DET,37.937477111816406,48162
124,message,NOUN,16.556734085083008,48162,mensaje,NOUN,35.55211639404297,48162
125,meaningful,ADJ,19.275920867919922,48162,significativo,ADJ,35.32883071899414,48162
126,",",PUNCT,20.74951171875,48162,:,PUNCT,31.468204498291016,48162
127,aesthetic,ADJ,19.44025993347168,51840,estética,NOUN,29.01824378967285,51840
128,",",PUNCT,21.652061462402344,51840,",",PUNCT,31.656475067138672,51840
129,beauty,NOUN,18.92875862121582,51840,belleza,NOUN,30.54193687438965,51840
130,",",PUNCT,22.806297302246094,51840,",",PUNCT,31.76936912536621,51840
131,composition,NOUN,20.213747024536133,51840,composición,NOUN,30.289108276367188,51840
132,",",PUNCT,21.512500762939453,51840,",",PUNCT,31.561616897583008,51840
133,some,DET,21.42576026916504,51840,un,DET,31.45360565185547,51840
134,0,0,0.0,0,poco,PRON,33.80348587036133,51840
135,and,CCONJ,21.30523681640625,51840,de,ADP,29.44612693786621,51840
136,irony,NOUN,18.916440963745117,51840,ironía,NOUN,30.938770294189453,51840
137,",",PUNCT,22.975614547729492,51840,",",PUNCT,30.828588485717773,51840
138,0,0,0.0,0,y,CONJ,33.61874008178711,51840
139,artifacts,NOUN,18.065654754638672,51840,artefactos,NOUN,32.80754089355469,51840
140,.,PUNCT,21.222108840942383,51840,.,PUNCT,33.25113296508789,51840
141,Today,NOUN,22.45442771911621,57870,proyecto,NOUN,31.656169891357422,57870
142,",",PUNCT,21.07815933227539,57870,",",PUNCT,29.04388427734375,57870
143,I,PRON,24.56340980529785,57870,Les,PRON,29.82930564880371,57870
144,'m,AUX,23.108545303344727,57870,0,0,0.0,0
145,going,VERB,24.845073699951172,57870,contaré,VERB,34.52201843261719,57870
146,to,PART,22.6095027923584,57870,0,0,0.0,0
147,tell,VERB,25.05712890625,57870,0,0,0.0,0
148,you,PRON,25.121458053588867,57870,0,0,0.0,0
149,about,ADP,22.47319793701172,57870,de,ADP,31.557357788085938,57870
150,my,DET,21.226654052734375,57870,mi,DET,33.68537139892578,57870
151,project,NOUN,18.827695846557617,57870,0,0,0.0,0
