,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Let,VERB,23.332767486572266,12714,¿,PUNCT,30.7216796875,16102
1,all,DET,19.57095718383789,12714,Qué,DET,32.309242248535156,16102
2,me,PRON,25.60826301574707,12714,cantidad,NOUN,35.518028259277344,16102
3,you,PRON,24.05864143371582,12714,de,ADP,31.130094528198242,16102
4,question,NOUN,21.50273323059082,12714,armamento,NOUN,31.47905158996582,16102
5,a,DET,20.83829116821289,12714,nuclear,ADJ,33.126197814941406,16102
6,ask,VERB,24.333528518676758,12714,creen,VERB,36.4165153503418,16102
7,.,PUNCT,22.01375961303711,12714,que,SCONJ,33.38383865356445,16102
8,0,0,0.0,0,sería,AUX,32.82590866088867,16102
9,0,0,0.0,0,necesaria,ADJ,32.63267135620117,16102
10,How,ADV,22.24271583557129,16282,para,ADP,36.36775207519531,19990
11,much,ADJ,23.212356567382812,16282,acabar,VERB,36.432559967041016,19990
12,weapons,NOUN,20.720603942871094,16282,con,ADP,32.883846282958984,19990
13,-,PUNCT,20.605411529541016,16282,una,DET,35.471839904785156,19990
14,grade,NOUN,19.99004364013672,16282,ciudad,NOUN,33.28746032714844,19990
15,nuclear,ADJ,19.01032257080078,16282,del,ADP,34.55715560913086,19990
16,material,NOUN,19.000938415527344,16282,tamaño,NOUN,31.739131927490234,19990
17,do,AUX,21.237764358520508,16282,de,ADP,29.255847930908203,19990
18,you,PRON,24.423843383789062,16282,San,PROPN,36.02811050415039,19990
19,think,VERB,21.653606414794922,16282,Francisco,PROPN,37.70783615112305,19990
20,it,PRON,24.61699867248535,16282,?,PUNCT,32.263797760009766,19990
21,would,VERB,25.253568649291992,16282,0,0,0.0,0
22,take,VERB,26.350046157836914,16282,0,0,0.0,0
23,to,PART,22.960119247436523,20170,¿,PUNCT,30.24479866027832,23374
24,level,VERB,21.595163345336914,20170,creen,VERB,36.15403366088867,23374
25,a,DET,21.913415908813477,20170,que,SCONJ,33.61935043334961,23374
26,city,NOUN,21.259387969970703,20170,Cuántos,NOUN,28.259986877441406,23374
27,the,DET,21.080772399902344,20170,la,DET,34.2302131652832,23374
28,size,NOUN,19.051307678222656,20170,cantidad,NOUN,32.07522964477539,23374
29,of,ADP,20.756261825561523,20170,sería,AUX,33.85271072387695,23374
30,San,PROPN,21.61618995666504,20170,0,0,0.0,0
31,Francisco,PROPN,21.664737701416016,20170,0,0,0.0,0
32,?,PUNCT,20.417572021484375,20170,0,0,0.0,0
33,How,ADV,22.205881118774414,23554,del,ADP,35.325523376464844,25430
34,many,ADJ,22.86745262145996,23554,aproximada,ADJ,34.58436965942383,25430
35,of,ADP,22.24178695678711,23554,de,ADP,30.868083953857422,25430
36,you,PRON,23.262264251708984,23554,tamaño,NOUN,30.492250442504883,25430
37,think,VERB,21.59504508972168,23554,0,0,0.0,0
38,it,PRON,24.87262535095215,23554,0,0,0.0,0
39,would,VERB,25.698896408081055,23554,?,PUNCT,32.752681732177734,25430
40,be,AUX,24.715190887451172,23554,0,0,0.0,0
41,an,DET,22.4255313873291,23554,esta,DET,34.28092575073242,25430
42,amount,NOUN,18.694805145263672,23554,maleta,NOUN,34.26182174682617,25430
43,0,0,0.0,0,Bien,ADV,33.08118438720703,29505
44,the,DET,20.020795822143555,25610,.,PUNCT,30.433382034301758,29505
45,0,0,0.0,0,Y,CONJ,34.54563903808594,29505
46,?,PUNCT,21.369285583496094,25610,¿,PUNCT,29.277217864990234,29505
47,size,NOUN,17.261991500854492,25610,cuántos,NOUN,32.01089096069336,29505
48,of,ADP,21.68585205078125,25610,del,ADP,34.290992736816406,29505
49,suitcase,NOUN,18.695663452148438,25610,tamaño,NOUN,31.306705474853516,29505
50,about,ADP,19.32796287536621,25610,de,ADP,29.341083526611328,29505
51,this,DET,23.401901245117188,25610,este,DET,34.91279983520508,29505
52,0,0,0.0,0,minibús,NOUN,32.356388092041016,29505
53,0,0,0.0,0,?,PUNCT,32.26988220214844,29505
54,OK,INTJ,24.48457145690918,29685,0,0,0.0,0
55,.,PUNCT,19.362760543823242,29685,.,PUNCT,31.7576847076416,34147
56,And,CCONJ,20.277124404907227,29685,0,0,0.0,0
57,how,ADV,22.344799041748047,29685,Bien,ADV,32.94222640991211,34147
58,about,ADP,21.17014503479004,29685,0,0,0.0,0
59,this,DET,21.492122650146484,29685,0,0,0.0,0
60,minibus,NOUN,19.364444732666016,29685,0,0,0.0,0
61,?,PUNCT,19.75472068786621,29685,0,0,0.0,0
62,All,ADV,21.646162033081055,34327,Bueno,INTJ,33.63453674316406,35044
63,.,PUNCT,21.333332061767578,34327,",",PUNCT,29.709171295166016,35044
64,right,ADV,21.966060638427734,34327,en,ADP,34.4871940612793,35044
65,0,0,0.0,0,realidad,NOUN,31.85425567626953,35044
66,0,0,0.0,0,",",PUNCT,28.700313568115234,35044
67,0,0,0.0,0,en,ADP,32.90536880493164,35044
68,0,0,0.0,0,las,DET,33.06657028198242,35044
69,0,0,0.0,0,circunstancias,NOUN,36.37031173706055,35044
70,0,0,0.0,0,adecuadas,ADJ,34.21025085449219,35044
71,0,0,0.0,0,",",PUNCT,30.59646987915039,35044
72,Well,INTJ,22.489843368530273,35504,la,DET,34.661563873291016,37582
73,",",PUNCT,20.439790725708008,35504,cantidad,NOUN,32.378726959228516,37582
74,under,ADP,22.489086151123047,35504,de,ADP,30.07976722717285,37582
75,0,0,0.0,0,uranio,NOUN,31.759857177734375,37582
76,actually,ADV,22.754234313964844,35504,muy,ADV,36.00178909301758,37582
77,right,ADJ,19.063974380493164,35504,enriquecido,ADJ,36.58493423461914,37582
