,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.88555908203125,15838,tal,PRON,33.1982307434082,15838
1,'m,AUX,23.127161026000977,15838,Soy,AUX,32.588871002197266,15838
2,a,DET,23.54450225830078,15838,neurocientífica,ADJ,31.172954559326172,15838
3,brain,NOUN,20.715700149536133,15838,y,CONJ,31.636220932006836,15838
4,scientist,NOUN,20.877012252807617,15838,interesa,VERB,34.598419189453125,18935
5,",",PUNCT,21.460126876831055,15838,",",PUNCT,31.191307067871094,15838
6,and,CCONJ,20.09845542907715,15838,me,PRON,33.39555740356445,18935
7,as,SCONJ,21.946012496948242,15838,como,SCONJ,35.41092300415039,15838
8,a,DET,24.286792755126953,15838,el,DET,35.743011474609375,18935
9,brain,NOUN,20.584196090698242,15838,saber,VERB,32.277679443359375,18935
10,scientist,NOUN,20.98287010192871,15838,cerebro,NOUN,30.69730567932129,18935
11,",",PUNCT,21.297245025634766,15838,",",PUNCT,30.369449615478516,18935
12,I,PRON,24.330760955810547,18935,cómo,PRON,36.31438064575195,18935
13,'m,AUX,22.71150779724121,18935,aprende,VERB,32.53852462768555,18935
14,actually,ADV,27.472829818725586,18935,y,CONJ,31.202640533447266,22007
15,interested,ADJ,21.65568733215332,18935,interesa,VERB,34.065528869628906,22007
16,in,ADP,21.653846740722656,18935,de,ADP,29.76200294494629,22007
17,how,ADV,22.02509117126465,18935,especialmente,ADV,37.28601837158203,22007
18,the,DET,21.97642707824707,18935,la,DET,33.61355209350586,22007
19,brain,NOUN,19.878692626953125,18935,posibilidad,NOUN,31.928735733032227,22007
20,learns,VERB,23.98122215270996,18935,hacer,VERB,33.569549560546875,25374
21,",",PUNCT,20.50902557373047,18935,",",PUNCT,31.438207626342773,25374
22,and,CCONJ,20.03197479248047,22007,nuestros,DET,33.18760299682617,25374
23,I,PRON,24.76540756225586,22007,me,PRON,32.20140075683594,22007
24,'m,AUX,22.840539932250977,22007,Es,AUX,33.763790130615234,30106
25,especially,ADV,26.913171768188477,22007,más,ADV,37.85808563232422,25374
26,interested,ADJ,22.620302200317383,22007,listos,ADJ,35.60982131958008,25374
27,in,ADP,21.303142547607422,22007,mejores,ADJ,36.56394577026367,25374
28,a,DET,22.536043167114258,22007,y,CONJ,32.61396789550781,25374
29,possibility,NOUN,21.481929779052734,22007,cerebros,NOUN,34.82283401489258,25374
30,of,ADP,23.280488967895508,22007,en,ADP,32.79731750488281,30106
31,making,VERB,22.882556915283203,25374,más,ADV,37.16196823120117,25374
32,our,DET,25.24635124206543,25374,este,DET,36.044471740722656,30106
33,brains,NOUN,21.294288635253906,25374,contexto,NOUN,32.212623596191406,30106
34,smarter,ADJ,21.1689510345459,25374,rápidos,ADJ,36.133819580078125,25374
35,",",PUNCT,20.53173065185547,25374,.,PUNCT,33.14121627807617,25374
36,better,ADJ,20.461170196533203,25374,les,PRON,30.70351219177246,30106
37,and,CCONJ,21.393085479736328,25374,hablaré,VERB,32.1046257019043,30106
38,faster,ADV,20.217153549194336,25374,sobre,ADP,31.771453857421875,32982
39,.,PUNCT,21.53675651550293,25374,.,PUNCT,32.49980163574219,32982
40,This,DET,23.236780166625977,30106,videojuegos,NOUN,34.06996154785156,32982
41,is,AUX,22.76295280456543,30106,Cuando,SCONJ,33.627323150634766,32982
42,in,ADP,21.42740249633789,30106,de,ADP,31.328672409057617,32982
43,this,DET,22.604480743408203,30106,la,DET,34.83951187133789,35732
44,context,NOUN,19.35434913635254,30106,videojuegos,NOUN,33.921844482421875,32982
45,I,PRON,24.035856246948242,30106,",",PUNCT,30.75123405456543,32982
46,'m,AUX,23.34566879272461,30106,Es,AUX,34.722267150878906,38270
47,going,VERB,24.796796798706055,30106,hablamos,VERB,35.7120246887207,32982
48,to,PART,22.473590850830078,30106,mayoría,NOUN,33.44783020019531,35732
49,tell,VERB,24.9448184967041,30106,piensan,VERB,37.0301399230957,35732
50,you,PRON,22.13865089416504,30106,.,PUNCT,32.5380744934082,35732
51,about,ADP,19.208526611328125,32982,en,ADP,33.29679489135742,35732
52,video,NOUN,18.20496368408203,32982,niños,NOUN,34.80717086791992,35732
53,games,NOUN,19.814067840576172,32982,cierto,ADJ,37.41532897949219,38270
54,.,PUNCT,19.718400955200195,32982,.,PUNCT,30.353504180908203,38270
55,When,ADV,20.54109764099121,32982,El,DET,30.368078231811523,38270
56,we,PRON,25.18234634399414,32982,90,NUM,32.45305633544922,38270
57,say,VERB,23.49164581298828,32982,%,SYM,32.906280517578125,38270
58,video,NOUN,16.551984786987305,32982,los,DET,35.75383377075195,38270
59,games,NOUN,19.707969665527344,32982,niños,NOUN,36.81023406982422,38270
60,",",PUNCT,18.767818450927734,32982,.,PUNCT,32.74213790893555,38270
61,most,ADJ,21.395057678222656,35732,sinceros,ADJ,33.94386672973633,42248
62,of,ADP,21.96659278869629,35732,con,ADP,32.1616325378418,38270
63,you,PRON,23.64143943786621,35732,Pero,CONJ,31.69871711730957,42248
64,think,VERB,21.395933151245117,35732,juegan,VERB,37.21648406982422,38270
65,about,ADP,23.666038513183594,35732,de,ADP,32.49118423461914,38270
66,children,NOUN,22.08294677734375,35732,videojuegos,NOUN,34.99827194213867,38270
67,.,PUNCT,22.025270462036133,35732,.,PUNCT,32.847381591796875,42248
68,It,PRON,22.76559829711914,38270,Cuando,SCONJ,33.790855407714844,45166
69,'s,AUX,22.91101837158203,38270,seamos,AUX,30.758655548095703,42248
70,true,ADJ,22.43455696105957,38270,los,DET,36.48665237426758,45166
71,.,PUNCT,18.435741424560547,38270,",",PUNCT,31.355897903442383,45166
72,Ninety,NUM,21.61060905456543,38270,duermen,VERB,29.852298736572266,45166
73,percent,NOUN,21.019441604614258,38270,niños,NOUN,36.44798278808594,45166
74,of,ADP,23.396053314208984,38270,ante,ADP,33.98585891723633,45166
75,children,NOUN,21.861101150512695,38270,quién,PRON,34.04304122924805,45166
76,do,AUX,22.81287384033203,38270,¿,PUNCT,33.1395378112793,45166
77,play,VERB,21.29205894470215,38270,está,VERB,34.93246841430664,45166
78,video,NOUN,19.596385955810547,38270,la,DET,32.03877258300781,45166
79,games,NOUN,20.367572784423828,38270,mayoría,NOUN,31.204631805419922,49955
80,.,PUNCT,19.49913215637207,38270,?,PUNCT,32.38320541381836,45166
81,But,CCONJ,20.945514678955078,42248,La,DET,35.167144775390625,49955
82,let,VERB,21.399852752685547,42248,PlayStation,PROPN,35.161781311035156,45166
83,'s,PRON,20.392839431762695,42248,de,ADP,29.25421905517578,49955
84,be,AUX,24.79610824584961,42248,Uds.,PROPN,32.740840911865234,49955
