,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,0,0,0.0,0,¿,PUNCT,30.66253662109375,12842
1,What,PRON,20.653905868530273,12842,Qué,PRON,32.05531692504883,12842
2,is,AUX,23.56039810180664,12842,es,AUX,32.127159118652344,12842
3,a,DET,23.759479522705078,12842,un,DET,39.615516662597656,12842
4,parent,NOUN,20.28602409362793,12842,padre,NOUN,34.285240173339844,12842
5,?,PUNCT,21.03080940246582,12842,?,PUNCT,31.49344825744629,12842
6,0,0,0.0,0,¿,PUNCT,30.66253662109375,15999
7,What,PRON,20.653905868530273,15999,Qué,PRON,32.05531692504883,15999
8,is,AUX,23.56039810180664,15999,es,AUX,32.127159118652344,15999
9,a,DET,23.759479522705078,15999,un,DET,39.615516662597656,15999
10,parent,NOUN,20.28602409362793,15999,padre,NOUN,34.285240173339844,15999
11,?,PUNCT,21.03080940246582,15999,?,PUNCT,31.49344825744629,15999
12,It,PRON,23.130006790161133,19043,No,ADV,33.236446380615234,19043
13,'s,AUX,23.1921443939209,19043,es,AUX,36.37872314453125,19043
14,not,PART,23.606853485107422,19043,0,0,0.0,0
15,an,DET,21.361371994018555,19043,una,DET,32.9101676940918,19043
16,easy,ADJ,22.895994186401367,19043,simple,ADJ,33.80831527709961,19043
17,question,NOUN,22.997333526611328,19043,pregunta,NOUN,33.453678131103516,19043
18,.,PUNCT,21.364290237426758,19043,.,PUNCT,34.32218551635742,19043
19,Today,NOUN,20.744192123413086,21630,Hoy,ADV,35.42465591430664,21630
20,we,PRON,25.020111083984375,21630,tenemos,VERB,35.419193267822266,21630
21,have,AUX,24.151836395263672,21630,la,DET,33.68562698364258,21630
22,adoption,NOUN,18.841161727905273,21630,adopción,NOUN,31.854347229003906,21630
23,",",PUNCT,20.505430221557617,21630,",",PUNCT,29.83770751953125,21630
24,stepfamilies,NOUN,20.415117263793945,24028,familias,NOUN,36.17564010620117,24004
25,0,0,0.0,0,adoptivas,ADJ,35.0102424621582,24004
26,",",PUNCT,20.08707618713379,24028,",",PUNCT,31.237375259399414,24004
27,surrogate,PROPN,19.42669105529785,25628,subrogadas,ADJ,33.0384635925293,25580
28,mothers,NOUN,19.906856536865234,25628,madres,NOUN,33.42085647583008,25580
