,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,to,PART,22.420700073242188,15366,a,ADP,33.16279983520508,15366
1,create,VERB,25.8774471282959,15366,crear,VERB,34.979637145996094,15366
2,photographs,NOUN,20.497390747070312,15366,fotografías,NOUN,33.72111129760742,15366
3,that,DET,21.86078453063965,15366,que,PRON,33.215763092041016,15366
4,tell,VERB,21.811716079711914,15366,cuentan,VERB,36.852840423583984,15366
5,stories,NOUN,21.62261199951172,15366,historias,NOUN,34.37948226928711,15366
6,.,PUNCT,21.609556198120117,15366,.,PUNCT,31.74396514892578,15366
7,can,VERB,23.580543518066406,18767,La,DET,35.266605377197266,18767
8,Photography,NOUN,21.346826553344727,18767,definición,NOUN,31.04152488708496,18767
9,described,VERB,24.980220794677734,18767,de,ADP,31.148242950439453,18767
10,the,DET,22.663753509521484,18767,la,DET,33.001285552978516,18767
11,as,SCONJ,23.598384857177734,18767,fotografía,NOUN,32.171260833740234,18767
12,be,AUX,26.277193069458008,18767,puede,AUX,35.05964660644531,18767
13,0,0,0.0,0,ser,AUX,36.40625762939453,18767
14,a,DET,22.126657485961914,18767,el,DET,34.85722351074219,18767
15,recording,NOUN,19.867822647094727,18767,registro,NOUN,28.281389236450195,18767
16,of,ADP,21.54445457458496,18767,de,ADP,32.367122650146484,18767
17,0,0,0.0,0,un,DET,36.99330139160156,18767
18,moment,NOUN,20.854305267333984,18767,momento,NOUN,32.67308807373047,18767
19,single,ADJ,21.45061492919922,18767,singular,ADJ,32.863834381103516,18767
20,frozen,VERB,17.6207332611084,23269,capturado,ADJ,34.58200454711914,23269
21,within,ADP,19.163997650146484,23269,en,ADP,32.86572265625,23269
22,a,DET,23.303224563598633,23269,una,DET,34.754966735839844,23269
23,fraction,NOUN,19.550884246826172,23269,fracción,NOUN,34.31498336791992,23269
24,of,ADP,22.273408889770508,23269,de,ADP,31.805889129638672,23269
25,time,NOUN,18.900142669677734,23269,segundo,NOUN,30.44892120361328,23269
26,.,PUNCT,21.678565979003906,23269,.,PUNCT,33.32627868652344,23269
27,Each,DET,21.22736930847168,26184,Cada,DET,34.404293060302734,26184
