,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,(,PUNCT,19.363130569458008,21380,(,PUNCT,30.316490173339844,21380
1,Dominoes,NOUN,23.64666175842285,21380,Caída,PROPN,31.728891372680664,21380
2,fall,VERB,20.08582878112793,21380,de,ADP,31.682065963745117,21380
3,),PUNCT,21.213516235351562,21380,),PUNCT,32.687400817871094,21380
4,(,PUNCT,18.92436981201172,27540,(,PUNCT,29.852094650268555,27540
5,Toy,PROPN,19.906686782836914,27540,Auto,PROPN,34.00670623779297,27540
6,car,NOUN,19.358177185058594,27540,dominó,NOUN,32.207855224609375,21380
7,),PUNCT,21.540325164794922,27540,de,ADP,31.022342681884766,27540
8,(,PUNCT,18.520217895507812,28980,),PUNCT,32.67194366455078,27540
9,Ball,NOUN,21.190698623657227,28980,juguete,NOUN,30.599037170410156,27540
10,rolls,NOUN,21.32767677307129,28980,Rollos,PROPN,34.52381896972656,28980
11,),PUNCT,20.60580825805664,28980,(,PUNCT,27.833690643310547,28980
12,(,PUNCT,18.299560546875,33980,de,ADP,31.430727005004883,28980
13,Music,NOUN,20.569337844848633,33980,bolas,NOUN,33.44906997680664,28980
14,:,PUNCT,19.138668060302734,33980,),PUNCT,31.718950271606445,28980
15,"""",PUNCT,19.812488555908203,33980,(,PUNCT,29.626937866210938,33980
16,This,DET,20.063032150268555,33980,:,PUNCT,32.11062240600586,33980
17,Too,PROPN,20.010774612426758,33980,Música,PROPN,32.623077392578125,33980
18,Shall,VERB,22.19069480895996,33980,también,ADV,34.0856819152832,33980
19,Pass,VERB,22.072126388549805,33980,pasará,VERB,32.658226013183594,33980
20,"""",PUNCT,23.40641212463379,33980,"""",PUNCT,29.39786720275879,33980
21,),PUNCT,21.186073303222656,33980,"""",PUNCT,30.87377166748047,33980
22,(,PUNCT,20.03936195373535,39980,),PUNCT,30.617111206054688,33980
23,Singing,NOUN,21.94786834716797,39980,Canto,PROPN,34.29749298095703,39980
24,),PUNCT,21.19869613647461,39980,(,PUNCT,29.93528938293457,39980
25,You,PRON,23.597267150878906,51380,Esto,PRON,32.62727355957031,33980
26,know,VERB,23.75580406188965,51380,Sabes,VERB,32.092838287353516,51380
27,you,PRON,22.614011764526367,51380,),PUNCT,31.984390258789062,39980
28,ca,VERB,23.37980079650879,51380,que,SCONJ,32.540706634521484,51380
29,n't,PART,26.794490814208984,51380,no,ADV,34.37738037109375,51380
30,keep,VERB,23.941692352294922,51380,puedes,AUX,33.85844802856445,51380
31,letting,VERB,23.89854621887207,51380,dejando,VERB,35.080631256103516,51380
32,it,PRON,23.109785079956055,51380,eso,PRON,34.371768951416016,51380
33,get,AUX,25.642894744873047,51380,seguir,AUX,34.370628356933594,51380
34,you,PRON,23.428884506225586,51380,te,PRON,32.25227355957031,51380
35,down,ADP,21.9035701751709,51380,que,SCONJ,30.172563552856445,51380
36,",",PUNCT,21.531335830688477,51380,",",PUNCT,27.627334594726562,51380
37,and,CCONJ,20.465478897094727,54580,no,ADV,34.013519287109375,54580
38,you,PRON,24.029830932617188,54580,y,CONJ,33.12808609008789,54580
39,ca,VERB,23.365400314331055,54580,deprima,VERB,33.068851470947266,51380
40,n't,PART,26.68773651123047,54580,puedes,AUX,33.64332962036133,54580
41,keep,VERB,24.391836166381836,54580,seguir,AUX,35.206077575683594,54580
42,dragging,VERB,22.537891387939453,54580,cargando,VERB,36.31093215942383,54580
43,that,SCONJ,19.37700080871582,54580,ese,DET,37.14899444580078,54580
44,dead,ADJ,19.642229080200195,54580,muerto,ADJ,34.409751892089844,54580
45,weight,NOUN,20.671035766601562,54580,peso,NOUN,35.8757209777832,54580
46,around,ADV,22.799238204956055,54580,no,ADV,35.222747802734375,63580
47,.,PUNCT,22.00240707397461,54580,.,PUNCT,32.55152130126953,54580
48,If,SCONJ,21.471410751342773,63580,Si,SCONJ,33.92655944824219,63580
49,there,PRON,23.257328033447266,63580,hay,AUX,36.484397888183594,63580
50,ai,VERB,21.798709869384766,63580,cargar,VERB,32.657466888427734,63580
51,n't,PART,21.934398651123047,63580,que,SCONJ,32.787471771240234,63580
52,all,DET,20.747676849365234,63580,el,DET,34.087928771972656,66580
53,that,ADV,19.168519973754883,63580,mejor,ADV,32.46925354003906,66580
54,much,ADJ,21.68623161315918,63580,mucho,ADV,34.49809646606445,63580
55,to,PART,21.05419158935547,63580,como,SCONJ,36.33442306518555,66580
56,lug,VERB,23.58632469177246,63580,corre,VERB,34.92070007324219,66580
57,around,ADP,20.754987716674805,63580,demonio,NOUN,31.407772064208984,66580
