,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,another,DET,21.379541397094727,14520,Un,DET,34.22141647338867,12120
1,side,NOUN,19.774517059326172,14520,líder,NOUN,34.11157989501953,12120
2,'s,AUX,22.0388126373291,14520,es,AUX,32.9930305480957,12120
3,there,PRON,22.95755386352539,14520,firme,ADJ,34.479793548583984,12120
4,But,CCONJ,22.05625343322754,14520,",",PUNCT,30.717622756958008,12120
5,to,ADP,21.942594528198242,14520,fuerte,ADJ,32.67481994628906,12120
6,me,PRON,24.871965408325195,14520,",",PUNCT,31.518184661865234,12120
7,0,0,0.0,0,decisivo,ADJ,32.61115646362305,12120
8,:,PUNCT,20.154062271118164,14520,",",PUNCT,31.343820571899414,12120
9,0,0,0.0,0,inquebrantable,ADJ,33.10304260253906,12120
10,0,0,0.0,0,.,PUNCT,33.34466552734375,12120
11,Carrie,PROPN,22.20864486694336,17320,es,AUX,31.33977508544922,15800
12,Dragshaw,PROPN,24.462038040161133,17320,Dan,PROPN,34.44599914550781,15800
13,",",PUNCT,21.11396026611328,17320,",",PUNCT,31.4902400970459,15800
14,the,DET,21.332143783569336,18640,Mi,DET,31.861045837402344,15800
15,character,NOUN,16.454853057861328,18640,nombre,NOUN,31.899625778198242,15800
16,I,PRON,23.91393280029297,18640,soy,AUX,34.68428039550781,15800
17,created,VERB,22.78086280822754,18640,socio,NOUN,32.871246337890625,15800
18,on,ADP,21.520586013793945,18640,de,ADP,30.431163787841797,15800
19,Instagram,PROPN,21.372997283935547,18640,0,0,0.0,0
20,.,PUNCT,19.973739624023438,18640,.,PUNCT,33.78402328491211,15800
21,As,SCONJ,20.57909393310547,20560,creativa,ADJ,32.52958297729492,15800
22,I,PRON,24.62067222595215,20560,0,0,0.0,0
23,thought,VERB,23.16317367553711,20560,0,0,0.0,0
24,about,ADP,20.034542083740234,20560,0,0,0.0,0
25,my,DET,19.1910457611084,20560,una,DET,35.039424896240234,15800
26,double,ADJ,19.46051025390625,20560,global,ADJ,33.22201919555664,15800
27,life,NOUN,20.53824806213379,20560,consultora,NOUN,32.971221923828125,15800
28,",",PUNCT,22.57005500793457,20560,0,0,0.0,0
29,I,PRON,24.863624572753906,20560,0,0,0.0,0
30,could,VERB,26.189558029174805,20560,0,0,0.0,0
31,n't,PART,27.191333770751953,20560,0,0,0.0,0
32,help,VERB,24.050352096557617,20560,0,0,0.0,0
33,but,CCONJ,21.049697875976562,20560,0,0,0.0,0
34,wonder,VERB,21.23992347717285,20560,0,0,0.0,0
35,...,PUNCT,20.706205368041992,20560,0,0,0.0,0
36,how,ADV,22.914804458618164,25200,0,0,0.0,0
37,much,ADJ,22.793569564819336,25200,0,0,0.0,0
38,of,ADP,21.517589569091797,25200,0,0,0.0,0
39,it,PRON,21.65543556213379,25200,0,0,0.0,0
40,can,VERB,23.210983276367188,25200,0,0,0.0,0
41,you,PRON,24.69270896911621,25200,0,0,0.0,0
42,really,ADV,26.89561653137207,25200,0,0,0.0,0
43,bring,VERB,23.73701286315918,25200,0,0,0.0,0
44,to,ADP,19.356260299682617,25200,0,0,0.0,0
45,the,DET,21.635618209838867,25200,0,0,0.0,0
46,office,NOUN,18.635934829711914,25200,0,0,0.0,0
47,?,PUNCT,21.529987335205078,25200,0,0,0.0,0
48,For,ADP,21.10049057006836,32040,0,0,0.0,0
49,some,DET,22.956912994384766,32040,El,DET,36.40718078613281,30640
50,of,ADP,21.97074317932129,32040,creé,VERB,35.37611389160156,30640
